epa,fiscal,beta,se,p,n
Overflow events (lag2),Budget flexibility squeeze (lag2),0.00035121932742556653,2.567266271217752e-06,0.0,6840
Overflow events (lag2),Capital stock pc (lag2),0.0230203853911032,0.0001738186986115331,0.0,5719
Overflow events (lag2),Expenditure rigidity (lag2),0.0010107957824242594,7.324624330201972e-06,0.0,6843
Overflow events (lag2),VFI (lag2),0.022551259002801218,0.00019419033110558122,0.0,6855
Overflow events (lag2),log CWSRF obligations (lag2),0.0029691532403767463,2.3003053692643362e-05,0.0,6864
Overflow events (lag2),Debt service burden (lag2),0.0024884694145560996,1.8482584616017008e-05,0.0,6843
Consent decrees prior3yr,Capital stock pc (lag2),0.06401143219861594,0.007820490381101821,2.720960087545508e-16,5719
NPDES inspections (lag2),log CWSRF obligations (lag2),0.00029363726721430854,0.00010631865808820343,0.005747308675929213,6864
NPDES inspections (lag2),Debt service burden (lag2),-0.033562574559111075,0.013252564991290959,0.011324131064947937,6843
NPDES formal prior3yr,Capital stock pc (lag2),0.02458283439032806,0.009729298866301316,0.011514604457639,5719
NPDES inspections (lag2),Budget flexibility squeeze (lag2),-0.013358337054480194,0.005322937496037201,0.012087485999548906,6840
"SDWA events (asinh, lag2)",Capital stock pc (lag2),-0.006653146179235547,0.003323107299959538,0.045275496638316676,5729
NPDES inspections (lag2),Expenditure rigidity (lag2),-0.004626705821233111,0.002467530315148531,0.06078790213941861,6843
"Water violations (asinh, lag2)",Reserve ratio (lag2),0.004638338039569193,0.0024994442908389024,0.06348952575801169,6867
All EPA cases prior3yr,Charges/own-source,0.08165348324210726,0.04705640474231113,0.08270083465163963,6241
"SDWA events (asinh, lag2)",log CWSRF obligations (lag2),0.0021467232018883313,0.0012384418185604998,0.08302342822441038,6876
All EPA cases prior3yr,TEL stringency,0.0009911670387486604,0.0006125287578280778,0.10562899867556841,6864
Overflow events (lag2),Reserve ratio (lag2),-3.8664168040861075e-18,2.4007217364353334e-18,0.10728379834661946,6855
"SDWA events (asinh, lag2)",Budget flexibility squeeze (lag2),-0.6401293660637375,0.43788356181575516,0.14377650960702498,6852
