category,moderator,var,int_beta,int_se,int_p,rep_main,rep_main_se,rep_main_p,n,error
Fiscal,Charges / own-source,charges_to_own_source,-0.15354554232165987,0.04065987537435687,0.00015914926333337066,0.02813449740024148,0.010915273742616215,0.009950787501415289,5564,
Structural,Benchmarking adopted,bcode_benchmark_adopted,-0.2012369918215247,0.05790819399250929,0.0005106554886298006,-0.012125922862038738,0.004901270571909486,0.013359600347549747,5564,
Physical,NFIP repetitive loss,nfip_repetitive_loss,8.472868451885136e-06,2.6255262013441556e-06,0.001250462803953483,-0.018734830100130016,0.005800481197213609,0.00123844284396971,5564,
Fiscal,log CWNS needs,log_cwns_needs_real_lag2,-0.013541392778360724,0.004844325561417276,0.005184993348268169,0.23167452287876988,0.08587661014683227,0.006980765273440803,5564,
Structural,log Population (lag2),log_population_lag2,-0.03179882519639696,0.01244156670987525,0.010592762310518493,0.35420276320813393,0.14253761736288217,0.012955964566326679,5564,
Peer,log State water cumul (ex-city),log_state_water_cumul,-0.001319695207117705,0.0006029585940548822,0.028618684279646815,0.007822520361079315,0.010658834539505202,0.4630095903029131,5564,
Institutional,State green bond ever,mkt_state_green_bond_ever_lag1,-0.023334890002352962,0.010807722415272981,0.030842865136375214,0.002963196404406748,0.007948343117243415,0.7092922375726516,5564,
Institutional,State Dem governor,state_dem_governor,-0.02954461055107738,0.014367115158294436,0.03974347394924455,-0.0007573152786429596,0.006859115923832368,0.9120841892940454,5564,
Fiscal,Fiscal stress PCA (lag2),fiscal_stress_pca_lag2,-0.00908657504955078,0.004435801994330693,0.040514680687076705,-0.015017987511163353,0.0050838165620627805,0.0031360536117986467,5558,
Institutional,State Rep trifecta,state_rep_trifecta,0.026565992900369845,0.014115221411943261,0.059824991065299475,-0.02728034307684431,0.00960958469013328,0.004527387226402418,5564,
Climate policy,Muni AAA 10Y yield,muni_aaa_yield,0.01381073485976303,0.007417211266264767,0.06260522853210596,-0.055385017870867734,0.023105418288126737,0.01652732665766552,5564,
Institutional,State has bond bank,inst_has_bond_bank,-0.029934667238863462,0.016754236367330397,0.07398721373726488,-0.005712428886988804,0.006236908223199407,0.35971559201060976,5564,
Climate policy,State carbon price USD,state_carbon_price_usd,-0.0018174615354799948,0.0010743152818290154,0.09069566455003712,-0.008525395733598415,0.005847748151765296,0.14486981977251295,5564,
Climate policy,State CA cap-and-trade,state_catp_member,-0.03863824959868564,0.023212962170307178,0.0960101936200452,-0.0076793196331274806,0.005925754242995314,0.19500210638249194,5564,
Peer,log Nearby water 25km cumul,log_nearby_water_cumul_25km,-0.0009798249575616721,0.0005908244218020015,0.09723616378423344,-0.010567078525221594,0.0052227299749135585,0.04304362830648886,5564,
Compulsion,NPDES formal prior3yr,epa_npdes_formal_prior3yr_muni,-0.024545979255915697,0.014848267608754278,0.09830629150669726,-0.011736160459215002,0.00521695566534502,0.024473167205575727,5564,
Temporal,Year (z-scored),year_z,-0.007497739042781836,0.004694386097230078,0.11022751418815714,-0.016261928791932473,0.00543988777310295,0.0027953799232279513,5564,
Climate policy,State RPS target %,state_rps_target_pct,-0.0004317871584255829,0.0002704567164231196,0.11037472244598485,-0.004421302631738114,0.006802798710281803,0.5157412687815588,5564,
Fiscal,Budget flexibility squeeze,budget_flexibility_squeeze_lag2,-0.2580564863511413,0.16559870744896263,0.11915639642346594,-0.008935935863947052,0.005973043365858133,0.13464218188386626,5558,
Structural,log PCI (lag2),log_percapita_income_lag2,-0.03163790622622119,0.021134387504709033,0.1343966052754519,0.3101409739462324,0.21598718963493005,0.15102425212876144,5564,
Climate policy,State climate plan (legacy),state_climate_plan_legacy,-0.02267634443853739,0.015294111813889393,0.13815822146297665,0.0002887173343902672,0.010199760095248095,0.9774178664813765,5564,
Institutional,Signed Utah anti-ESG letter,inst_signed_utah_antiesg_letter,0.01923086874339716,0.014121476265213154,0.17325559374912192,-0.02333738130785998,0.009054754684927727,0.009955760493885519,5564,
Institutional,State GO voter approval req,inst_go_voter_approval_required,-0.05680267285381508,0.045594531786949756,0.21282973420839768,0.04050461628127423,0.045275621752464544,0.37098860863387206,5564,
Fiscal,log CWSRF obligations,cwsrf_log_obligations_lag2,-0.00398842669093512,0.0032600581920707128,0.2211703739197156,0.05348191246068152,0.05615105998746797,0.3408612703296938,5564,
Climate policy,State PCAP (2024),state_pcap_2024,-1.1107431859713056e-17,9.46585605079832e-18,0.24062712214911386,-0.015174391093666825,0.005130384601134101,0.00309894119576734,5564,
Compulsion,Overflow events lag2,epa_overflow_events_muni_lag2,-1.1107431859713056e-17,9.46585605079832e-18,0.24062712214911386,-0.015174391093666825,0.005130384601134101,0.00309894119576734,5564,
Fiscal,Debt service burden (lag2),debt_service_burden_lag2,-0.10427142080198767,0.09127862412774407,0.2533118225060902,-0.010121539451729706,0.006809529644120535,0.13717899485723636,5558,
Fiscal,Reserve ratio (lag2),reserve_ratio_lag2,-0.014232222921402226,0.013011725235968528,0.2740427763362606,-0.0007310788244398792,0.012272308874829984,0.952496984185702,5564,
Structural,BPS adopted (bcode),bcode_bps_adopted,-0.06699349558533513,0.06303066484387744,0.28784024140040476,-0.015041051632074129,0.005112113678562248,0.0032585010638715895,5564,
ESG legislation,Number of anti-ESG laws,esg_num_antiesg_laws,0.00705046603726637,0.006892296479422107,0.3063320802296403,-0.01606814010293781,0.005404782594666887,0.002949539729110534,5564,
Institutional,State has muni bond law,fn_esg_has_muni_bond_law,0.017361243284116753,0.017953710537566083,0.3335438890328978,-0.015784966528385604,0.005363360568333021,0.0032493168740321612,5564,
Structural,Has substitute issuer,has_substitute_issuer,-0.016972612822051557,0.01849952899055907,0.3589006545824406,-0.014352377166098574,0.005350944839617371,0.007313673957322507,5564,
Compulsion,Water violations asinh,epa_water_violations_asinh_lag2,-0.0030880773836995095,0.003833857277640823,0.42054544777901004,-0.01065045293507432,0.006854297826493523,0.12022360300381697,5564,
