spec,name,outcome,beta,se,p,bonf,n,notes
1,NPDES×Rep×reserves,GBI,-0.000428485669288799,0.02414192701635749,0.9858394008437885,False,5038,
1,NPDES×Rep×reserves,asinh_amt,-0.010558242798871104,0.4298804083729151,0.9804052200095874,False,5038,
1,NPDES×Rep×reserves,Y_self,0.007026742510757115,0.02320567264292082,0.7620401540923367,False,5038,
1,NPDES×Rep×reserves,asinh_self,0.11044753007696279,0.41464950604653905,0.78995920531141,False,5038,
2,NPDES×Rep×DSB,GBI,0.2103036092862867,0.3102847788237352,0.49791366285038696,False,5038,
2,NPDES×Rep×DSB,asinh_amt,3.7744239100862202,5.84920865443233,0.518740594752458,False,5038,
2,NPDES×Rep×DSB,Y_self,0.18923860290677574,0.2952236276785701,0.521522116130215,False,5038,
2,NPDES×Rep×DSB,asinh_self,3.6519168801712842,5.563479505590631,0.5115611328594664,False,5038,
3,Consent×Rep×stress,GBI,-0.2054863762347294,0.09944723175048283,0.038801526648789116,False,5038,UNDERPOWERED eff=8
3,Consent×Rep×stress,asinh_amt,-4.1199661089267385,2.0378431873734875,0.04320438462611563,False,5038,UNDERPOWERED eff=8
3,Consent×Rep×stress,Y_self,-0.1972029363460471,0.09869398002681139,0.04570307979434457,False,5038,UNDERPOWERED eff=8
3,Consent×Rep×stress,asinh_self,-3.956844232620067,2.0258486675268195,0.0507984377645272,False,5038,UNDERPOWERED eff=8
4,Consent×Rep Step4,Y_assurance,-3.340738453779745e-16,3.6148866407262535e-16,0.3554023246066187,False,130,
6,Rep×substitute,GBI,-0.019434664938028617,0.01745021104264308,0.2653989355621782,False,5038,
6,Rep×substitute,asinh_amt,-0.3618709064626409,0.3209155470586561,0.25948028210037744,False,5038,
6,Rep×substitute,Y_self,-0.0235218078583516,0.016810781773579406,0.16175012761677443,False,5038,
6,Rep×substitute,asinh_self,-0.43295469951375054,0.30920996623846364,0.16145449623258312,False,5038,
