variable,C1,C1_se,C2,C2_se,C3,C3_se,C4,C4_se,C5,C5_se
NPDES formal x prior3yr (muni),0.0041,(0.0079),0.0962,(0.1493),0.0049,(0.0073),0.1068,(0.1382),0.0130,(0.0122)
Water violations asinh (lag 2),0.0059**,(0.0022),0.1096**,(0.0417),0.0062**,(0.0020),0.1144**,(0.0376),0.0060**,(0.0023)
SDWA events asinh (lag 2),0.0065,(0.0123),0.1398,(0.2316),0.0038,(0.0110),0.0890,(0.2077),0.0060,(0.0123)
Overflow events (lag 2),-0.0000,(0.0000),-0.0000,(0.0000),-0.0000**,(0.0000),-0.0000***,(0.0000),-0.0000,(0.0000)
All EPA cases prior3yr (muni),-0.0109,(0.0085),-0.1974,(0.1652),-0.0064,(0.0093),-0.1251,(0.1798),-0.0118,(0.0086)
Overflow events contemp (Col 5),,,,,,,,,-0.0046*,(0.0023)
Rep Mayor (lag 1),-0.0139**,(0.0049),-0.2511**,(0.0901),-0.0105*,(0.0043),-0.1867*,(0.0808),-0.0105*,(0.0049)
Charges / own-source revenue,0.0807**,(0.0255),1.4644**,(0.4641),0.0605*,(0.0241),1.1042*,(0.4368),0.0796**,(0.0256)
Reserve ratio (lag 2),0.0072,(0.0059),0.1211,(0.1010),0.0071,(0.0056),0.1217,(0.0975),0.0073,(0.0059)
TEL stringency (normalized),-0.0003,(0.0009),-0.0046,(0.0170),-0.0001,(0.0009),0.0001,(0.0166),-0.0006,(0.0009)
log CWSRF obligations (lag 2),-0.0011,(0.0013),-0.0204,(0.0233),-0.0013,(0.0012),-0.0242,(0.0229),-0.0011,(0.0013)
log CWNS needs (lag 2),-0.0006,(0.0031),-0.0154,(0.0575),-0.0006,(0.0029),-0.0114,(0.0538),-0.0007,(0.0031)
Pct deficient (lag 2),0.0001,(0.0003),0.0027,(0.0047),0.0002,(0.0002),0.0037,(0.0042),0.0002,(0.0003)
log Population (lag 2),0.0315***,(0.0084),0.6015***,(0.1632),0.0242**,(0.0076),0.4646**,(0.1481),0.0302***,(0.0080)
log Per-capita income (lag 2),0.0384*,(0.0185),0.7639*,(0.3685),0.0280,(0.0184),0.5781,(0.3666),0.0378*,(0.0186)
Unemployment (lag 2),0.0030†,(0.0017),0.0547†,(0.0302),0.0016,(0.0013),0.0321,(0.0248),0.0033*,(0.0017)
Has substitute issuer,0.0013,(0.0122),0.0085,(0.2336),0.0025,(0.0117),0.0338,(0.2244),0.0016,(0.0122)
State green bond ever (lag 1),0.0128*,(0.0064),0.2477*,(0.1196),0.0126*,(0.0061),0.2400*,(0.1140),0.0128*,(0.0065)
State has muni bond law,-0.0179*,(0.0077),-0.3640*,(0.1473),-0.0147*,(0.0069),-0.2974*,(0.1320),-0.0186*,(0.0079)
State Rep trifecta,-0.0129†,(0.0067),-0.2171†,(0.1164),-0.0088,(0.0054),-0.1482,(0.0948),-0.0120†,(0.0069)
NPDES × Rep,,,,,,,,,-0.0247†,(0.0145)
Overflow × Rep,,,,,,,,,0.0030,(0.0028)
NPDES × fiscal_stress,,,,,,,,,0.0253,(0.0205)
Rep × fiscal_stress,,,,,,,,,-0.0092,(0.0083)
NPDES × Rep × fiscal_stress (TRIPLE),,,,,,,,,-0.0083,(0.0215)
Fiscal stress PCA (lag 2),,,,,,,,,0.0002,(0.0073)
N,6054,,6054,,6054,,6054,,6052,
R²,0.0846,,0.0892,,0.0828,,0.0864,,0.0867,
State FE,Yes,,Yes,,Yes,,Yes,,Yes,
Year FE,Yes,,Yes,,Yes,,Yes,,Yes,
City clustering,Yes,,Yes,,Yes,,Yes,,Yes,
