family,variable,C1_Material_beta,C1_Material_se,C1_Material_p,C2_+Political_beta,C2_+Political_se,C2_+Political_p,C3_+State_beta,C3_+State_se,C3_+State_p,C4_SelfGreen_beta,C4_SelfGreen_se,C4_SelfGreen_p,C5_Interaction_beta,C5_Interaction_se,C5_Interaction_p
F1,Water violations (asinh),0.005709483618518671,0.00252153653660648,0.02355643891577292,0.00555256828759934,0.0025208043077923014,0.027616106230534603,0.005356736985509658,0.002500367258151091,0.03216291019512495,0.0064349923570427335,0.002327235253212536,0.005690878447594727,0.005430710195639141,0.0024932568842699573,0.02939419314656715
F1,NPDES formal prior3yr,0.002293434865972021,0.008402292403090303,0.7848889834924422,0.0034745090453499137,0.008255661048674121,0.6738545258493509,0.003465604146155033,0.00823116297377727,0.6737298399193201,0.005290573905402708,0.007474740510860705,0.4790734072720976,0.0029175442653940308,0.008121573512643709,0.7194201424499458
F1,Charges / own-source,0.10290587750390322,0.03134625112902674,0.0010275359752311912,0.10294170116884944,0.03124747820902681,0.0009863193171151688,0.10332514071624666,0.031166850846167916,0.0009156920323177924,0.07844366188607844,0.029792184937322427,0.008462733051544347,0.10358265129046998,0.031206589740478338,0.0009025773672894779
F1,Reserve ratio,0.009732868722898368,0.007930210132570278,0.21970408378346518,0.012304149352613718,0.008124322959560087,0.12990337155484927,0.01204652347756557,0.008137094598162064,0.13875444755124483,0.012063498179392248,0.007994708872885855,0.131315325824209,0.011959421890794762,0.008071454990251917,0.13842188402414743
F1,Debt service burden,-0.10306899120450608,0.08186444059731098,0.20802300564844634,-0.0992325907889677,0.08087700859426347,0.21983885085027488,-0.09436608973846664,0.08078530784982296,0.24276257794030176,-0.10077418648127529,0.07442167108003613,0.1757053263083127,-0.10146708638207602,0.08099483454804138,0.21029307429005195
F1,TEL stringency,0.0020213345923584466,0.00048303459355632217,2.8559570577138216e-05,0.0018964691691654265,0.00048082046862818137,8.005495241005455e-05,-0.00010473762575662147,0.0003152725683162379,0.7397284759691505,4.2403950766442566e-05,0.0002824781091466653,0.8806745856743151,-0.00015482161841157146,0.0003227676768337916,0.6314628411714348
F1,log CWSRF obligations,-0.0004416852565384924,0.0012273816339163413,0.7189520128944966,-0.00024919530449088066,0.0012980130794446286,0.847756210046652,-0.0009694260195101976,0.0012747373964482774,0.44696128655311107,-0.0013991495609131299,0.0012576219470602336,0.2659078047904908,-0.000980172766682113,0.0012744836392553467,0.4418491321748633
F1,log CWNS needs,0.00021763838424263232,0.004299081744122075,0.9596248285572746,7.714771166878907e-05,0.00425117482486419,0.9855212753840621,-2.5185393468759036e-05,0.004244503768990525,0.9952656612451125,-0.0003701012357897311,0.004097163003817858,0.9280241079534561,0.0001369055754474004,0.0042682210571473615,0.9744117946386663
F1,Pct deficient,0.00022825103603206083,0.00035651151973856534,0.5220200445868104,0.00010943924863956672,0.0003360878711042135,0.7447066639246694,8.821158194085045e-05,0.00033497390475041756,0.7922895582612836,0.00016431182260840624,0.0002980292873610171,0.5814090046791285,3.597673440665418e-05,0.0003284494770054784,0.9127781122110983
F2,Rep Mayor (lag 1),,,,-0.01096168172570932,0.0054684209179650155,0.04501198710764419,-0.010956905094705757,0.00544236211692355,0.04408699158115975,-0.008039567934096204,0.004691130182830179,0.08656902627196994,0.04942392074491392,0.03281817923711387,0.1320691854361873
F2,Pres Dem vote share,,,,0.08215897858563435,0.03740533365664215,0.02805968622782186,0.08287046540504195,0.03742067805122203,0.026790043968382114,0.06445285223815965,0.03402885713549132,0.05821644140682732,0.13115332086140744,0.05735320126835816,0.02220951535450269
F2,Any anti-ESG law,,,,0.007261969411046268,0.012054484800145298,0.5468887110868794,0.02309515421706916,0.019678170766521636,0.24053791076097153,-0.0015400170775647381,0.012279774688912655,0.900198292683422,0.024408061079833537,0.019703073733000585,0.21542157917032523
F3,State Rep trifecta,,,,,,,-0.014066351098774816,0.008073863542451938,0.08147202335314958,-0.008189648896717184,0.005707104304709142,0.15128938347360826,-0.014263541438443147,0.008126365805881993,0.07922207031430294
F3,State green bond ever,,,,,,,0.01776916073805316,0.01128727053168516,0.11542607908594382,0.017092199707527844,0.011247250861033871,0.12859192316793483,0.017435955343922765,0.011276035946465852,0.12203596490876638
F3,State muni bond law,,,,,,,-0.03833791824825692,0.019339838191594266,0.047442452614593095,-0.017810946317095205,0.012376740803358344,0.15013183693183904,-0.03832073378605158,0.01936601277846438,0.04784278775267766
F3,State bond bank,,,,,,,-0.10327524532325288,0.021034855278087492,9.12066223075804e-07,-0.0940050070558335,0.020964579856582122,7.325943127564604e-06,-0.10150333468620673,0.020308123426422336,5.787870264616439e-07
F3,Has substitute issuer,,,,,,,-0.0015885110145132757,0.014540611458442758,0.9130069736080593,-0.00038862984420869095,0.014086786789225085,0.9779905504914481,-0.0020660543675267975,0.014618143003416437,0.8876053483401327
F3,State green bank active,,,,,,,-0.010321358718825842,0.0099880551124919,0.30143067683268443,-0.012081999814204153,0.009444788935790989,0.200818219009971,-0.010129253095360766,0.009998466486251972,0.3110216319373891
INT,Rep × Dem vote share,,,,,,,,,,,,,-0.11074546089517395,0.06060055250230192,0.06762970497110171
