category,variable,beta,se,p,n
Water,epa_water_violations_asinh_lag2,0.004118677380548419,0.0020608637330017457,0.04566031423063995,4993
Water,charges_to_own_source,0.07347866094885831,0.02903587415109546,0.011386227971125713,4993
Water,Rep_Mayor_lag1,-0.009298066925091891,0.005119119087964232,0.06931804840547519,4993
Water,pres_dem_two_party_share_lag2,0.04251588046200781,0.030187806859715453,0.15901880331166895,4993
Water,esg_any_antiesg_law,0.0151405612820811,0.01943404912860949,0.4359361585018301,4993
Water,state_rep_trifecta,-0.009736610734192349,0.007425509206380152,0.18977732710307305,4993
Water,inst_has_bond_bank,-0.06443048355541783,0.016556244945820066,9.958035138756612e-05,4993
Clean Trans,epa_water_violations_asinh_lag2,0.0006293878748992469,0.0007420200523744326,0.39632174475790527,4993
Clean Trans,charges_to_own_source,0.02123926861282829,0.011033307781727624,0.05422764459510241,4993
Clean Trans,Rep_Mayor_lag1,-3.2050580793366085e-05,0.001110407569470401,0.9769732178691422,4993
Clean Trans,pres_dem_two_party_share_lag2,0.020532388552968888,0.014643556945558876,0.16087198425705596,4993
Clean Trans,esg_any_antiesg_law,-0.0021759755878698593,0.002979842346086706,0.4652485184349381,4993
Clean Trans,state_rep_trifecta,-0.0019742057773825435,0.0018974327036868667,0.2981255174194658,4993
Clean Trans,inst_has_bond_bank,-0.02864810856375847,0.012668326557728163,0.023734719090976127,4993
Renewables,epa_water_violations_asinh_lag2,-0.002856376981824785,0.003221329502307842,0.37523640738958364,732
Renewables,charges_to_own_source,-0.02296685494008779,0.03000085388144849,0.4439500321216868,732
Renewables,Rep_Mayor_lag1,-0.0003635276228779106,0.0043984372598397745,0.9341304245094119,732
Renewables,pres_dem_two_party_share_lag2,0.06642891905821582,0.04410711246412299,0.13204617770425714,732
Renewables,esg_any_antiesg_law,0.01063358042669392,0.009468544134694508,0.26141931250785544,732
Renewables,state_rep_trifecta,0.0006284075553302639,0.0026016396662888095,0.8091343814101064,732
Renewables,inst_has_bond_bank,0.026199748752677634,0.02543636980909911,0.3030046933563747,732
Energy Eff,epa_water_violations_asinh_lag2,0.0011053264000705147,0.0009234658315675546,0.23133280895026231,4993
Energy Eff,charges_to_own_source,0.001859273773926154,0.005984908688937372,0.7560588497132115,4993
Energy Eff,Rep_Mayor_lag1,-0.0005332768674330184,0.0013771584094734476,0.6985860410772085,4993
Energy Eff,pres_dem_two_party_share_lag2,0.015165737859462052,0.008748486242428598,0.08300202759583353,4993
Energy Eff,esg_any_antiesg_law,0.0017690446914890399,0.005123562296339606,0.729886653566313,4993
Energy Eff,state_rep_trifecta,-0.0022294596039776097,0.005048163239232425,0.6587513409101944,4993
Energy Eff,inst_has_bond_bank,-0.013704028598972727,0.005287864679082111,0.009553085213756692,4993
Green Bldg,epa_water_violations_asinh_lag2,0.0003281196963070039,0.0006376211318860315,0.6068327165599391,4993
Green Bldg,charges_to_own_source,0.02896274514663351,0.010996965781584198,0.008445925440069023,4993
Green Bldg,Rep_Mayor_lag1,-0.002113300491094687,0.0012452329126613607,0.08967537070865811,4993
Green Bldg,pres_dem_two_party_share_lag2,0.02495466047349934,0.014589807474803524,0.08718871689594565,4993
Green Bldg,esg_any_antiesg_law,0.0023029820711115852,0.0016266225590520766,0.15683229579247474,4993
Green Bldg,state_rep_trifecta,-0.0007996534889646368,0.0016186966378843252,0.6212986098070099,4993
Green Bldg,inst_has_bond_bank,-0.01317913164065683,0.011508486103035577,0.25214023253794726,4993
