family,variable,C1_Mat_beta,C1_Mat_p,C2_+Pol_beta,C2_+Pol_p,C3_+State_beta,C3_+State_p,C4_Rep×Dem_beta,C4_Rep×Dem_p,C5_Rep×Trif_beta,C5_Rep×Trif_p
F1,Water violations,0.017531965140270833,0.4745984756352055,0.02232215230379325,0.3956542519719627,0.025990040806628367,0.3694791994355171,0.022841193150576464,0.44458933634674636,0.025945549490890868,0.3736136191513797
F1,Charges/own-source,0.44983237073012516,0.23625071593127966,0.1705118188019284,0.6834005559102772,0.05781126874460174,0.9009823921142767,0.11138002963913052,0.8182824139090827,0.06191291530288179,0.894606945293214
F1,Reserve ratio,0.007638827317705668,0.8826447892550178,0.025956203057543082,0.6327804038565743,0.03744813303639067,0.5055479700825871,0.027959809018873648,0.6290027122972018,0.03695062075998512,0.5062075641641646
F1,Debt service burden,-0.38230362811756696,0.7580090411872947,-0.5093982614448876,0.6975218180011047,-0.2720260323329153,0.8379900364919933,-0.529804694581919,0.7048092502050987,-0.28705741070457136,0.8280327745955691
F2,Rep Mayor (lag 1),,,-0.26533643908530635,0.00845838181117027,-0.27366178324116525,0.007018572927346528,0.36544010514174285,0.5899018041133632,-0.2801229274294958,0.0036154028158656834
F2,Pres Dem vote share,,,-0.17581611975046513,0.7096540583020424,-0.2059270306868234,0.6817016514321902,-0.09934590976817392,0.8544531015952168,-0.20833356811859982,0.6800042170978431
F2,Any anti-ESG law,,,-0.04211908316059393,0.7805611598052785,-0.039395543311755654,0.8286187997435568,-0.0248377912350099,0.8894197236251651,-0.04070166987036011,0.8272710082995776
F3,State Rep trifecta,,,,,0.012587769845350733,0.9033382287926908,0.0005514659408144551,0.9956785262542628,0.009057694233801844,0.9343991502927599
F3,State green bond ever,,,,,0.004750235986098514,0.9727816562899618,0.024796592498601555,0.8600489562423559,0.0058262237646976855,0.9665667161799678
F3,State bond bank,,,,,0.0823729074451223,0.4284909046596018,0.07041494535294361,0.5097541808719268,0.08067537032651681,0.44359399516404774
INT,Rep × Dem vote share,,,,,,,-1.0784404538008876,0.310737123480178,,
INT,Rep × State trifecta,,,,,,,,,0.019986630549029424,0.904513724769637
