year,fips7,city_name,state_abb,muni_aaa_yield,state_rps_active,state_rps_target_pct,state_rggi_member,state_rggi_price_usd,state_catp_member,state_catp_price_usd,state_wci_member,state_wci_price_usd,state_carbon_pricing,state_carbon_price_usd,state_climate_plan_legacy,state_pcap_2024,c40_member,mcpa_signatory_static,iclei_member_static,climate_commitment_static
2007,203000,anchorage,AK,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2008,203000,anchorage,AK,4.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2009,203000,anchorage,AK,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2010,203000,anchorage,AK,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,,0,0,0
2011,203000,anchorage,AK,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,,0,0,0
2012,203000,anchorage,AK,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,,0,0,0
2013,203000,anchorage,AK,3.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2014,203000,anchorage,AK,3.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2015,203000,anchorage,AK,3.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2016,203000,anchorage,AK,2.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2017,203000,anchorage,AK,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2018,203000,anchorage,AK,3.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2019,203000,anchorage,AK,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2020,203000,anchorage,AK,2.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2021,203000,anchorage,AK,1.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2022,203000,anchorage,AK,3.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2023,203000,anchorage,AK,3.61,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0,0,0,0
2024,203000,anchorage,AK,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0,0,0
2025,203000,anchorage,AK,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1,0,0,0,0
2007,107000,birmingham,AL,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2008,107000,birmingham,AL,4.65,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2009,107000,birmingham,AL,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2010,107000,birmingham,AL,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2011,107000,birmingham,AL,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2012,107000,birmingham,AL,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0,0,0
2013,107000,birmingham,AL,3.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2014,107000,birmingham,AL,3.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2015,107000,birmingham,AL,3.16,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2016,107000,birmingham,AL,2.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2017,107000,birmingham,AL,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2018,107000,birmingham,AL,3.27,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2019,107000,birmingham,AL,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2020,107000,birmingham,AL,2.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
2021,107000,birmingham,AL,1.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0
