CUSIP,Issuer_Name,City,Issue_Date,Amt_Issued,Self_reported_Green,ESG_Assurance_Providers,covered,n_prospectus_matches,prospectus_filenames
013630DT2,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,855000.0,--,No,False,0,
013630DU9,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,900000.0,--,No,False,0,
013630DV7,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,945000.0,--,No,False,0,
013630DW5,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,990000.0,--,No,False,0,
013630DX3,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1040000.0,--,No,False,0,
013630DY1,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1090000.0,--,No,False,0,
013630DZ8,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1145000.0,--,No,False,0,
013630EA2,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1205000.0,--,No,False,0,
013630EB0,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1265000.0,--,No,False,0,
013630EC8,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1330000.0,--,No,False,0,
013630ED6,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1395000.0,--,No,False,0,
013630EE4,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1465000.0,--,No,False,0,
013630EF1,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1535000.0,--,No,False,0,
013630EG9,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1615000.0,--,No,False,0,
013630EH7,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1695000.0,--,No,False,0,
013630EJ3,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1780000.0,--,No,False,0,
013630EK0,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1870000.0,--,No,False,0,
013630EL8,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,1960000.0,--,No,False,0,
013630EM6,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,2060000.0,--,No,False,0,
013630EN4,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,6755000.0,--,No,False,0,
013630EP9,City of Albuquerque NM Refuse Removal & Disposal Revenue,Albuquerque,2020-06-30,7675000.0,--,No,False,0,
015343AA4,Alexandria Sanitation Authority,Alexandria,2024-06-25,670000.0,Yes,Yes,False,0,
015343AB2,Alexandria Sanitation Authority,Alexandria,2024-06-25,705000.0,Yes,Yes,False,0,
015343AC0,Alexandria Sanitation Authority,Alexandria,2024-06-25,745000.0,Yes,Yes,False,0,
015343AD8,Alexandria Sanitation Authority,Alexandria,2024-06-25,780000.0,Yes,Yes,False,0,
015343AE6,Alexandria Sanitation Authority,Alexandria,2024-06-25,820000.0,Yes,Yes,False,0,
015343AF3,Alexandria Sanitation Authority,Alexandria,2024-06-25,865000.0,Yes,Yes,False,0,
015343AG1,Alexandria Sanitation Authority,Alexandria,2024-06-25,905000.0,Yes,Yes,False,0,
015343AH9,Alexandria Sanitation Authority,Alexandria,2024-06-25,955000.0,Yes,Yes,False,0,
015343AJ5,Alexandria Sanitation Authority,Alexandria,2024-06-25,1005000.0,Yes,Yes,False,0,
015343AK2,Alexandria Sanitation Authority,Alexandria,2024-06-25,1055000.0,Yes,Yes,False,0,
015343AL0,Alexandria Sanitation Authority,Alexandria,2024-06-25,1110000.0,Yes,Yes,False,0,
015343AM8,Alexandria Sanitation Authority,Alexandria,2024-06-25,1165000.0,Yes,Yes,False,0,
015343AN6,Alexandria Sanitation Authority,Alexandria,2024-06-25,1225000.0,Yes,Yes,False,0,
015343AP1,Alexandria Sanitation Authority,Alexandria,2024-06-25,1290000.0,Yes,Yes,False,0,
015343AQ9,Alexandria Sanitation Authority,Alexandria,2024-06-25,1355000.0,Yes,Yes,False,0,
015343AR7,Alexandria Sanitation Authority,Alexandria,2024-06-25,1425000.0,Yes,Yes,False,0,
015343AS5,Alexandria Sanitation Authority,Alexandria,2024-06-25,1495000.0,Yes,Yes,False,0,
015343AT3,Alexandria Sanitation Authority,Alexandria,2024-06-25,1575000.0,Yes,Yes,False,0,
015343AU0,Alexandria Sanitation Authority,Alexandria,2024-06-25,1655000.0,Yes,Yes,False,0,
015343AV8,Alexandria Sanitation Authority,Alexandria,2024-06-25,1740000.0,Yes,Yes,False,0,
015343AW6,Alexandria Sanitation Authority,Alexandria,2024-06-25,1830000.0,Yes,Yes,False,0,
015343AX4,Alexandria Sanitation Authority,Alexandria,2024-06-25,1920000.0,Yes,Yes,False,0,
043257BG8,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,90000.0,Yes,No,False,0,
043257BH6,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,235000.0,Yes,No,False,0,
043257BJ2,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,245000.0,Yes,No,False,0,
043257BK9,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,255000.0,Yes,No,False,0,
043257BL7,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,270000.0,Yes,No,False,0,
043257BM5,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,280000.0,Yes,No,False,0,
043257BN3,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,295000.0,Yes,No,False,0,
043257BP8,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,310000.0,Yes,No,False,0,
043257BQ6,City of Arvada CO Wastewater Revenue,Arvada,2025-07-09,325000.0,Yes,No,False,0,
043257BR4,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,345000.0,Yes,No,False,0,
043257BS2,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,360000.0,Yes,No,False,0,
043257BT0,City of Arvada CO Wastewater Revenue,Arvada,2025-07-19,380000.0,Yes,No,False,0,
043257BU7,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,395000.0,Yes,No,False,0,
043257BV5,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,415000.0,Yes,No,False,0,
043257BW3,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,440000.0,Yes,No,False,0,
043257BX1,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,460000.0,Yes,No,False,0,
043257BY9,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,485000.0,Yes,No,False,0,
043257BZ6,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,505000.0,Yes,No,False,0,
043257CA0,City of Arvada CO Wastewater Revenue,Arvada,2025-07-19,530000.0,Yes,No,False,0,
043257CB8,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,560000.0,Yes,No,False,0,
043257CC6,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,585000.0,Yes,No,False,0,
043257CD4,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,1535000.0,Yes,No,False,0,
043257CE2,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,2600000.0,Yes,No,False,0,
043257CF9,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,1260000.0,Yes,No,False,0,
043257CG7,City of Arvada CO Wastewater Revenue,Arvada,2025-09-07,1395000.0,Yes,No,False,0,
043260BW7,City of Arvada CO Water Revenue,Arvada,2025-09-07,530000.0,Yes,No,False,0,
043260BX5,City of Arvada CO Water Revenue,Arvada,2025-09-07,1365000.0,Yes,No,False,0,
043260BY3,City of Arvada CO Water Revenue,Arvada,2025-09-07,1435000.0,Yes,No,False,0,
043260BZ0,City of Arvada CO Water Revenue,Arvada,2025-07-19,1505000.0,Yes,No,False,0,
043260CA4,City of Arvada CO Water Revenue,Arvada,2025-09-07,1580000.0,Yes,No,False,0,
043260CB2,City of Arvada CO Water Revenue,Arvada,2025-09-07,1660000.0,Yes,No,False,0,
043260CC0,City of Arvada CO Water Revenue,Arvada,2025-07-19,1745000.0,Yes,No,False,0,
043260CD8,City of Arvada CO Water Revenue,Arvada,2025-09-07,1830000.0,Yes,No,False,0,
043260CE6,City of Arvada CO Water Revenue,Arvada,2025-09-07,1925000.0,Yes,No,False,0,
043260CF3,City of Arvada CO Water Revenue,Arvada,2025-09-07,2020000.0,Yes,No,False,0,
043260CG1,City of Arvada CO Water Revenue,Arvada,2025-09-07,2120000.0,Yes,No,False,0,
043260CH9,City of Arvada CO Water Revenue,Arvada,2025-09-07,2225000.0,Yes,No,False,0,
043260CJ5,City of Arvada CO Water Revenue,Arvada,2025-09-07,2335000.0,Yes,No,False,0,
043260CK2,City of Arvada CO Water Revenue,Arvada,2025-09-07,2455000.0,Yes,No,False,0,
043260CL0,City of Arvada CO Water Revenue,Arvada,2025-07-09,2575000.0,Yes,No,False,0,
043260CM8,City of Arvada CO Water Revenue,Arvada,2025-09-07,2705000.0,Yes,No,False,0,
043260CN6,City of Arvada CO Water Revenue,Arvada,2025-09-07,2840000.0,Yes,No,False,0,
043260CP1,City of Arvada CO Water Revenue,Arvada,2025-09-07,2985000.0,Yes,No,False,0,
043260CQ9,City of Arvada CO Water Revenue,Arvada,2025-09-07,3130000.0,Yes,No,False,0,
043260CR7,City of Arvada CO Water Revenue,Arvada,2025-09-07,3290000.0,Yes,No,False,0,
043260CS5,City of Arvada CO Water Revenue,Arvada,2025-09-07,3450000.0,Yes,No,False,0,
043260CT3,City of Arvada CO Water Revenue,Arvada,2025-09-07,20025000.0,Yes,No,False,0,
043260CU0,City of Arvada CO Water Revenue,Arvada,2025-07-09,19940000.0,Yes,No,False,0,
051595BQ8,City of Aurora CO Water Revenue,Aurora,2021-09-09,4355000.0,Yes,No,False,0,
051595BR6,City of Aurora CO Water Revenue,Aurora,2021-09-09,3585000.0,Yes,No,False,0,
051595BS4,City of Aurora CO Water Revenue,Aurora,2021-09-09,3595000.0,Yes,No,False,0,
051595BT2,City of Aurora CO Water Revenue,Aurora,2021-09-09,3610000.0,Yes,No,False,0,
051595BU9,City of Aurora CO Water Revenue,Aurora,2021-09-09,3640000.0,Yes,No,False,0,
051595BV7,City of Aurora CO Water Revenue,Aurora,2021-09-09,3675000.0,Yes,No,False,0,
051595BW5,City of Aurora CO Water Revenue,Aurora,2021-09-09,3715000.0,Yes,No,False,0,
051595BX3,City of Aurora CO Water Revenue,Aurora,2021-09-09,3760000.0,Yes,No,False,0,
051595BY1,City of Aurora CO Water Revenue,Aurora,2021-09-09,17720000.0,Yes,No,False,0,
051595BZ8,City of Aurora CO Water Revenue,Aurora,2021-09-09,17995000.0,Yes,No,False,0,
051595CA2,City of Aurora CO Water Revenue,Aurora,2021-09-09,11805000.0,Yes,No,False,0,
051595CB0,City of Aurora CO Water Revenue,Aurora,2021-09-09,18315000.0,Yes,No,False,0,
051595CC8,City of Aurora CO Water Revenue,Aurora,2021-09-09,18680000.0,Yes,No,False,0,
051595CD6,City of Aurora CO Water Revenue,Aurora,2021-09-09,19070000.0,Yes,No,False,0,
051595CE4,City of Aurora CO Water Revenue,Aurora,2021-09-09,19490000.0,Yes,No,False,0,
081647ER6,City of Bend OR Sewer Revenue,Bend,2020-09-30,620000.0,--,No,False,0,
081647ES4,City of Bend OR Sewer Revenue,Bend,2020-09-30,650000.0,--,No,False,0,
081647ET2,City of Bend OR Sewer Revenue,Bend,2020-09-30,680000.0,--,No,False,0,
081647EU9,City of Bend OR Sewer Revenue,Bend,2020-09-30,715000.0,--,No,False,0,
081647EV7,City of Bend OR Sewer Revenue,Bend,2020-09-30,750000.0,--,No,False,0,
081647EW5,City of Bend OR Sewer Revenue,Bend,2020-09-30,790000.0,--,No,False,0,
081647EX3,City of Bend OR Sewer Revenue,Bend,2020-09-30,830000.0,--,No,False,0,
081647EY1,City of Bend OR Sewer Revenue,Bend,2020-09-30,870000.0,--,No,False,0,
081647EZ8,City of Bend OR Sewer Revenue,Bend,2020-09-30,905000.0,--,No,False,0,
081647FA2,City of Bend OR Sewer Revenue,Bend,2020-09-30,940000.0,--,No,False,0,
081647FB0,City of Bend OR Sewer Revenue,Bend,2020-09-30,990000.0,--,No,False,0,
081647FC8,City of Bend OR Sewer Revenue,Bend,2020-09-30,1035000.0,--,No,False,0,
081647FD6,City of Bend OR Sewer Revenue,Bend,2020-09-30,1090000.0,--,No,False,0,
081647FE4,City of Bend OR Sewer Revenue,Bend,2020-09-30,1145000.0,--,No,False,0,
081647FF1,City of Bend OR Sewer Revenue,Bend,2020-09-30,1200000.0,--,No,False,0,
081647FG9,City of Bend OR Sewer Revenue,Bend,2020-09-30,1260000.0,--,No,False,0,
081647FH7,City of Bend OR Sewer Revenue,Bend,2020-09-30,1325000.0,--,No,False,0,
081647FJ3,City of Bend OR Sewer Revenue,Bend,2020-09-30,1390000.0,--,No,False,0,
081647FK0,City of Bend OR Sewer Revenue,Bend,2020-09-30,1460000.0,--,No,False,0,
094615AA9,City of Bloomington IN,Bloomington,2021-12-21,255000.0,--,No,False,0,
094615AB7,City of Bloomington IN,Bloomington,2021-12-21,270000.0,--,No,False,0,
094615AC5,City of Bloomington IN,Bloomington,2021-12-21,275000.0,--,No,False,0,
094615AD3,City of Bloomington IN,Bloomington,2021-12-21,275000.0,--,No,False,0,
094615AE1,City of Bloomington IN,Bloomington,2021-12-21,280000.0,--,No,False,0,
094615AF8,City of Bloomington IN,Bloomington,2021-12-21,285000.0,--,No,False,0,
094615AG6,City of Bloomington IN,Bloomington,2021-12-21,290000.0,--,No,False,0,
094615AH4,City of Bloomington IN,Bloomington,2021-12-21,295000.0,--,No,False,0,
094615AJ0,City of Bloomington IN,Bloomington,2021-12-21,300000.0,--,No,False,0,
094615AK7,City of Bloomington IN,Bloomington,2021-12-21,305000.0,--,No,False,0,
094615AL5,City of Bloomington IN,Bloomington,2021-12-21,310000.0,--,No,False,0,
094615AM3,City of Bloomington IN,Bloomington,2021-12-21,315000.0,--,No,False,0,
094615AN1,City of Bloomington IN,Bloomington,2021-12-21,315000.0,--,No,False,0,
094615AP6,City of Bloomington IN,Bloomington,2021-12-21,320000.0,--,No,False,0,
094615AQ4,City of Bloomington IN,Bloomington,2021-12-21,325000.0,--,No,False,0,
094615AR2,City of Bloomington IN,Bloomington,2021-12-21,330000.0,--,No,False,0,
094615AS0,City of Bloomington IN,Bloomington,2021-12-21,335000.0,--,No,False,0,
094615AT8,City of Bloomington IN,Bloomington,2021-12-21,685000.0,--,No,False,0,
094615AU5,City of Bloomington IN,Bloomington,2021-12-21,705000.0,--,No,False,0,
094615AV3,City of Bloomington IN,Bloomington,2021-12-21,730000.0,--,No,False,0,
094615AW1,City of Bloomington IN,Bloomington,2021-12-21,755000.0,--,No,False,0,
094615AX9,City of Bloomington IN,Bloomington,2021-12-21,775000.0,--,No,False,0,
094615AY7,City of Bloomington IN,Bloomington,2021-12-21,795000.0,--,No,False,0,
094615AZ4,City of Bloomington IN,Bloomington,2021-12-21,1245000.0,--,No,False,0,
094725LV8,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,400000.0,Yes,No,False,0,
094725LW6,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1585000.0,Yes,No,False,0,
094725LX4,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1650000.0,Yes,Yes,False,0,
094725LY2,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,2220000.0,Yes,Yes,False,0,
094725LZ9,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,2310000.0,Yes,Yes,False,0,
094725MA3,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1355000.0,Yes,Yes,False,0,
094725MB1,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1410000.0,Yes,Yes,False,0,
094725MC9,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1470000.0,Yes,Yes,False,0,
094725MD7,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1525000.0,Yes,Yes,False,0,
094725ME5,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1585000.0,Yes,Yes,False,0,
094725MF2,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1650000.0,Yes,Yes,False,0,
094725MG0,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1715000.0,Yes,Yes,False,0,
094725MH8,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1785000.0,Yes,Yes,False,0,
094725MJ4,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1855000.0,Yes,Yes,False,0,
094725MK1,City of Bloomington IN Sewage Works Revenue,Bloomington,2020-12-23,1930000.0,Yes,Yes,False,0,
094725ML9,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,600000.0,Yes,No,False,0,
094725MM7,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,625000.0,Yes,No,False,0,
094725MN5,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,645000.0,Yes,No,False,0,
094725MP0,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,670000.0,Yes,No,False,0,
094725MQ8,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,690000.0,Yes,No,False,0,
094725MR6,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,715000.0,Yes,No,False,0,
094725MS4,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,725000.0,Yes,No,False,0,
094725MT2,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,245000.0,Yes,No,False,0,
094725MU9,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,250000.0,Yes,No,False,0,
094725MV7,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,265000.0,Yes,No,False,0,
094725MW5,City of Bloomington IN Sewage Works Revenue,Bloomington,2021-12-21,275000.0,Yes,No,False,0,
094743NK3,City of Bloomington IN Waterworks Revenue,Bloomington,2022-06-23,270000.0,Yes,No,False,0,
094743NL1,City of Bloomington IN Waterworks Revenue,Bloomington,2022-06-23,275000.0,Yes,No,False,0,
