CUSIP,Issuer_Name,Issue_Date,Maturity,Amt_Issued,Self_reported_Green,State
4387014A9,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2041-07-01,14485000.0,Yes,HI
4387014B7,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2042-07-01,15225000.0,Yes,HI
4387014C5,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2043-07-01,16005000.0,Yes,HI
4387014D3,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2025-12-01,16825000.0,Yes,HI
4387014E1,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2045-07-01,17690000.0,Yes,HI
4387014F8,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2046-07-01,18595000.0,Yes,HI
4387014G6,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2049-07-01,61710000.0,Yes,HI
4387014H4,City & County Honolulu HI Wastewater System Revenue,2024-09-25,2054-07-01,126665000.0,Yes,HI
094780V42,City of Bloomington MN,2018-12-05,2020-02-01,470000.0,Yes,MN
094780V59,City of Bloomington MN,2018-12-05,2021-02-01,555000.0,Yes,MN
094780V67,City of Bloomington MN,2018-12-05,2022-02-01,580000.0,Yes,MN
094780V75,City of Bloomington MN,2018-12-05,2023-02-01,610000.0,Yes,MN
094780V83,City of Bloomington MN,2018-12-05,2024-02-01,635000.0,Yes,MN
094780V91,City of Bloomington MN,2018-12-05,2025-02-01,665000.0,Yes,MN
094780W25,City of Bloomington MN,2018-12-05,2026-02-01,690000.0,Yes,MN
094780W33,City of Bloomington MN,2018-12-05,2027-02-01,725000.0,Yes,MN
094780W41,City of Bloomington MN,2018-12-05,2028-02-01,755000.0,Yes,MN
094780W58,City of Bloomington MN,2018-12-05,2029-02-01,790000.0,Yes,MN
094780W66,City of Bloomington MN,2018-12-05,2030-02-01,810000.0,Yes,MN
094780W74,City of Bloomington MN,2018-12-05,2031-02-01,835000.0,Yes,MN
094780W82,City of Bloomington MN,2018-12-05,2032-02-01,865000.0,Yes,MN
094780W90,City of Bloomington MN,2018-12-05,2033-02-01,895000.0,Yes,MN
094780X24,City of Bloomington MN,2018-12-05,2034-02-01,925000.0,Yes,MN
53746QAV2,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2024-08-01,365000.0,Yes,AR
53746QAW0,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2025-08-01,1055000.0,Yes,AR
53746QAX8,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2026-08-01,1070000.0,Yes,AR
53746QAY6,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2027-08-01,1080000.0,Yes,AR
53746QAZ3,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2028-08-01,1100000.0,Yes,AR
53746QBA7,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2029-08-01,1115000.0,Yes,AR
53746QBB5,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2030-08-01,1135000.0,Yes,AR
53746QBC3,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2031-08-01,1160000.0,Yes,AR
53746QBD1,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2032-08-01,1180000.0,Yes,AR
53746QBE9,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2033-08-01,1205000.0,Yes,AR
53746QBF6,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2034-08-01,1235000.0,Yes,AR
53746QBG4,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2035-08-01,1265000.0,Yes,AR
53746QBH2,City of Little Rock AR Water Reclamation System Revenue,2020-12-03,2042-08-01,9885000.0,Yes,AR
54466DAA3,City of Los Angeles CA Wastewater System Revenue,2023-09-13,2073-09-13,280000000.0,--,CA
760133SZ2,City of Renton WA,2013-07-01,2028-07-01,3200000.0,No,WA
59225CAA6,Metropolitan Pier & Exposition Authority,2019-05-08,2022-06-15,530000.0,--,IL
59225CAB4,Metropolitan Pier & Exposition Authority,2019-05-08,2023-06-15,630000.0,--,IL
59225CAC2,Metropolitan Pier & Exposition Authority,2019-05-08,2024-06-15,735000.0,--,IL
59225CAD0,Metropolitan Pier & Exposition Authority,2019-05-08,2025-06-15,850000.0,--,IL
59225CAE8,Metropolitan Pier & Exposition Authority,2019-05-08,2026-06-15,975000.0,--,IL
59225CAF5,Metropolitan Pier & Exposition Authority,2019-05-08,2027-06-15,1105000.0,--,IL
59225CAG3,Metropolitan Pier & Exposition Authority,2019-05-08,2028-06-15,1245000.0,--,IL
59225CAH1,Metropolitan Pier & Exposition Authority,2019-05-08,2029-06-15,1395000.0,--,IL
59225CAJ7,Metropolitan Pier & Exposition Authority,2019-05-08,2030-06-15,1555000.0,--,IL
59225CAK4,Metropolitan Pier & Exposition Authority,2019-05-08,2031-06-15,1730000.0,--,IL
59225CAL2,Metropolitan Pier & Exposition Authority,2019-05-08,2032-06-15,1915000.0,--,IL
59225CAM0,Metropolitan Pier & Exposition Authority,2019-05-08,2033-06-15,2115000.0,--,IL
59225CAN8,Metropolitan Pier & Exposition Authority,2019-05-08,2034-06-15,2330000.0,--,IL
59225CAP3,Metropolitan Pier & Exposition Authority,2019-05-08,2035-06-15,2555000.0,--,IL
59225CAQ1,Metropolitan Pier & Exposition Authority,2019-05-08,2036-06-15,2795000.0,--,IL
59225CAR9,Metropolitan Pier & Exposition Authority,2019-05-08,2037-06-15,3055000.0,--,IL
59225CAS7,Metropolitan Pier & Exposition Authority,2019-05-08,2038-06-15,3330000.0,--,IL
59225CAT5,Metropolitan Pier & Exposition Authority,2019-05-08,2039-06-15,3620000.0,--,IL
59225CAU2,Metropolitan Pier & Exposition Authority,2019-05-08,2040-06-15,3935000.0,--,IL
59225CAV0,Metropolitan Pier & Exposition Authority,2019-05-08,2041-06-15,465000.0,--,IL
59225CAW8,Metropolitan Pier & Exposition Authority,2024-01-10,2044-06-15,16470000.0,--,IL
59225CAX6,Metropolitan Pier & Exposition Authority,2024-01-10,2033-06-15,12380000.0,--,IL
59225CAY4,Metropolitan Pier & Exposition Authority,2024-01-10,2038-06-15,13980000.0,--,IL
791642AA9,St Louis Clean Energy Development Board,2017-09-21,2037-03-01,10105000.0,--,MO
791642AC5,St Louis Clean Energy Development Board,2018-06-22,2038-03-01,2638000.0,--,MO
79165TRS2,St Louis Municipal Finance Corp,2016-05-04,2031-04-15,3635000.0,--,MO
