Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_security_details,emma_search,google_site_search
Alexandria Sanitation Authority,2024-06-25,22,Yes,26290000,015343AA4,015343AA4;015343AB2;015343AC0;015343AD8;015343AE6;015343AF3;015343AG1;015343AH9;015343AJ5;015343AK2;015343AL0;015343AM8;015343AN6;015343AP1;015343AQ9;015343AR7;015343AS5;015343AT3;015343AU0;015343AV8;015343AW6;015343AX4,https://emma.msrb.org/Security/Details/015343AA4,https://emma.msrb.org/Search/Search.aspx?criteria=015343AA4,https://www.google.com/search?q=site%3Aemma.msrb.org%20015343AA4%20%22Official%20Statement%22
Board of Water Commissioners City & County of Denver/The,2017-05-23,12,Yes,142665000,24916PFQ5,24916PFQ5;24916PFR3;24916PFS1;24916PFT9;24916PFU6;24916PFV4;24916PFW2;24916PFX0;24916PFY8;24916PFZ5;24916PGA9;24916PGB7,https://emma.msrb.org/Security/Details/24916PFQ5,https://emma.msrb.org/Search/Search.aspx?criteria=24916PFQ5,https://www.google.com/search?q=site%3Aemma.msrb.org%2024916PFQ5%20%22Official%20Statement%22
Buffalo Sewer Authority,2021-06-16,1,Yes,0,119732AT2,119732AT2,https://emma.msrb.org/Security/Details/119732AT2,https://emma.msrb.org/Search/Search.aspx?criteria=119732AT2,https://www.google.com/search?q=site%3Aemma.msrb.org%20119732AT2%20%22Official%20Statement%22
Chula Vista Municipal Financing Authority,2017-12-21,24,No,13130000,17132EBE3,17132EBE3;17132EBF0;17132EBG8;17132EBH6;17132EBJ2;17132EBK9;17132EBL7;17132EBM5;17132EBN3;17132EBP8;17132EBQ6;17132EBS2;17132EBT0;17132EBU7;17132EBV5;17132EBW3;17132EBX1;17132EBY9;17132EBZ6;17132ECA0;17132ECB8;17132ECC6;17132ECD4;17132ECE2,https://emma.msrb.org/Security/Details/17132EBE3,https://emma.msrb.org/Search/Search.aspx?criteria=17132EBE3,https://www.google.com/search?q=site%3Aemma.msrb.org%2017132EBE3%20%22Official%20Statement%22
City & County Honolulu HI Wastewater System Revenue,2022-05-25,17,Yes,123130000,4387012D5,4387012D5;4387012E3;4387012F0;4387012G8;4387012H6;4387012J2;4387012K9;4387012L7;4387012M5;4387012N3;4387012P8;4387012Q6;4387012R4;4387012S2;4387012T0;4387012U7;4387012V5,https://emma.msrb.org/Security/Details/4387012D5,https://emma.msrb.org/Search/Search.aspx?criteria=4387012D5,https://www.google.com/search?q=site%3Aemma.msrb.org%204387012D5%20%22Official%20Statement%22
City & County Honolulu HI Wastewater System Revenue,2023-09-27,16,Yes,88200000,4387013A0,4387013A0;4387013B8;4387013C6;4387013D4;4387013E2;4387013F9;4387013G7;4387013H5;4387013J1;4387013K8;4387013L6;4387013M4;4387013N2;4387013P7;4387013Q5;4387013R3,https://emma.msrb.org/Security/Details/4387013A0,https://emma.msrb.org/Search/Search.aspx?criteria=4387013A0,https://www.google.com/search?q=site%3Aemma.msrb.org%204387013A0%20%22Official%20Statement%22
City & County Honolulu HI Wastewater System Revenue,2024-09-25,8,Yes,287200000,4387014A9,4387014A9;4387014B7;4387014C5;4387014D3;4387014E1;4387014F8;4387014G6;4387014H4,https://emma.msrb.org/Security/Details/4387014A9,https://emma.msrb.org/Search/Search.aspx?criteria=4387014A9,https://www.google.com/search?q=site%3Aemma.msrb.org%204387014A9%20%22Official%20Statement%22
City & County Honolulu HI Wastewater System Revenue,2025-07-24,1,No,11540000,4387015B6,4387015B6,https://emma.msrb.org/Security/Details/4387015B6,https://emma.msrb.org/Search/Search.aspx?criteria=4387015B6,https://www.google.com/search?q=site%3Aemma.msrb.org%204387015B6%20%22Official%20Statement%22
City & County Honolulu HI Wastewater System Revenue,2025-09-24,8,Yes,88230000,4387014W1,4387014W1;4387014X9;4387014Y7;4387014Z4;4387015A8;4387015C4;4387015D2;4387015E0,https://emma.msrb.org/Security/Details/4387014W1,https://emma.msrb.org/Search/Search.aspx?criteria=4387014W1,https://www.google.com/search?q=site%3Aemma.msrb.org%204387014W1%20%22Official%20Statement%22
City & County of Honolulu HI,2016-10-26,18,Yes,143815000,4386705P2,4386705P2;4386705Q0;4386705R8;4386705S6;4386705T4;4386705U1;4386705V9;4386705W7;4386705X5;4386705Y3;4386705Z0;4386706A4;4386706B2;4386706C0;4386706D8;4386706E6;4386706F3;4386706G1,https://emma.msrb.org/Security/Details/4386705P2,https://emma.msrb.org/Search/Search.aspx?criteria=4386705P2,https://www.google.com/search?q=site%3Aemma.msrb.org%204386705P2%20%22Official%20Statement%22
