Issuer_Name,Issue_Date,n_CUSIPs,Self_reported_Green,Total_Face_Value,lead_CUSIP,all_CUSIPs,emma_search
Board of Water Commissioners City & County of Denver/The,2017-05-23,12,Yes,142665000,24916PFQ5,24916PFQ5;24916PFR3;24916PFS1;24916PFT9;24916PFU6;24916PFV4;24916PFW2;24916PFX0;24916PFY8;24916PFZ5;24916PGA9;24916PGB7,https://emma.msrb.org/Search/Search.aspx?criteria=24916PFQ5
Chula Vista Municipal Financing Authority,2017-12-21,24,No,13130000,17132EBE3,17132EBE3;17132EBF0;17132EBG8;17132EBH6;17132EBJ2;17132EBK9;17132EBL7;17132EBM5;17132EBN3;17132EBP8;17132EBQ6;17132EBS2;17132EBT0;17132EBU7;17132EBV5;17132EBW3;17132EBX1;17132EBY9;17132EBZ6;17132ECA0;17132ECB8;17132ECC6;17132ECD4;17132ECE2,https://emma.msrb.org/Search/Search.aspx?criteria=17132EBE3
City & County Honolulu HI Wastewater System Revenue,2024-09-25,8,Yes,287200000,4387014A9,4387014A9;4387014B7;4387014C5;4387014D3;4387014E1;4387014F8;4387014G6;4387014H4,https://emma.msrb.org/Search/Search.aspx?criteria=4387014A9
City & County Honolulu HI Wastewater System Revenue,2025-07-24,1,No,11540000,4387015B6,4387015B6,https://emma.msrb.org/Search/Search.aspx?criteria=4387015B6
City & County of Honolulu HI,2016-10-26,18,Yes,143815000,4386705P2,4386705P2;4386705Q0;4386705R8;4386705S6;4386705T4;4386705U1;4386705V9;4386705W7;4386705X5;4386705Y3;4386705Z0;4386706A4;4386706B2;4386706C0;4386706D8;4386706E6;4386706F3;4386706G1,https://emma.msrb.org/Search/Search.aspx?criteria=4386705P2
City & County of Honolulu HI,2017-09-14,25,Yes,20060000,438687CN3,438687CN3;438687CP8;438687CQ6;438687CR4;438687CS2;438687CT0;438687CU7;438687CV5;438687CW3;438687CX1;438687CY9;438687CZ6;438687DA0;438687DB8;438687DC6;438687DD4;438687DE2;438687DF9;438687DG7;438687DH5;438687DJ1;438687DK8;438687DL6;438687DM4;438687DN2,https://emma.msrb.org/Search/Search.aspx?criteria=438687CN3
City & County of Honolulu HI,2018-09-05,19,Yes,189785000,438687DW2,438687DW2;438687DX0;438687DY8;438687DZ5;438687EA9;438687EB7;438687EC5;438687ED3;438687EE1;438687EF8;438687EG6;438687EH4;438687EJ0;438687EK7;438687EL5;438687EM3;438687EN1;438687EP6;438687EQ4,https://emma.msrb.org/Search/Search.aspx?criteria=438687DW2
City & County of San Francisco CA,2018-04-03,20,No,76710000,797646W93,797646W93;797646X27;797646X35;797646X43;797646X50;797646X68;797646X76;797646X84;797646X92;797646Y26;797646Y34;797646Y42;797646Y59;797646Y67;797646Y75;797646Y83;797646Y91;797646Z25;797646Z33;797646Z41,https://emma.msrb.org/Search/Search.aspx?criteria=797646W93
City of Albuquerque NM Refuse Removal & Disposal Revenue,2020-06-30,21,No,40570000,013630DT2,013630DT2;013630DU9;013630DV7;013630DW5;013630DX3;013630DY1;013630DZ8;013630EA2;013630EB0;013630EC8;013630ED6;013630EE4;013630EF1;013630EG9;013630EH7;013630EJ3;013630EK0;013630EL8;013630EM6;013630EN4;013630EP9,https://emma.msrb.org/Search/Search.aspx?criteria=013630DT2
City of Arvada CO Wastewater Revenue,2025-07-09,1,Yes,325000,043257BQ6,043257BQ6,https://emma.msrb.org/Search/Search.aspx?criteria=043257BQ6
City of Arvada CO Wastewater Revenue,2025-07-19,2,Yes,910000,043257BT0,043257BT0;043257CA0,https://emma.msrb.org/Search/Search.aspx?criteria=043257BT0
City of Arvada CO Wastewater Revenue,2025-09-07,22,Yes,13320000,043257BG8,043257BG8;043257BH6;043257BJ2;043257BK9;043257BL7;043257BM5;043257BN3;043257BP8;043257BR4;043257BS2;043257BU7;043257BV5;043257BW3;043257BX1;043257BY9;043257BZ6;043257CB8;043257CC6;043257CD4;043257CE2;043257CF9;043257CG7,https://emma.msrb.org/Search/Search.aspx?criteria=043257BG8
