Issuer,State,Your_Jurisdiction,Your_Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,Independence_Level,Geographic_Scope,Classification_Confidence,Num_Bonds,MSRB_Best_Match,MSRB_Best_Type,Match_Score,Match_Quality,MSRB_Type_Distribution,Has_Matching_Type,Comparison
Acton Municipal Utility District,TX,SPECIAL_DISTRICT,Special district,Acton,Acton,INDEPENDENT,Single city,HIGH,31,NORTH TEXAS MUNICIPAL WATER DISTRICT - REGIONAL SOLID WASTE SYSTEM BONDS,Other,85.5,LOW,{'Other': 6},True,UNABLE_TO_COMPARE
Alameda Community Facilities District,CA,CITY,Special district,Alameda,City of Alameda,SEMI_DEPENDENT,Single city,HIGH,14,CITY OF SAN JOSE - COMMUNITY FACILITIES DISTRICT BONDS,City,87.87878787878788,MODERATE,"{'City': 8, 'Other': 5}",True,AGREES
Alameda County Water District Financing Authority,CA,COUNTY,Authority/Agency,Alameda County,Alameda County,SEMI_DEPENDENT,Single county,HIGH,19,CITY OF SAN DIEGO - PUBLIC FACILITIES FINANCING AUTHORITY WATER REVENUE BONDS (79730C) & DIRECT LOANS,Other,85.5,LOW,"{'Other': 8, 'City': 6, 'County': 1}",True,UNABLE_TO_COMPARE
Albany City School District/NY,NY,SCHOOL_DISTRICT,School district,Albany City,Albany City,INDEPENDENT,Single city,HIGH,1,ALBANY N Y,Other,85.5,MODERATE,"{'Other': 5, 'State': 1, 'City': 6, 'County': 1}",True,AGREES
Albuquerque Metropolitan Arroyo Flood Control Authority,NM,SPECIAL_DISTRICT,Regional commission,Albuquerque Metropolitan Area,Albuquerque Metropolitan Area,MULTI_GOVERNED,Multi-city,MEDIUM,42,ALBUQUERQUE N MEX,Other,85.5,MODERATE,{'Other': 12},True,AGREES
Alexandria Sanitation Authority,VA,CITY,Authority/Agency,Alexandria,City of Alexandria,SEMI_DEPENDENT,Single city,HIGH,24,ALEXANDRIA VA,City,86.95652173913044,MODERATE,{'City': 7},True,AGREES
Aliquippa Municipal Water Authority Water & Sewer Revenue,PA,SPECIAL_DISTRICT,Special district,Aliquippa Municipal,Aliquippa Municipal,INDEPENDENT,Multi-city,HIGH,18,ALIQUIPPA PA,City,85.71428571428571,MODERATE,"{'City': 5, 'Other': 1}",True,AGREES_ALTERNATE_ENTRY
Alisal Union School District,CA,SCHOOL_DISTRICT,School district,Alisal Union,Alisal Union,INDEPENDENT,Single city,HIGH,15,CITY OF SAN DIEGO - ASSESSMENT DISTRICT NO. 4096 (PIPER RANCH) ASSESSMENT BONDS (797283),City,85.5,LOW,"{'City': 10, 'Other': 4, 'County': 1}",True,UNABLE_TO_COMPARE
Allegheny Valley Joint Sewage Authority,PA,MULTI_JURISDICTIONAL,Authority/Agency,Allegheny Valley,Allegheny Valley,MULTI_GOVERNED,Multi-city,MEDIUM,23,ALLEGHENY TWP PA,City,85.5,MODERATE,"{'City': 1, 'County': 4, 'Other': 7}",True,AGREES_ALTERNATE_ENTRY
American Municipal Power Inc,OH,MULTI_JURISDICTIONAL,Public utility,"Multiple municipalities across OH, PA, MI, WV, KY, VA","Multiple municipalities across OH, PA, MI, WV, KY, VA",MULTI_GOVERNED,Multi-state,HIGH,117,"AMERICAN MUNICIPAL POWER, INC.",Other,100.0,HIGH,"{'Other': 2, 'City': 5, 'County': 2, 'State': 1}",True,AGREES
Anchor Bay School District,MI,SCHOOL_DISTRICT,School District,Anchor Bay School District,Anchor Bay School District,INDEPENDENT,LOCAL,HIGH,20,BAY CITY MICH,City,85.5,MODERATE,"{'City': 7, 'County': 3}",False,PLAUSIBLE_MSRB_USES_PARENT
Angelina & Neches River Authority,TX,STATE,State agency,Texas,State of Texas,STATE_CONTROLLED,Multi-county,HIGH,4,ANGELINA & NECHES RIV AUTH TEX INDL DEV CORP IND L DEV REV,City,85.5,MODERATE,"{'City': 9, 'County': 4}",False,DISCREPANCY
Antelope Valley-East Kern Water Agency Financing Authority,CA,CITY,Financing authority,Antelope Valley-East Kern Water Agency,City of Antelope Valley-East Kern Water Agency,SEMI_DEPENDENT,Single city,MEDIUM,11,MOJAVE WATER AGENCY,Other,85.5,MODERATE,"{'Other': 8, 'City': 7}",True,AGREES_ALTERNATE_ENTRY
Arcadia School District,WI,SCHOOL_DISTRICT,School district,Arcadia,Arcadia,INDEPENDENT,Single city,HIGH,12,ARCADIA WIS,City,85.5,MODERATE,"{'City': 4, 'Other': 3}",True,AGREES_ALTERNATE_ENTRY
Arizona Board of Regents,AZ,STATE,Public university,Arizona,State of Arizona,SEMI_DEPENDENT,Statewide,HIGH,157,ARIZONA BRD REGENTS CTFS PARTN,State,88.37209302325581,MODERATE,"{'State': 5, 'Other': 2, 'City': 7, 'County': 1}",True,AGREES
Arizona Industrial Development Authority,AZ,STATE,Development corporation,Arizona,State of Arizona,SEMI_DEPENDENT,Statewide,MEDIUM,3,ARIZONA INDUSTRIAL DEVELOPMENT AUTHORITY,State,100.0,HIGH,"{'State': 7, 'City': 1, 'County': 3}",True,AGREES
Arizona State University,AZ,STATE,Public university,Arizona,State of Arizona,SEMI_DEPENDENT,Statewide,HIGH,23,ARIZONA STATE UNIVERSITY,State,100.0,HIGH,"{'State': 8, 'Other': 3, 'City': 5, 'County': 1}",True,AGREES
Arkadelphia Water & Sewer System,AR,CITY,Department,Arkadelphia,City of Arkadelphia,INTEGRATED,Single city,HIGH,10,ARKADELPHIA ARK,City,85.5,MODERATE,{'City': 3},True,AGREES
Arkansas Development Finance Authority,AR,STATE,Financing authority,Arkansas,State of Arkansas,STATE_CONTROLLED,Statewide,HIGH,69,ARKANSAS DEVELOPMENT FINANCE AUTHORITY,State,100.0,HIGH,"{'State': 8, 'Other': 1, 'City': 2}",True,AGREES
Atwater Elementary School District,CA,SCHOOL_DISTRICT,School district,Atwater Elementary,Atwater Elementary,INDEPENDENT,Single city,HIGH,15,ATWATER CALIF,City,85.5,MODERATE,"{'City': 4, 'Other': 3, 'County': 1}",True,AGREES_ALTERNATE_ENTRY
