CUSIP,Issuer_Name,Issue_Date,primary_prospectus,prospectus_total_words,bloomberg_industry,bloomberg_project_category,bloomberg_self_reported_green,n_compliance_keywords,compliance_density_per_1k,compelled_by_text,compelled_by_text_strict,kw_clean_water_act,kw_safe_drinking_water,kw_cercla,kw_npdes,kw_consent_decree,kw_epa_enforcement,kw_administrative_order,kw_ms4_permit,kw_compliance_schedule,kw_court_order,kw_regulatory_mandate,kw_tmdl,kw_violation,kw_enforcement_action
544495ZK3,Los Angeles Department of Water & Power,2013-06-04,EA531719-EA414230-EA811102,111021,Public Power,Renewable Energy,No,15,0.135,0,0,6,0,3,2,0,0,0,0,2,1,0,0,0,1
397730RM6,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RN4,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RL8,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RJ3,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RC8,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RQ7,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RB0,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RD6,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
397730RE4,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,133036,General Obligation,Energy Efficiency,No,4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
