CUSIP,Issuer_Name,Issue_Date,primary_prospectus,n_prospectus_matches,match_kind,prospectus_total_words,green_section_chars,n_green_keywords,green_keyword_density_per_1k,n_frameworks_cited,frameworks_cited,has_SPO,spo_verifiers,bloomberg_self_reported_green,bloomberg_esg_assurance,bloomberg_esg_framework,bloomberg_project_category,bloomberg_industry,city_fips7,State
544495ZK3,Los Angeles Department of Water & Power,2013-06-04,EA531719-EA414230-EA811102,1,full,111021,0,548,4.936,0,,0,,No,No,No,Renewable Energy,Public Power,644000.0,CA
397730RM6,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,full,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RN4,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,full,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RL8,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,full,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RJ3,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RC8,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RQ7,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,full,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RB0,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RD6,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RE4,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RF1,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RH7,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RK0,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RP9,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,full,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
397730RA2,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,1,prefix+suffix,133036,0,140,1.052,0,,0,,No,No,No,Energy Efficiency,General Obligation,4131250.0,OR
