CUSIP,Issuer_Name,Issue_Date,Self_reported_Green,Amt_Issued,State,n_prospectuses,match_kind,prospectus_files
544495ZK3,Los Angeles Department of Water & Power,2013-06-04,No,27855000.0,CA,1,full,EA531719-EA414230-EA811102
760133SZ2,City of Renton WA,2013-07-01,No,3200000.0,WA,0,,
397730RM6,City of Gresham OR,2013-07-30,No,760000.0,OR,1,full,EA548110-EA427013-EA823896
397730RN4,City of Gresham OR,2013-07-30,No,775000.0,OR,1,full,EA548110-EA427013-EA823896
397730RL8,City of Gresham OR,2013-07-30,No,755000.0,OR,1,full,EA548110-EA427013-EA823896
397730RJ3,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RC8,City of Gresham OR,2013-07-30,No,380000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RQ7,City of Gresham OR,2013-07-30,No,805000.0,OR,1,full,EA548110-EA427013-EA823896
397730RB0,City of Gresham OR,2013-07-30,No,380000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RD6,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RE4,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RF1,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RH7,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RK0,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RP9,City of Gresham OR,2013-07-30,No,785000.0,OR,1,full,EA548110-EA427013-EA823896
397730RA2,City of Gresham OR,2013-07-30,No,345000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
397730RG9,City of Gresham OR,2013-07-30,No,375000.0,OR,1,prefix+suffix,EA548110-EA427013-EA823896
655867SG5,City of Norfolk VA,2013-11-07,No,2470000.0,VA,1,prefix+suffix,ER710847-ER551237-ER952297
254845JZ4,District of Columbia Water & Sewer Authority,2014-07-23,Yes,350000000.0,DC,1,full,ER785601-ER610965-ER1013035
849103AA4,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,5625000.0,WA,1,full,EA665289-EA521356-EA917540
849103AD8,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,6530000.0,WA,1,full,EA665289-EA521356-EA917540
849103AG1,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,7555000.0,WA,1,full,EA665289-EA521356-EA917540
849103AJ5,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,8330000.0,WA,1,full,EA665289-EA521356-EA917540
849103AK2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,8750000.0,WA,1,full,EA665289-EA521356-EA917540
849103AC0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,6215000.0,WA,1,full,EA665289-EA521356-EA917540
849103AF3,City of Spokane WA Water & Wastewater Revenue,2014-12-02,Yes,7200000.0,WA,1,full,EA665289-EA521356-EA917540
