CUSIP,Issuer_Name,Issue_Date,primary_prospectus,bloomberg_self_reported_green,bloomberg_industry,federally_compelled,state_compelled_substantive,state_legal_compelled,voter_compelled,n_state_compulsion_hits,kw_calgreen,kw_title_24,kw_energy_code,kw_leed_required,kw_energy_star,kw_ashrae,kw_sb_32,kw_ab_32,kw_cap_and_trade,kw_state_ghg_target,kw_rps,kw_renewable_mandate,kw_clean_energy_mandate,kw_executive_order,kw_state_statute,kw_state_law_required,kw_voter_approved,kw_measure_prop,kw_rate_covenant,kw_seismic_retrofit,kw_unsafe_building,kw_required_by_law,kw_statutory_mandate
544495ZK3,Los Angeles Department of Water & Power,2013-06-04,EA531719-EA414230-EA811102,No,Public Power,0,1,0,1,80,0,0,0,0,0,0,0,15,20,1,36,0,0,0,0,0,0,3,5,0,0,0,0
397730RM6,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RN4,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RL8,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RJ3,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RC8,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RQ7,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RB0,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RD6,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RE4,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RF1,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RH7,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RK0,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RP9,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RA2,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
397730RG9,City of Gresham OR,2013-07-30,EA548110-EA427013-EA823896,No,General Obligation,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0
655867SG5,City of Norfolk VA,2013-11-07,ER710847-ER551237-ER952297,No,General Obligation,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
849103AA4,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AD8,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AG1,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AJ5,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AK2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AC0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AF3,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AH9,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AE6,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AB2,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AL0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AR7,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
849103AU0,City of Spokane WA Water & Wastewater Revenue,2014-12-02,EA665289-EA521356-EA917540,Yes,Water/Sewer,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,18,0,0,1,1
