prospectus_stem,total_words,climate,resilience,greenhouse,carbon,net_zero,emissions,decarbonization,renewable,solar,wind,hydro,energy_efficiency,LEED,ev,electrification,transit,sustainability,environmental,adaptation,mitigation,ESG,green_bond,water_quality,stormwater,wastewater,flood,sea_level,drought,wildfire
EA531719-EA414230-EA811102,111021,14,0,78,3,0,90,0,109,44,75,21,35,0,7,0,0,4,44,1,6,0,0,17,0,0,6,0,3,0
EA548110-EA427013-EA823896,133036,0,0,0,0,0,0,0,0,2,0,0,3,0,5,0,0,2,35,0,1,0,0,1,91,94,0,0,0,0
EA665289-EA521356-EA917540,130064,3,3,1,0,0,1,0,1,0,0,4,1,0,4,0,0,5,19,0,0,0,26,26,64,128,0,0,0,0
EA696473-EA546297-EA942538,77202,0,0,0,2,0,3,0,0,0,2,0,0,0,6,0,1,2,57,0,0,0,14,0,1,4,1,0,0,0
EA714162-EA560759-EA956890,70338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,16,0,0,0,6,2,13,6,6,0,1,0
EA716992-EA562911-EA959013,106617,6,0,6,1,0,9,0,3,0,0,0,0,0,2,0,0,2,23,0,2,0,15,27,9,372,4,0,15,0
EA740986-EA580655-EA976659,185534,0,0,0,0,0,0,0,1,0,0,0,0,13,1,2,6,10,20,0,1,0,0,5,31,3,2,0,0,1
EP1028838-ES833343-ES1234413,107256,24,0,0,5,0,0,0,0,0,1,2,0,4,0,0,3,4,10,0,0,0,22,1,1,1,9,7,0,2
EP840034-EP649831-EP1051429,90380,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,55,0,2,0,0,31,7,4,2,0,0,0
EP942755-EP731498-EP1133209,114106,6,1,0,0,0,0,0,5,0,0,0,0,0,1,0,4,5,23,1,0,0,16,17,0,48,2,0,24,0
EP953346-EP739582-EP1141192,108927,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,2,15,0,3,5,98,1,0,0,0
EP954217-EP740267-EP1141856,95413,1,0,2,0,0,6,0,0,2,0,0,3,0,0,0,0,0,11,0,7,0,15,6,19,1,5,0,0,0
EP955560-EP741280-EP1142849,50634,2,0,0,0,0,0,0,3,4,7,0,0,0,1,0,7,0,6,0,0,0,10,7,0,20,2,0,0,0
EP965467-EP749037-EP1150641,87052,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
EP972015-EP753901-EP1155503,77238,7,4,0,0,0,0,0,0,0,0,15,0,0,0,0,3,1,22,0,2,0,0,20,6,1,0,0,0,0
EP975656-EP756739-EP1158361,122831,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,6,4,27,1,0,1,0
EP985874-EP764592-EP1166360,92957,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,26,3,0,20,1,0,0,0
EP996982-EP772996-EP1174766,114905,6,0,4,0,0,8,0,2,2,0,0,0,0,0,0,0,5,17,0,0,0,29,34,12,373,6,0,23,0
EP998065-EP773774-EP1175532,70723,27,1,1,0,2,0,0,3,0,0,5,3,10,0,0,0,25,38,7,0,0,22,3,1,4,3,0,17,0
ER1000524-ER782761-ER1183971,79484,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,2,0,0,0,0,0,0,197,0,0,0,0
ER1064021-ER833314-ER1234218,89903,3,1,0,3,0,41,0,0,1,0,0,0,0,1,0,0,0,61,0,7,0,16,10,3,0,6,4,0,0
ER1074674-ER841832-ER1242654,108474,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,5,6,16,0,0,0,8,0,31,27,3,0,5,0
ER1108407-ER866317-ER1267002,158396,42,0,2,0,0,0,0,2,1,0,13,1,0,0,0,0,15,115,2,13,0,19,66,4,30,4,7,92,6
ER1112007-ER869797-ER1270532,144652,0,0,0,0,0,0,0,46,3,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,12,0,1,0
ER1151669-ER900832-ER1301301,95280,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,31,3,2,21,1,0,0,0
ER1165936-ER911496-ER1311964,112032,12,0,4,0,0,9,0,2,2,0,0,0,0,0,0,0,3,17,0,1,0,13,27,6,372,3,0,23,0
ER1167878-ER912933-ER1313398,64133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,44,4,1,17,2,0,0,0
ER1168298-ER913308-ER1313780,144465,7,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,9,7,1,3,0,15,5,32,83,24,1,41,0
ER1175794-ER919055-ER1319618,66885,13,2,0,0,0,0,0,0,7,1,0,0,2,1,0,0,0,9,0,0,0,15,4,166,8,15,0,0,0
ER1196139-ER936152-ER1337167,114862,26,0,0,6,0,0,0,0,0,1,2,0,4,0,0,2,4,7,3,0,0,26,1,1,1,13,23,0,2
ER1205814-ER944110-ER1345157,70071,4,1,72,0,0,0,0,1,0,0,0,1,1,0,0,0,5,1,1,0,0,2,1,7,8,0,0,0,0
ER1252791-ER979149-ER1380636,145176,5,2,1,0,0,22,0,0,3,0,0,0,0,5,0,0,4,95,1,29,0,28,1,0,1,3,8,0,0
ER1262285-ER985960-ER1388083,50938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,236,0,10,0,0,0
ER1272920-ER993617-ER1396484,87102,2,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,9,0,0,0,26,0,0,0,0,0,0,0
ER1276794-ER996504-ER1399663,93641,37,2,10,13,0,8,0,9,2,1,0,14,14,0,0,5,33,28,3,0,2,93,0,24,2,1,0,1,0
ER1294533-ES1040166-ES1443450,378671,59,0,1,0,0,0,0,2,1,0,11,1,0,2,0,0,22,78,8,9,0,25,56,3,29,15,30,85,8
