prospectus_stem,header_matched,section_chars,frameworks,verifiers
EA714162-EA560759-EA956890,GREEN BONDS,1129,,
EP1028838-ES833343-ES1234413,GREEN BONDS,531,,
EP942755-EP731498-EP1133209,GREEN BONDS DESIGNATION,8000,,
EP954217-EP740267-EP1141856,GREEN BONDS,581,,
EP955560-EP741280-EP1142849,GREEN BONDS,556,,
EP975656-EP756739-EP1158361,GREEN BONDS,8000,,
EP985874-EP764592-EP1166360,GREEN BOND,1514,,
EP998065-EP773774-EP1175532,GREEN BONDS DESIGNATION,8000,,
ER1064021-ER833314-ER1234218,GREEN BONDS DESIGNATION,8000,ICMA Green Bond Principles,Sustainalytics;Green Bond Principles
ER1074674-ER841832-ER1242654,GREEN BONDS,1397,,
ER1108407-ER866317-ER1267002,GREEN BONDS DESIGNATION,6043,Climate Bonds Standard,Sustainalytics;Climate Bond Initiative
ER1151669-ER900832-ER1301301,GREEN BONDS DESIGNATION,1574,,
ER1167878-ER912933-ER1313398,GREEN BONDS,8000,,
ER1168298-ER913308-ER1313780,GREEN BONDS DESIGNATION,8000,,
ER1175794-ER919055-ER1319618,GREEN BONDS DESIGNATION,8000,Climate Bonds Standard,Sustainalytics;Climate Bond Initiative
ER1196139-ER936152-ER1337167,GREEN BONDS,536,,
ER1205814-ER944110-ER1345157,GREEN BONDS,5171,Sustainable Development Goals,Climate Bond Initiative
ER1252791-ER979149-ER1380636,GREEN BONDS DESIGNATION,7826,ICMA Green Bond Principles,Sustainalytics;Green Bond Principles
ER1272920-ER993617-ER1396484,DESIGNATION AS GREEN BONDS,1085,,
ER1276794-ER996504-ER1399663,GREEN BOND DESIGNATION,1342,,
ER1294533-ES1040166-ES1443450,DESIGNATION AS GREEN BONDS,8000,Climate Bonds Standard;Sustainable Development Goals,Sustainalytics;Climate Bond Initiative
ER1312402-ER1022705-ER1428839,GREEN BONDS DESIGNATION,2151,,
ER861983-ER673540-ER1075290,GREEN BONDS DESIGNATION,1515,,
ER881975-ER689101-ER1090744,GREEN BONDS DESIGNATION,8000,,
ER993766-ER777992-ER1179255,GREEN BONDS,1253,,
ES1040822-ES813624-ES1215008,GREEN BONDS,5741,,
