prospectus_stem,par_amount_cover,series_designation,dated_date,rating_Moody,rating_SP,rating_Fitch,rating_KBRA,tax_exempt,taxable,subject_to_amt,bond_counsel,trustee_or_paying_agent,underwriter_or_purchaser,credit_enhancement
EA531719-EA414230-EA811102,"480,000,000",,Dated: Date of Delivery,Aa3,AA-,AA-,,Yes,Yes,No,"Orrick, Herrington & Sutcliffe LLP",e directly to DTC by the Treasurer of the City of Los Angeles,Barclays,
EA548110-EA427013-EA823896,"12,265,000",Series 2013B (Tax-Exempt),"DATED JULY 9, 2013",,,,,Yes,,,,Delivery between the City and U.S. Bank National Association,,
EA665289-EA521356-EA917540,"181,225,000",,"DATED NOVEMBER 18, 2014",Aa2,AA,,,,,No,K&L Gates LLP,,,
EA696473-EA546297-EA942538,"21,095,000",,"Dated: February 11, 2015",,,,,,,No,Pacifica Law Group LLP,and registrar for the purpose of paying,J.P. Morgan,
EA714162-EA560759-EA956890,"50,625,000",Series 2015 (Green Bonds),Dated: Date of Delivery,Aa2,AA,,,,,No,Parker Poe Adams & Bernstein LLP,"the City and The Bank of New York Mellon Trust Company, N.A","PNC Capital Markets, LLC",
EA716992-EA562911-EA959013,"188,755,000",Series 2015A,Dated: Date of Delivery,,AA+,AA+,AA+,,,No,"Norton Rose Fulbright US LLP, Los Angeles, California",Treasurer of the City of Los Angeles,Morgan Stanley,
EA740986-EA580655-EA976659,"122,530,000",Series 2015 B,,Aa2,AA-,,,,Yes,,nationally recognized,U.S. Bank National Association,"RBC Capital Markets, LLC",
EP1028838-ES833343-ES1234413,"171,405,000",Series 2017A (Federally Taxable),Dated: Date of Delivery,,,AA+,,Yes,Yes,,"Jones Hall, A Professional Law Corporation, San Francisco, California","City and Zions Bank, a Division of ZB, National Association",,
EP840034-EP649831-EP1051429,"27,145,000",Series 2014B,"DATED DECEMBER 4, 2014",Aa2,AA,,,,,,"Peck, Shaffer & Williams, a division of Dinsmore & Shohl LLP","ds from U.S. Bank, National Association, Louisville, Kentucky",,
EP942755-EP731498-EP1133209,"437,025,000",Series 2016 B,Dated: Date of Delivery,,AA+,AA+,,,,No,Kutak Rock LLP,"Bonds. UMB Bank, n.a. will act",Morgan Stanley,
EP953346-EP739582-EP1141192,"10,500,000",Series 2016C,Dated: Date of Delivery,Aa2,AA+,AA+,,,Yes,,is further of the opinion that interest on the Bonds is,,,
EP954217-EP740267-EP1141856,"12,500,000",Series 2016 (Federally Taxable),Dated: Date of Delivery,,AA,,,Yes,Yes,,"Jones Hall, A Professional Law Corporation, San Francisco, California","the City and The Bank of New York Mellon Trust Company, N.A",,
EP955560-EP741280-EP1142849,"378,805,000",Series 2016A,Dated: Date of Delivery,Aa1,C,AA+,,Yes,,No,"Orrick, Herrington & Sutcliffe LLP",,,
EP965467-EP749037-EP1150641,"24,985,000",Series 2016A,DATED: Date of Delivery,,,,,,Yes,,OPINIONS,and U.S. Bank National Association,,
EP972015-EP753901-EP1155503,"168,525,000",,"Dated December 6, 2016",Aaa,,,,Yes,,,Hawkins Delafield & Wood LLP,,,
EP975656-EP756739-EP1158361,"200,000,000",Series 2017A,Dated: Date of Delivery,Aa1,AAA,,,Yes,,No,to the Authority,"by and between the Authority and Wells Fargo Bank, N.A",Barclays,
EP985874-EP764592-EP1166360,"7,975,000",Series 2017C,"dated March 15, 2017",,,,,,,No,Barnes & Thornburg LLP,ive physical bond certificates. The City Treasurer is acting,,
EP996982-EP772996-EP1174766,"227,540,000",Series 2017A,Dated: Date of Delivery,,AA,AA,AA,Yes,Yes,,Hawkins Delafield & Wood LLP,Treasurer of the City of Los Angeles,Morgan Stanley,
EP998065-EP773774-EP1175532,"142,665,000",Series 2017 B,Dated: Date of Delivery,Aaa,AAA,AAA,,Yes,,,Becker Stowe Partners LLC,Bonds. U.S. Bank National Association will act,Citigroup,
ER1000524-ER782761-ER1183971,"8,890,000",Series 2016A (the “2016A Bonds”),"DATED DECEMBER 9, 2016",,AA-,,,,,,"Miller, Canfield, Paddock and Stone, P.L.C",U.S. Bank National Association,"HUTCHINSON, SHOCKEY, ERLEY & CO",
ER1064021-ER833314-ER1234218,"822,725,000",Series 2017 S,Dated: Date of Delivery,,,,,Yes,,,Kutak Rock LLP,U.S. Bank National Association,Citigroup,
ER1074674-ER841832-ER1242654,"64,700,000",Series 2017A,Dated: Date of Delivery,Aa1,AAA,AAA,,,,,Womble Carlyle Sandridge & Rice,under the Trust Agreement and,Loop Capital Markets,
ER1108407-ER866317-ER1267002,"339,540,000",,Dated: Date of Delivery,Aa3,AA,,,,,,to the SFPUC,by and between the SFPUC and U.S. Bank National Association,,
ER1112007-ER869797-ER1270532,"12,045,000",Series 2017B,Dated: Date of Delivery,,AA-,,,Yes,Yes,No,and Disclosure Counsel,"and U.S. Bank National Asso ciation, Los Angeles, California","by Nixon Peabody LLP, Los Angeles, California. It",
ER1151669-ER900832-ER1301301,"7,710,000",Series 2018D,"dated September 26, 2018",,,,,,,No,Barnes & Thornburg LLP,ve physical bond certificates. The City Treasurer is acting,,
ER1165936-ER911496-ER1311964,"219,790,000",Series 2018 B,Dated: Date of Delivery,,AA,AA,AA,Yes,,,Hawkins Delafield & Wood LLP,Treasurer of the City of Los Angeles,S. The City maintains a website at,
ER1167878-ER912933-ER1313398,"10,805,000",Series 2018D (Green Bonds),"DATED NOVEMBER 12, 2018",,,,,,,,"Kennedy & Graven, Chartered",,PNC Capital Markets LLC,
ER1168298-ER913308-ER1313780,"145,220,000",SERIES 2018A (Green Bonds),Dated: Date of Delivery,,C,,,Yes,,No,"Orrick, Herrington & Sutcliffe LLP","ween the Authority and Wells Fargo Bank, National Association",Citigroup,Build America Mutual Assurance Company
ER1175794-ER919055-ER1319618,"37,900,000",SERIES 2018 (GREEN BONDS),"dated December 6, 2018",Aa2,AA+,,,,,No,,,Stifel,
ER1196139-ER936152-ER1337167,"157,310,000",Series 2019A (Federally Taxable),Dated: Date of Delivery,,,AA+,,Yes,Yes,,"Jones Hall, A Professional Law Corporation, San Francisco, California","ween the City and Zions Bancorporation, National Association",Stifel,
ER1205814-ER944110-ER1345157,"8,920,000",SERIES 2019 D,,A2,AA,,,Yes,,No,to the City,,,Build America Mutual
ER1252791-ER979149-ER1380636,"163,080,000",Series 2019 B,Dated: Date of Delivery,,,,,Yes,,,Hawkins Delafield & Wood LLP,and between the Department and U.S. Bank National Association,Jefferies,
ER1262285-ER985960-ER1388083,"50,000,000",series 2019f (storm Water Pro Ject ),"dated July 8, 2016",,C,,,,,No,under,"DTC by U.S. Bank National Association, Indianapolis, Indiana","s. IN CONNECTION WITH THIS OFFERING, THE UNDERWRITERS MAY OVER ALL OT OR",
ER1272920-ER993617-ER1396484,"58,450,000",Series 2019 B,"DATED NOVEMBER 19, 2019",,,,,,,No,"Pierce Atwood LLP, Portland, Maine","by The Bank of New York Mellon Trust Company, N.A",J.P. Morgan,
ER1276794-ER996504-ER1399663,"117,926,157",Series 2019 D,"dated November 27, 2019",,C,AA+,,,,,"Kennedy & Graven, Chartered",,Morgan Stanley & Co,
