Issuer_Name,Issue_Date,n_CUSIPs,n_CUSIPs_covered,Self_reported_Green_any,Total_Face_Value,Primary_State,n_prospectuses,prospectus_files
Alexandria Sanitation Authority,2024-06-25,24,24,Yes,45680000,VA,1,P21823145-P21397824-P21839203
Board of Water Commissioners City & County of Denver/The,2017-05-23,12,12,Yes,142665000,CO,1,EP998065-EP773774-EP1175532
Boston Water & Sewer Commission,2021-07-07,17,17,Yes,157710000,MA,1,P21471764-P21141645-P21554828
Buffalo Sewer Authority,2021-06-16,18,18,Yes,49160000,NY,1,P11502927-P11163904-P11579113
Chicago Board of Education,2015-04-29,1,1,Yes,20000000,IL,1,ER866541-ER677151-ER1078929
Chula Vista Municipal Financing Authority,2017-12-21,24,24,No,13130000,CA,1,ER1112007-ER869797-ER1270532
City & County Honolulu HI Wastewater System Revenue,2022-05-25,21,21,Yes,241355000,HI,1,P11603229-P11236637-P11659652
City & County Honolulu HI Wastewater System Revenue,2023-09-27,20,20,Yes,189785000,HI,1,P11699065-P11306477-P11737668
City & County Honolulu HI Wastewater System Revenue,2024-09-25,8,8,Yes,287200000,HI,1,P11841971-P11371969-P11809858
City & County Honolulu HI Wastewater System Revenue,2025-07-24,1,1,No,11540000,HI,1,P21964955-P21499218-P21951692
City & County Honolulu HI Wastewater System Revenue,2025-09-24,10,10,Yes,205400000,HI,1,P21964955-P21499218-P21951692
City & County of Honolulu HI,2016-10-26,18,15,Yes,143815000,HI,1,EP955560-EP741280-EP1142849
City & County of Honolulu HI,2017-09-14,25,24,Yes,20060000,HI,1,ES1040822-ES813624-ES1215008
City & County of Honolulu HI,2018-09-05,19,18,Yes,189785000,HI,2,ES1040822-ES813624-ES1215008;ES1195945-ER896332-ER1296861
City & County of San Francisco CA,2018-04-03,20,20,No,76710000,CA,1,ES1133203-ES886786-ES1288177
City & County of San Francisco CA,2019-10-23,27,8,Yes,247810000,CA,1,ES1312722-ES1025651-ES1427554
City & County of San Francisco CA Community Facilities District No 2014-1,2017-11-09,17,17,Yes,171405000,CA,4,EP1028838-ES833343-ES1234413;P11636214-P11260306-P11685894;P21502980-P21162007-P21576850;SS1381600-SS1075701-SS1483050
