prospectus_stem,header_matched,section_chars
EA531719-EA414230-EA811102,USE OF PROCEEDS,11999
EA548110-EA427013-EA823896,USE OF PROCEEDS,3140
EA665289-EA521356-EA917540,USE OF PROCEEDS,4731
EA696473-EA546297-EA942538,USE OF PROCEEDS,394
EA714162-EA560759-EA956890,PLAN OF REFUNDING,6252
EA716992-EA562911-EA959013,USE OF PROCEEDS,6361
EA740986-EA580655-EA976659,USE OF PROCEEDS,4903
EP1028838-ES833343-ES1234413,USE OF PROCEEDS,10100
EP840034-EP649831-EP1051429,PURPOSE OF ISSUE,11999
EP942755-EP731498-EP1133209,USE OF PROCEEDS,12000
EP953346-EP739582-EP1141192,USE OF PROCEEDS,3571
EP965467-EP749037-EP1150641,USE OF PROCEEDS,12000
EP996982-EP772996-EP1174766,USE OF PROCEEDS,6408
EP998065-EP773774-EP1175532,USE OF PROCEEDS,9344
ER1064021-ER833314-ER1234218,THE FINANCING PLAN,12000
ER1074674-ER841832-ER1242654,PLAN OF FINANCING,875
ER1108407-ER866317-ER1267002,USE OF PROCEEDS,11999
ER1112007-ER869797-ER1270532,USE OF PROCEEDS,12000
ER1165936-ER911496-ER1311964,USE OF PROCEEDS,693
ER1167878-ER912933-ER1313398,USE OF PROCEEDS,1901
ER1168298-ER913308-ER1313780,USE OF PROCEEDS,5114
ER1175794-ER919055-ER1319618,USE OF PROCEEDS,12000
ER1196139-ER936152-ER1337167,USE OF PROCEEDS,12000
ER1205814-ER944110-ER1345157,USE OF PROCEEDS,5111
ER1252791-ER979149-ER1380636,USE OF PROCEEDS,7246
ER1262285-ER985960-ER1388083,USE OF PROCEEDS,2495
ER1272920-ER993617-ER1396484,USE OF PROCEEDS,12000
ER1276794-ER996504-ER1399663,USE OF PROCEEDS,1133
ER1294533-ES1040166-ES1443450,USE OF PROCEEDS,12000
ER1312402-ER1022705-ER1428839,PLAN OF REFUNDING,3577
ER710847-ER551237-ER952297,USE OF PROCEEDS,3990
ER785601-ER610965-ER1013035,USE OF PROCEEDS,3728
ER866541-ER677151-ER1078929,USE OF PROCEEDS,3877
ER881975-ER689101-ER1090744,USE OF PROCEEDS,12000
ER890479-ER695548-ER1097054,USE OF PROCEEDS,6357
ER990522-ER774681-ER1175984,USE OF PROCEEDS,11998
ES1078538-ES842358-ES1243371,USE OF PROCEEDS,12000
ES1103078-ES861962-ES1263095,USE OF PROCEEDS,7116
ES1143102-ES894276-ES1295551,USE OF PROCEEDS,1260
ES1143696-ES894297-ES1295573,USE OF PROCEEDS,5216
ES1184461-ES925614-ES1326629,USE OF PROCEEDS,4894
ES1208424-ES943762-ES1344533,USE OF PROCEEDS,11440
ES1213307-ES947485-ES1348269,USE OF PROCEEDS,12000
ES1235917-ES965388-ES1366271,USE OF PROCEEDS,12000
ES1249162-ES976727-ES1377889,USE OF PROCEEDS,2338
ES1311861-ES1025042-ES1426916,USE OF PROCEEDS,5075
ES1312722-ES1025651-ES1427554,USE OF PROCEEDS,11999
ES1328982-ES1036897-ES1439752,USE OF PROCEEDS,5018
