FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
1702154,arlington heights,Arlington Heights,IL,2013,171790000.0,24,171790000.0,24,146845000.0,23.0,146845000.0,23.0,171790000.0,24.0,171790000.0,24.0,146845000.0,23.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2014,8185000.0,2,179975000.0,26,0.0,0.0,146845000.0,23.0,8185000.0,2.0,179975000.0,26.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2015,281555000.0,42,461530000.0,68,0.0,0.0,146845000.0,23.0,281555000.0,42.0,461530000.0,68.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2016,661095000.0,92,1122625000.0,160,534890000.0,44.0,681735000.0,67.0,661095000.0,92.0,1122625000.0,160.0,534890000.0,44.0,681735000.0,67.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2017,604415000.0,39,1727040000.0,199,589955000.0,37.0,1271690000.0,104.0,604415000.0,39.0,1727040000.0,199.0,589955000.0,37.0,1271690000.0,104.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2018,4975000.0,17,1732015000.0,216,0.0,0.0,1271690000.0,104.0,4975000.0,17.0,1732015000.0,216.0,0.0,0.0,1271690000.0,104.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2019,510660000.0,59,2242675000.0,275,470925000.0,37.0,1742615000.0,141.0,510660000.0,59.0,2242675000.0,275.0,470925000.0,37.0,1742615000.0,141.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2020,568130000.0,65,2810805000.0,340,500000000.0,34.0,2242615000.0,175.0,568130000.0,65.0,2810805000.0,340.0,500000000.0,34.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2021,217910000.0,104,3028715000.0,444,0.0,0.0,2242615000.0,175.0,217910000.0,104.0,3028715000.0,444.0,0.0,0.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2022,61810000.0,61,3090525000.0,505,0.0,0.0,2242615000.0,175.0,61810000.0,61.0,3090525000.0,505.0,0.0,0.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2023,55805000.0,38,3146330000.0,543,30000000.0,1.0,2272615000.0,176.0,55805000.0,38.0,3146330000.0,543.0,30000000.0,1.0,2272615000.0,176.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2024,432445000.0,72,3578775000.0,615,58605000.0,13.0,2331220000.0,189.0,432445000.0,72.0,3578775000.0,615.0,58605000.0,13.0,2331220000.0,189.0,0.0,0.0,0.0,0.0
1702154,arlington heights,Arlington Heights,IL,2025,967360000.0,84,4546135000.0,699,857525000.0,71.0,3188745000.0,260.0,967360000.0,84.0,4546135000.0,699.0,857525000.0,71.0,3188745000.0,260.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2013,171790000.0,24,171790000.0,24,146845000.0,23.0,146845000.0,23.0,171790000.0,24.0,171790000.0,24.0,146845000.0,23.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2014,8185000.0,2,179975000.0,26,0.0,0.0,146845000.0,23.0,8185000.0,2.0,179975000.0,26.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2015,281555000.0,42,461530000.0,68,0.0,0.0,146845000.0,23.0,281555000.0,42.0,461530000.0,68.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2016,661095000.0,92,1122625000.0,160,534890000.0,44.0,681735000.0,67.0,661095000.0,92.0,1122625000.0,160.0,534890000.0,44.0,681735000.0,67.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2017,604415000.0,39,1727040000.0,199,589955000.0,37.0,1271690000.0,104.0,604415000.0,39.0,1727040000.0,199.0,589955000.0,37.0,1271690000.0,104.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2018,4975000.0,17,1732015000.0,216,0.0,0.0,1271690000.0,104.0,4975000.0,17.0,1732015000.0,216.0,0.0,0.0,1271690000.0,104.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2019,510660000.0,59,2242675000.0,275,470925000.0,37.0,1742615000.0,141.0,510660000.0,59.0,2242675000.0,275.0,470925000.0,37.0,1742615000.0,141.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2020,568130000.0,65,2810805000.0,340,500000000.0,34.0,2242615000.0,175.0,568130000.0,65.0,2810805000.0,340.0,500000000.0,34.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2021,217910000.0,104,3028715000.0,444,0.0,0.0,2242615000.0,175.0,217910000.0,104.0,3028715000.0,444.0,0.0,0.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2022,61810000.0,61,3090525000.0,505,0.0,0.0,2242615000.0,175.0,61810000.0,61.0,3090525000.0,505.0,0.0,0.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2023,55805000.0,38,3146330000.0,543,30000000.0,1.0,2272615000.0,176.0,55805000.0,38.0,3146330000.0,543.0,30000000.0,1.0,2272615000.0,176.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2024,432445000.0,72,3578775000.0,615,58605000.0,13.0,2331220000.0,189.0,432445000.0,72.0,3578775000.0,615.0,58605000.0,13.0,2331220000.0,189.0,0.0,0.0,0.0,0.0
1703012,aurora,Aurora,IL,2025,967360000.0,84,4546135000.0,699,857525000.0,71.0,3188745000.0,260.0,967360000.0,84.0,4546135000.0,699.0,857525000.0,71.0,3188745000.0,260.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2013,171790000.0,24,171790000.0,24,146845000.0,23.0,146845000.0,23.0,171790000.0,24.0,171790000.0,24.0,146845000.0,23.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2014,8185000.0,2,179975000.0,26,0.0,0.0,146845000.0,23.0,8185000.0,2.0,179975000.0,26.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2015,281555000.0,42,461530000.0,68,0.0,0.0,146845000.0,23.0,281555000.0,42.0,461530000.0,68.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2016,661095000.0,92,1122625000.0,160,534890000.0,44.0,681735000.0,67.0,661095000.0,92.0,1122625000.0,160.0,534890000.0,44.0,681735000.0,67.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2017,604415000.0,39,1727040000.0,199,589955000.0,37.0,1271690000.0,104.0,604415000.0,39.0,1727040000.0,199.0,589955000.0,37.0,1271690000.0,104.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2018,4975000.0,17,1732015000.0,216,0.0,0.0,1271690000.0,104.0,4975000.0,17.0,1732015000.0,216.0,0.0,0.0,1271690000.0,104.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2019,510660000.0,59,2242675000.0,275,470925000.0,37.0,1742615000.0,141.0,510660000.0,59.0,2242675000.0,275.0,470925000.0,37.0,1742615000.0,141.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2020,568130000.0,65,2810805000.0,340,500000000.0,34.0,2242615000.0,175.0,568130000.0,65.0,2810805000.0,340.0,500000000.0,34.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2021,217910000.0,104,3028715000.0,444,0.0,0.0,2242615000.0,175.0,217910000.0,104.0,3028715000.0,444.0,0.0,0.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2022,61810000.0,61,3090525000.0,505,0.0,0.0,2242615000.0,175.0,61810000.0,61.0,3090525000.0,505.0,0.0,0.0,2242615000.0,175.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2023,55805000.0,38,3146330000.0,543,30000000.0,1.0,2272615000.0,176.0,55805000.0,38.0,3146330000.0,543.0,30000000.0,1.0,2272615000.0,176.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2024,432445000.0,72,3578775000.0,615,58605000.0,13.0,2331220000.0,189.0,432445000.0,72.0,3578775000.0,615.0,58605000.0,13.0,2331220000.0,189.0,0.0,0.0,0.0,0.0
1705573,berwyn,Berwyn,IL,2025,967360000.0,84,4546135000.0,699,857525000.0,71.0,3188745000.0,260.0,967360000.0,84.0,4546135000.0,699.0,857525000.0,71.0,3188745000.0,260.0,0.0,0.0,0.0,0.0
1706613,bloomington,Bloomington,IL,2013,171790000.0,24,171790000.0,24,146845000.0,23.0,146845000.0,23.0,171790000.0,24.0,171790000.0,24.0,146845000.0,23.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1706613,bloomington,Bloomington,IL,2014,8185000.0,2,179975000.0,26,0.0,0.0,146845000.0,23.0,8185000.0,2.0,179975000.0,26.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
1706613,bloomington,Bloomington,IL,2015,281555000.0,42,461530000.0,68,0.0,0.0,146845000.0,23.0,281555000.0,42.0,461530000.0,68.0,0.0,0.0,146845000.0,23.0,0.0,0.0,0.0,0.0
