FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
2507000,boston,Boston,MA,2013,289456000.0,55,289456000.0,55,285605000.0,28.0,285605000.0,28.0,289456000.0,55.0,289456000.0,55.0,285605000.0,28.0,285605000.0,28.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2014,1044375000.0,88,1333831000.0,143,1009350000.0,72.0,1294955000.0,100.0,1044375000.0,88.0,1333831000.0,143.0,1009350000.0,72.0,1294955000.0,100.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2015,395705000.0,74,1729536000.0,217,386310000.0,36.0,1681265000.0,136.0,395705000.0,74.0,1729536000.0,217.0,386310000.0,36.0,1681265000.0,136.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2016,1500385000.0,88,3229921000.0,305,508070000.0,30.0,2189335000.0,166.0,1500385000.0,88.0,3229921000.0,305.0,508070000.0,30.0,2189335000.0,166.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2017,723150000.0,89,3953071000.0,394,350850000.0,36.0,2540185000.0,202.0,723150000.0,89.0,3953071000.0,394.0,350850000.0,36.0,2540185000.0,202.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2018,198160000.0,45,4151231000.0,439,163460000.0,22.0,2703645000.0,224.0,198160000.0,45.0,4151231000.0,439.0,163460000.0,22.0,2703645000.0,224.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2019,841239000.0,58,4992470000.0,497,191610000.0,23.0,2895255000.0,247.0,841239000.0,58.0,4992470000.0,497.0,191610000.0,23.0,2895255000.0,247.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2020,124710000.0,41,5117180000.0,538,87305000.0,17.0,2982560000.0,264.0,100825000.0,37.0,5093295000.0,534.0,87305000.0,17.0,2982560000.0,264.0,23885000.0,4.0,0.0,0.0
2507000,boston,Boston,MA,2021,1189140000.0,127,6306320000.0,665,272905000.0,62.0,3255465000.0,326.0,1031430000.0,110.0,6124725000.0,644.0,272905000.0,62.0,3255465000.0,326.0,157710000.0,17.0,0.0,0.0
2507000,boston,Boston,MA,2022,605800000.0,68,6912120000.0,733,573410000.0,46.0,3828875000.0,372.0,605800000.0,68.0,6730525000.0,712.0,573410000.0,46.0,3828875000.0,372.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2023,540695000.0,87,7452815000.0,820,282250000.0,30.0,4111125000.0,402.0,540695000.0,87.0,7271220000.0,799.0,282250000.0,30.0,4111125000.0,402.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2024,445535000.0,37,7898350000.0,857,0.0,0.0,4111125000.0,402.0,445535000.0,37.0,7716755000.0,836.0,0.0,0.0,4111125000.0,402.0,0.0,0.0,0.0,0.0
2507000,boston,Boston,MA,2025,395345000.0,29,8293695000.0,886,395345000.0,29.0,4506470000.0,431.0,395345000.0,29.0,8112100000.0,865.0,395345000.0,29.0,4506470000.0,431.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2013,289456000.0,55,289456000.0,55,285605000.0,28.0,285605000.0,28.0,289456000.0,55.0,289456000.0,55.0,285605000.0,28.0,285605000.0,28.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2014,1044375000.0,88,1333831000.0,143,1009350000.0,72.0,1294955000.0,100.0,1044375000.0,88.0,1333831000.0,143.0,1009350000.0,72.0,1294955000.0,100.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2015,395705000.0,74,1729536000.0,217,386310000.0,36.0,1681265000.0,136.0,395705000.0,74.0,1729536000.0,217.0,386310000.0,36.0,1681265000.0,136.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2016,1500385000.0,88,3229921000.0,305,508070000.0,30.0,2189335000.0,166.0,1500385000.0,88.0,3229921000.0,305.0,508070000.0,30.0,2189335000.0,166.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2017,723150000.0,89,3953071000.0,394,350850000.0,36.0,2540185000.0,202.0,723150000.0,89.0,3953071000.0,394.0,350850000.0,36.0,2540185000.0,202.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2018,198160000.0,45,4151231000.0,439,163460000.0,22.0,2703645000.0,224.0,198160000.0,45.0,4151231000.0,439.0,163460000.0,22.0,2703645000.0,224.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2019,841239000.0,58,4992470000.0,497,191610000.0,23.0,2895255000.0,247.0,841239000.0,58.0,4992470000.0,497.0,191610000.0,23.0,2895255000.0,247.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2020,124710000.0,41,5117180000.0,538,87305000.0,17.0,2982560000.0,264.0,124710000.0,41.0,5117180000.0,538.0,87305000.0,17.0,2982560000.0,264.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2021,1189140000.0,127,6306320000.0,665,272905000.0,62.0,3255465000.0,326.0,1189140000.0,127.0,6306320000.0,665.0,272905000.0,62.0,3255465000.0,326.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2022,605800000.0,68,6912120000.0,733,573410000.0,46.0,3828875000.0,372.0,605800000.0,68.0,6912120000.0,733.0,573410000.0,46.0,3828875000.0,372.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2023,540695000.0,87,7452815000.0,820,282250000.0,30.0,4111125000.0,402.0,540695000.0,87.0,7452815000.0,820.0,282250000.0,30.0,4111125000.0,402.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2024,445535000.0,37,7898350000.0,857,0.0,0.0,4111125000.0,402.0,445535000.0,37.0,7898350000.0,857.0,0.0,0.0,4111125000.0,402.0,0.0,0.0,0.0,0.0
2509000,brockton,Brockton,MA,2025,395345000.0,29,8293695000.0,886,395345000.0,29.0,4506470000.0,431.0,395345000.0,29.0,8293695000.0,886.0,395345000.0,29.0,4506470000.0,431.0,0.0,0.0,0.0,0.0
2513660,chicopee,Chicopee,MA,2013,289456000.0,55,289456000.0,55,285605000.0,28.0,285605000.0,28.0,289456000.0,55.0,289456000.0,55.0,285605000.0,28.0,285605000.0,28.0,0.0,0.0,0.0,0.0
2513660,chicopee,Chicopee,MA,2014,1044375000.0,88,1333831000.0,143,1009350000.0,72.0,1294955000.0,100.0,1044375000.0,88.0,1333831000.0,143.0,1009350000.0,72.0,1294955000.0,100.0,0.0,0.0,0.0,0.0
2513660,chicopee,Chicopee,MA,2015,395705000.0,74,1729536000.0,217,386310000.0,36.0,1681265000.0,136.0,395705000.0,74.0,1729536000.0,217.0,386310000.0,36.0,1681265000.0,136.0,0.0,0.0,0.0,0.0
2513660,chicopee,Chicopee,MA,2016,1500385000.0,88,3229921000.0,305,508070000.0,30.0,2189335000.0,166.0,1500385000.0,88.0,3229921000.0,305.0,508070000.0,30.0,2189335000.0,166.0,0.0,0.0,0.0,0.0
