FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
2404000,baltimore,Baltimore,MD,2013,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2014,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2015,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2016,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2017,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2018,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2019,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2020,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2021,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2022,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2023,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2024,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2404000,baltimore,Baltimore,MD,2025,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2013,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2014,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2015,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2016,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2017,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2018,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2019,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2020,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2021,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2022,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2023,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2024,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2408775,bowie,Bowie,MD,2025,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2013,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2014,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2015,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2016,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2017,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2018,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2019,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2020,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2021,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2022,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2023,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2024,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2430325,frederick,Frederick,MD,2025,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2013,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2014,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2015,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2016,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2017,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2018,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2019,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2020,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2021,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2022,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,672005000.0,39.0,2256890000.0,245.0,643455000.0,18.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2023,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,365495000.0,60.0,2622385000.0,305.0,0.0,0.0,1429985000.0,100.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2024,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,378865000.0,43.0,3001250000.0,348.0,350520000.0,13.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2431175,gaithersburg,Gaithersburg,MD,2025,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,28315000.0,30.0,3029565000.0,378.0,0.0,0.0,1780505000.0,113.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2013,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,185500000.0,3.0,185500000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2014,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,100000000.0,14.0,285500000.0,17.0,100000000.0,14.0,100000000.0,14.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2015,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,258200000.0,14.0,543700000.0,31.0,180000000.0,13.0,280000000.0,27.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2016,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,313035000.0,31.0,856735000.0,62.0,313035000.0,31.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2017,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2018,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,856735000.0,62.0,0.0,0.0,593035000.0,58.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2019,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,213380000.0,33.0,1070115000.0,95.0,159500000.0,3.0,752535000.0,61.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2020,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,81540000.0,50.0,1151655000.0,145.0,33995000.0,21.0,786530000.0,82.0,0.0,0.0,0.0,0.0
2467675,rockville,Rockville,MD,2021,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,433230000.0,61.0,1584885000.0,206.0,0.0,0.0,786530000.0,82.0,0.0,0.0,0.0,0.0
