FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
2603000,ann arbor,Ann Arbor,MI,2013,137745000.0,14,137745000.0,14,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2014,75640000.0,20,213385000.0,34,65140000.0,5.0,202885000.0,19.0,75640000.0,20.0,213385000.0,34.0,65140000.0,5.0,202885000.0,19.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2015,129115000.0,14,342500000.0,48,129115000.0,14.0,332000000.0,33.0,129115000.0,14.0,342500000.0,48.0,129115000.0,14.0,332000000.0,33.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2016,394080000.0,57,736580000.0,105,375355000.0,25.0,707355000.0,58.0,394080000.0,57.0,736580000.0,105.0,375355000.0,25.0,707355000.0,58.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2017,119575000.0,12,856155000.0,117,119575000.0,12.0,826930000.0,70.0,119575000.0,12.0,856155000.0,117.0,119575000.0,12.0,826930000.0,70.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2018,294030000.0,42,1150185000.0,159,290940000.0,27.0,1117870000.0,97.0,294030000.0,42.0,1150185000.0,159.0,290940000.0,27.0,1117870000.0,97.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2019,2595000.0,16,1152780000.0,175,0.0,0.0,1117870000.0,97.0,2595000.0,16.0,1152780000.0,175.0,0.0,0.0,1117870000.0,97.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2020,264865000.0,102,1417645000.0,277,255085000.0,78.0,1372955000.0,175.0,264865000.0,102.0,1417645000.0,277.0,255085000.0,78.0,1372955000.0,175.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2021,225850000.0,53,1643495000.0,330,219770000.0,21.0,1592725000.0,196.0,225850000.0,53.0,1643495000.0,330.0,219770000.0,21.0,1592725000.0,196.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2022,802930000.0,146,2446425000.0,476,300000000.0,1.0,1892725000.0,197.0,802930000.0,146.0,2446425000.0,476.0,300000000.0,1.0,1892725000.0,197.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2023,387775000.0,84,2834200000.0,560,78850000.0,20.0,1971575000.0,217.0,387775000.0,84.0,2834200000.0,560.0,78850000.0,20.0,1971575000.0,217.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2024,266225000.0,64,3100425000.0,624,249345000.0,29.0,2220920000.0,246.0,266225000.0,64.0,3100425000.0,624.0,249345000.0,29.0,2220920000.0,246.0,0.0,0.0,0.0,0.0
2603000,ann arbor,Ann Arbor,MI,2025,15870000.0,23,3116295000.0,647,0.0,0.0,2220920000.0,246.0,15870000.0,23.0,3116295000.0,647.0,0.0,0.0,2220920000.0,246.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2013,137745000.0,14,137745000.0,14,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2014,75640000.0,20,213385000.0,34,65140000.0,5.0,202885000.0,19.0,75640000.0,20.0,213385000.0,34.0,65140000.0,5.0,202885000.0,19.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2015,129115000.0,14,342500000.0,48,129115000.0,14.0,332000000.0,33.0,129115000.0,14.0,342500000.0,48.0,129115000.0,14.0,332000000.0,33.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2016,394080000.0,57,736580000.0,105,375355000.0,25.0,707355000.0,58.0,385190000.0,42.0,727690000.0,90.0,375355000.0,25.0,707355000.0,58.0,8890000.0,15.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2017,119575000.0,12,856155000.0,117,119575000.0,12.0,826930000.0,70.0,119575000.0,12.0,847265000.0,102.0,119575000.0,12.0,826930000.0,70.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2018,294030000.0,42,1150185000.0,159,290940000.0,27.0,1117870000.0,97.0,294030000.0,42.0,1141295000.0,144.0,290940000.0,27.0,1117870000.0,97.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2019,2595000.0,16,1152780000.0,175,0.0,0.0,1117870000.0,97.0,2595000.0,16.0,1143890000.0,160.0,0.0,0.0,1117870000.0,97.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2020,264865000.0,102,1417645000.0,277,255085000.0,78.0,1372955000.0,175.0,264865000.0,102.0,1408755000.0,262.0,255085000.0,78.0,1372955000.0,175.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2021,225850000.0,53,1643495000.0,330,219770000.0,21.0,1592725000.0,196.0,225850000.0,53.0,1634605000.0,315.0,219770000.0,21.0,1592725000.0,196.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2022,802930000.0,146,2446425000.0,476,300000000.0,1.0,1892725000.0,197.0,802930000.0,146.0,2437535000.0,461.0,300000000.0,1.0,1892725000.0,197.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2023,387775000.0,84,2834200000.0,560,78850000.0,20.0,1971575000.0,217.0,387775000.0,84.0,2825310000.0,545.0,78850000.0,20.0,1971575000.0,217.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2024,266225000.0,64,3100425000.0,624,249345000.0,29.0,2220920000.0,246.0,266225000.0,64.0,3091535000.0,609.0,249345000.0,29.0,2220920000.0,246.0,0.0,0.0,0.0,0.0
2605920,battle creek,Battle Creek,MI,2025,15870000.0,23,3116295000.0,647,0.0,0.0,2220920000.0,246.0,15870000.0,23.0,3107405000.0,632.0,0.0,0.0,2220920000.0,246.0,0.0,0.0,0.0,0.0
2621000,dearborn,Dearborn,MI,2013,137745000.0,14,137745000.0,14,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,137745000.0,14.0,0.0,0.0,0.0,0.0
2621000,dearborn,Dearborn,MI,2014,75640000.0,20,213385000.0,34,65140000.0,5.0,202885000.0,19.0,75640000.0,20.0,213385000.0,34.0,65140000.0,5.0,202885000.0,19.0,0.0,0.0,0.0,0.0
