FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
3006550,billings,Billings,MT,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2015,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2016,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2017,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2018,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2019,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2020,24865000.0,16.0,49230000.0,36.0,24865000.0,16.0,49230000.0,36.0,24865000.0,16.0,49230000.0,36.0,24865000.0,16.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2021,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2022,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2023,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2024,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3006550,billings,Billings,MT,2025,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2015,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2016,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2017,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2018,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2019,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,24365000.0,20.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2020,24865000.0,16.0,49230000.0,36.0,24865000.0,16.0,49230000.0,36.0,24865000.0,16.0,49230000.0,36.0,24865000.0,16.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2021,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2022,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2023,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2024,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3032800,great falls,Great Falls,MT,2025,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,49230000.0,36.0,0.0,0.0,0.0,0.0
3050200,missoula,Missoula,MT,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
