FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
3807200,bismarck,Bismarck,ND,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2018,153030000.0,19.0,153030000.0,19.0,93030000.0,17.0,93030000.0,17.0,153030000.0,19.0,153030000.0,19.0,93030000.0,17.0,93030000.0,17.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2019,7355000.0,4.0,160385000.0,23.0,7355000.0,4.0,100385000.0,21.0,7355000.0,4.0,160385000.0,23.0,7355000.0,4.0,100385000.0,21.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2020,72335000.0,2.0,232720000.0,25.0,0.0,0.0,100385000.0,21.0,72335000.0,2.0,232720000.0,25.0,0.0,0.0,100385000.0,21.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2021,162865000.0,27.0,395585000.0,52.0,0.0,0.0,100385000.0,21.0,162865000.0,27.0,395585000.0,52.0,0.0,0.0,100385000.0,21.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2022,85330000.0,20.0,480915000.0,72.0,85330000.0,20.0,185715000.0,41.0,85330000.0,20.0,480915000.0,72.0,85330000.0,20.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2023,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2024,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3807200,bismarck,Bismarck,ND,2025,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2018,153030000.0,19.0,153030000.0,19.0,93030000.0,17.0,93030000.0,17.0,153030000.0,19.0,153030000.0,19.0,93030000.0,17.0,93030000.0,17.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2019,7355000.0,4.0,160385000.0,23.0,7355000.0,4.0,100385000.0,21.0,7355000.0,4.0,160385000.0,23.0,7355000.0,4.0,100385000.0,21.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2020,72335000.0,2.0,232720000.0,25.0,0.0,0.0,100385000.0,21.0,72335000.0,2.0,232720000.0,25.0,0.0,0.0,100385000.0,21.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2021,162865000.0,27.0,395585000.0,52.0,0.0,0.0,100385000.0,21.0,162865000.0,27.0,395585000.0,52.0,0.0,0.0,100385000.0,21.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2022,85330000.0,20.0,480915000.0,72.0,85330000.0,20.0,185715000.0,41.0,85330000.0,20.0,480915000.0,72.0,85330000.0,20.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2023,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2024,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,0.0,0.0
3825700,fargo,Fargo,ND,2025,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,480915000.0,72.0,0.0,0.0,185715000.0,41.0,0.0,0.0,0.0,0.0
