FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
3345140,manchester,Manchester,NH,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2020,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2021,46535000.0,13.0,136535000.0,14.0,0.0,0.0,90000000.0,1.0,0.0,0.0,90000000.0,1.0,0.0,0.0,90000000.0,1.0,46535000.0,13.0,0.0,0.0
3345140,manchester,Manchester,NH,2022,6698000.0,1.0,143233000.0,15.0,0.0,0.0,90000000.0,1.0,6698000.0,1.0,96698000.0,2.0,0.0,0.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2023,0.0,0.0,143233000.0,15.0,0.0,0.0,90000000.0,1.0,0.0,0.0,96698000.0,2.0,0.0,0.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3345140,manchester,Manchester,NH,2024,656075000.0,28.0,799308000.0,43.0,550400000.0,3.0,640400000.0,4.0,550400000.0,3.0,647098000.0,5.0,550400000.0,3.0,640400000.0,4.0,105675000.0,25.0,0.0,0.0
3345140,manchester,Manchester,NH,2025,2890000.0,10.0,802198000.0,53.0,0.0,0.0,640400000.0,4.0,2890000.0,10.0,649988000.0,15.0,0.0,0.0,640400000.0,4.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2020,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2021,46535000.0,13.0,136535000.0,14.0,0.0,0.0,90000000.0,1.0,46535000.0,13.0,136535000.0,14.0,0.0,0.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2022,6698000.0,1.0,143233000.0,15.0,0.0,0.0,90000000.0,1.0,6698000.0,1.0,143233000.0,15.0,0.0,0.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2023,0.0,0.0,143233000.0,15.0,0.0,0.0,90000000.0,1.0,0.0,0.0,143233000.0,15.0,0.0,0.0,90000000.0,1.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2024,656075000.0,28.0,799308000.0,43.0,550400000.0,3.0,640400000.0,4.0,656075000.0,28.0,799308000.0,43.0,550400000.0,3.0,640400000.0,4.0,0.0,0.0,0.0,0.0
3350260,nashua,Nashua,NH,2025,2890000.0,10.0,802198000.0,53.0,0.0,0.0,640400000.0,4.0,2890000.0,10.0,802198000.0,53.0,0.0,0.0,640400000.0,4.0,0.0,0.0,0.0,0.0
