FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
3209700,carson,Carson,NV,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2017,171960000.0,3.0,171960000.0,3.0,171960000.0,3.0,171960000.0,3.0,171960000.0,3.0,171960000.0,3.0,171960000.0,3.0,171960000.0,3.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2018,47040000.0,2.0,219000000.0,5.0,47040000.0,2.0,219000000.0,5.0,47040000.0,2.0,219000000.0,5.0,47040000.0,2.0,219000000.0,5.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2019,55175000.0,2.0,274175000.0,7.0,55175000.0,2.0,274175000.0,7.0,55175000.0,2.0,274175000.0,7.0,55175000.0,2.0,274175000.0,7.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2020,20000000.0,1.0,294175000.0,8.0,20000000.0,1.0,294175000.0,8.0,20000000.0,1.0,294175000.0,8.0,20000000.0,1.0,294175000.0,8.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2021,22875000.0,22.0,317050000.0,30.0,22875000.0,22.0,317050000.0,30.0,22875000.0,22.0,317050000.0,30.0,22875000.0,22.0,317050000.0,30.0,0.0,0.0,0.0,0.0
3209700,carson,Carson,NV,2022,22935000.0,25.0,339985000.0,55.0,22935000.0,25.0,339985000.0,55.0,22935000.0,25.0,339985000.0,55.0,22935000.0,25.0,339985000.0,55.0,0.0,0.0,0.0,0.0
