FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
3601000,albany,Albany,NY,2013,591975000.0,82,591975000.0,82,591975000.0,82,591975000.0,82,591975000.0,82.0,591975000.0,82.0,591975000.0,82.0,591975000.0,82.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2014,594165000.0,71,1186140000.0,153,561020000.0,68,1152995000.0,150,594165000.0,71.0,1186140000.0,153.0,561020000.0,68.0,1152995000.0,150.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2015,707815000.0,137,1893955000.0,290,699115000.0,114,1852110000.0,264,707815000.0,137.0,1893955000.0,290.0,699115000.0,114.0,1852110000.0,264.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2016,2109350000.0,224,4003305000.0,514,2100580000.0,203,3952690000.0,467,2109350000.0,224.0,4003305000.0,514.0,2100580000.0,203.0,3952690000.0,467.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2017,5701606605.34,404,9704911605.34,918,5701606605.34,404,9654296605.34,871,5701606605.34,404.0,9704911605.34,918.0,5701606605.34,404.0,9654296605.34,871.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2018,1414140000.0,211,11119051605.34,1129,1414140000.0,211,11068436605.34,1082,1414140000.0,211.0,11119051605.34,1129.0,1414140000.0,211.0,11068436605.34,1082.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2019,2210503300.0,184,13329554905.34,1313,2173485000.0,131,13241921605.34,1213,2210503300.0,184.0,13329554905.34,1313.0,2173485000.0,131.0,13241921605.34,1213.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2020,5894830000.0,176,19224384905.34,1489,5838885000.0,122,19080806605.34,1335,5894830000.0,176.0,19224384905.34,1489.0,5838885000.0,122.0,19080806605.34,1335.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2021,3115459016.0,247,22339843921.34,1736,2373275000.0,100,21454081605.34,1435,3115459016.0,247.0,22339843921.34,1736.0,2373275000.0,100.0,21454081605.34,1435.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2022,4277682066.23,155,26617525987.57,1891,4248957066.23,142,25703038671.57,1577,4277682066.23,155.0,26617525987.57,1891.0,4248957066.23,142.0,25703038671.57,1577.0,0.0,0.0,0.0,0.0
3601000,albany,Albany,NY,2023,7155800000.0,262,33773325987.57,2153,7146585000.0,244,32849623671.57,1821,7155800000.0,262.0,33773325987.57,2153.0,7146585000.0,244.0,32849623671.57,1821.0,0.0,0.0,0.0,0.0
