FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
3901000,akron,Akron,OH,2013,17355914.0,2,17355914.0,2,17355914.0,2.0,17355914.0,2.0,17355914.0,2.0,17355914.0,2.0,17355914.0,2.0,17355914.0,2.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2014,364230000.0,35,381585914.0,37,364230000.0,35.0,381585914.0,37.0,364230000.0,35.0,381585914.0,37.0,364230000.0,35.0,381585914.0,37.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2015,3450000.0,1,385035914.0,38,0.0,0.0,381585914.0,37.0,3450000.0,1.0,385035914.0,38.0,0.0,0.0,381585914.0,37.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2016,1198245000.0,142,1583280914.0,180,744050000.0,53.0,1125635914.0,90.0,1198245000.0,142.0,1583280914.0,180.0,744050000.0,53.0,1125635914.0,90.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2017,430480000.0,17,2013760914.0,197,423765000.0,14.0,1549400914.0,104.0,430480000.0,17.0,2013760914.0,197.0,423765000.0,14.0,1549400914.0,104.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2018,282825000.0,65,2296585914.0,262,251405000.0,44.0,1800805914.0,148.0,282825000.0,65.0,2296585914.0,262.0,251405000.0,44.0,1800805914.0,148.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2019,1101162200.0,168,3397748114.0,430,1010470000.0,81.0,2811275914.0,229.0,1101162200.0,168.0,3397748114.0,430.0,1010470000.0,81.0,2811275914.0,229.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2020,1278720000.0,179,4676468114.0,609,792175000.0,76.0,3603450914.0,305.0,1278720000.0,179.0,4676468114.0,609.0,792175000.0,76.0,3603450914.0,305.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2021,1146250000.0,116,5822718114.0,725,1075000000.0,67.0,4678450914.0,372.0,1146250000.0,116.0,5822718114.0,725.0,1075000000.0,67.0,4678450914.0,372.0,0.0,0.0,0.0,0.0
3901000,akron,Akron,OH,2022,30635000.0,30,5853353114.0,755,0.0,0.0,4678450914.0,372.0,30635000.0,30.0,5853353114.0,755.0,0.0,0.0,4678450914.0,372.0,0.0,0.0,0.0,0.0
