FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
4202000,allentown,Allentown,PA,2013,158590000.0,32.0,158590000.0,32.0,48000000.0,7.0,48000000.0,7.0,158590000.0,32.0,158590000.0,32.0,48000000.0,7.0,48000000.0,7.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2014,0.0,0.0,158590000.0,32.0,0.0,0.0,48000000.0,7.0,0.0,0.0,158590000.0,32.0,0.0,0.0,48000000.0,7.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2015,65000000.0,20.0,223590000.0,52.0,65000000.0,20.0,113000000.0,27.0,65000000.0,20.0,223590000.0,52.0,65000000.0,20.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2016,339250000.0,3.0,562840000.0,55.0,0.0,0.0,113000000.0,27.0,339250000.0,3.0,562840000.0,55.0,0.0,0.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2017,30565000.0,1.0,593405000.0,56.0,0.0,0.0,113000000.0,27.0,30565000.0,1.0,593405000.0,56.0,0.0,0.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2018,20310000.0,19.0,613715000.0,75.0,0.0,0.0,113000000.0,27.0,20310000.0,19.0,613715000.0,75.0,0.0,0.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2019,194770000.0,150.0,808485000.0,225.0,90825000.0,9.0,203825000.0,36.0,194770000.0,150.0,808485000.0,225.0,90825000.0,9.0,203825000.0,36.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2020,486315000.0,208.0,1294800000.0,433.0,294060000.0,40.0,497885000.0,76.0,486315000.0,208.0,1294800000.0,433.0,294060000.0,40.0,497885000.0,76.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2021,229280000.0,234.0,1524080000.0,667.0,0.0,0.0,497885000.0,76.0,229280000.0,234.0,1524080000.0,667.0,0.0,0.0,497885000.0,76.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2022,167960000.0,134.0,1692040000.0,801.0,12000000.0,2.0,509885000.0,78.0,167960000.0,134.0,1692040000.0,801.0,12000000.0,2.0,509885000.0,78.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2023,58410000.0,35.0,1750450000.0,836.0,0.0,0.0,509885000.0,78.0,58410000.0,35.0,1750450000.0,836.0,0.0,0.0,509885000.0,78.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2024,48215000.0,20.0,1798665000.0,856.0,0.0,0.0,509885000.0,78.0,48215000.0,20.0,1798665000.0,856.0,0.0,0.0,509885000.0,78.0,0.0,0.0,0.0,0.0
4202000,allentown,Allentown,PA,2025,50490000.0,4.0,1849155000.0,860.0,0.0,0.0,509885000.0,78.0,50490000.0,4.0,1849155000.0,860.0,0.0,0.0,509885000.0,78.0,0.0,0.0,0.0,0.0
4206088,bethlehem,Bethlehem,PA,2013,158590000.0,32.0,158590000.0,32.0,48000000.0,7.0,48000000.0,7.0,158590000.0,32.0,158590000.0,32.0,48000000.0,7.0,48000000.0,7.0,0.0,0.0,0.0,0.0
4206088,bethlehem,Bethlehem,PA,2014,0.0,0.0,158590000.0,32.0,0.0,0.0,48000000.0,7.0,0.0,0.0,158590000.0,32.0,0.0,0.0,48000000.0,7.0,0.0,0.0,0.0,0.0
4206088,bethlehem,Bethlehem,PA,2015,65000000.0,20.0,223590000.0,52.0,65000000.0,20.0,113000000.0,27.0,65000000.0,20.0,223590000.0,52.0,65000000.0,20.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4206088,bethlehem,Bethlehem,PA,2016,339250000.0,3.0,562840000.0,55.0,0.0,0.0,113000000.0,27.0,339250000.0,3.0,562840000.0,55.0,0.0,0.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4206088,bethlehem,Bethlehem,PA,2017,30565000.0,1.0,593405000.0,56.0,0.0,0.0,113000000.0,27.0,30565000.0,1.0,593405000.0,56.0,0.0,0.0,113000000.0,27.0,0.0,0.0,0.0,0.0
4206088,bethlehem,Bethlehem,PA,2018,20310000.0,19.0,613715000.0,75.0,0.0,0.0,113000000.0,27.0,20310000.0,19.0,613715000.0,75.0,0.0,0.0,113000000.0,27.0,0.0,0.0,0.0,0.0
