FIPS,City,City_Name,State,Year,State_Total_Amt_Annual,State_Total_Count_Annual,State_Total_Amt_Cumul,State_Total_Count_Cumul,State_Govt_Amt_Annual,State_Govt_Count_Annual,State_Govt_Amt_Cumul,State_Govt_Count_Cumul,State_Total_Ex_City_Amt_Annual,State_Total_Ex_City_Count_Annual,State_Total_Ex_City_Amt_Cumul,State_Total_Ex_City_Count_Cumul,State_Govt_Ex_City_Amt_Annual,State_Govt_Ex_City_Count_Annual,State_Govt_Ex_City_Amt_Cumul,State_Govt_Ex_City_Count_Cumul,City_Own_Amt_Annual,City_Own_Count_Annual,City_Own_Govt_Amt_Annual,City_Own_Govt_Count_Annual
5101000,alexandria,Alexandria,VA,2013,106745000.0,10.0,106745000.0,10.0,104275000.0,9.0,104275000.0,9.0,106745000.0,10.0,106745000.0,10.0,104275000.0,9.0,104275000.0,9.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2014,178935000.0,17.0,285680000.0,27.0,178935000.0,17.0,283210000.0,26.0,178935000.0,17.0,285680000.0,27.0,178935000.0,17.0,283210000.0,26.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2015,285955000.0,39.0,571635000.0,66.0,279775000.0,24.0,562985000.0,50.0,285955000.0,39.0,571635000.0,66.0,279775000.0,24.0,562985000.0,50.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2016,10500000.0,2.0,582135000.0,68.0,0.0,0.0,562985000.0,50.0,10500000.0,2.0,582135000.0,68.0,0.0,0.0,562985000.0,50.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2017,40000000.0,1.0,622135000.0,69.0,40000000.0,1.0,602985000.0,51.0,40000000.0,1.0,622135000.0,69.0,40000000.0,1.0,602985000.0,51.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2018,40790000.0,19.0,662925000.0,88.0,30000000.0,1.0,632985000.0,52.0,40790000.0,19.0,662925000.0,88.0,30000000.0,1.0,632985000.0,52.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2019,0.0,0.0,662925000.0,88.0,0.0,0.0,632985000.0,52.0,0.0,0.0,662925000.0,88.0,0.0,0.0,632985000.0,52.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2020,122455000.0,59.0,785380000.0,147.0,104980000.0,23.0,737965000.0,75.0,122455000.0,59.0,785380000.0,147.0,104980000.0,23.0,737965000.0,75.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2021,74605000.0,20.0,859985000.0,167.0,0.0,0.0,737965000.0,75.0,74605000.0,20.0,859985000.0,167.0,0.0,0.0,737965000.0,75.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2022,180670000.0,24.0,1040655000.0,191.0,65000000.0,2.0,802965000.0,77.0,180670000.0,24.0,1040655000.0,191.0,65000000.0,2.0,802965000.0,77.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2023,0.0,0.0,1040655000.0,191.0,0.0,0.0,802965000.0,77.0,0.0,0.0,1040655000.0,191.0,0.0,0.0,802965000.0,77.0,0.0,0.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2024,163680000.0,44.0,1204335000.0,235.0,0.0,0.0,802965000.0,77.0,118000000.0,20.0,1158655000.0,211.0,0.0,0.0,802965000.0,77.0,45680000.0,24.0,0.0,0.0
5101000,alexandria,Alexandria,VA,2025,0.0,0.0,1204335000.0,235.0,0.0,0.0,802965000.0,77.0,0.0,0.0,1158655000.0,211.0,0.0,0.0,802965000.0,77.0,0.0,0.0,0.0,0.0
