Variable,R1 + YCOM,R2 + Grants,R3 Prob Rep,R4 Sym F3,R5 ESG Int.,R6 Networks,R7 Urban,R8 BPS,R9 FiscStr,R10 Informal,__N
Rep_Mayor_lag1,+0.0009 (0.0051),-0.0012 (0.0047),,-0.0011 (0.0047),-0.0010 (0.0047),-0.0005 (0.0047),+0.0008 (0.0049),-0.0030 (0.0050),-0.0005 (0.0046),-0.0012 (0.0047),
Ind_Mayor_lag1,+0.0145 (0.0135),+0.0094 (0.0111),+0.0064 (0.0078),+0.0088 (0.0112),+0.0093 (0.0111),+0.0098 (0.0105),+0.0120 (0.0118),+0.0106 (0.0120),+0.0091 (0.0112),+0.0090 (0.0111),
pres_dem_two_party_share_lag2,+0.0661 (0.0442),+0.0581* (0.0302),+0.0577* (0.0300),+0.0627** (0.0307),+0.0625** (0.0308),+0.0406 (0.0278),+0.0421 (0.0268),+0.0608* (0.0325),+0.0628** (0.0304),+0.0584* (0.0305),
npdes_formal_prior3yr_muni,+0.0197** (0.0081),+0.0189** (0.0077),+0.0196** (0.0079),+0.0192** (0.0078),+0.0195** (0.0077),+0.0140** (0.0058),+0.0211** (0.0082),+0.0191** (0.0079),+0.0189** (0.0077),+0.0182** (0.0082),
overflow_events_lag2,+0.0074*** (0.0014),+0.0078*** (0.0015),+0.0075*** (0.0015),+0.0076*** (0.0015),+0.0075*** (0.0015),+0.0076*** (0.0015),+0.0075*** (0.0014),+0.0089*** (0.0009),+0.0073*** (0.0014),+0.0075*** (0.0015),
charges_to_own_source_lag2,+0.0499* (0.0259),+0.0389 (0.0251),+0.0448* (0.0241),+0.0452* (0.0248),+0.0450* (0.0248),+0.0363 (0.0230),+0.0471* (0.0279),+0.0411 (0.0259),+0.0349 (0.0242),+0.0400 (0.0249),
reserve_ratio_lag2,+0.0062 (0.0038),+0.0036 (0.0033),+0.0037 (0.0033),+0.0049 (0.0033),+0.0047 (0.0032),+0.0053* (0.0030),+0.0048 (0.0030),+0.0042 (0.0038),+0.0063* (0.0035),+0.0040 (0.0032),
tel_stringency_normalized,+0.0012** (0.0006),+0.0014*** (0.0004),+0.0014*** (0.0004),+0.0013*** (0.0004),+0.0013*** (0.0004),+0.0007** (0.0003),+0.0009** (0.0003),-0.0024*** (0.0005),+0.0014*** (0.0004),+0.0014*** (0.0004),
log_cwsrf_obligations_lag2,-0.0001 (0.0005),-0.0001 (0.0005),-0.0000 (0.0005),+0.0001 (0.0004),-0.0001 (0.0005),-0.0001 (0.0005),+0.0000 (0.0005),+0.0003 (0.0003),-0.0000 (0.0005),-0.0000 (0.0005),
state_rep_trifecta,-0.0123 (0.0106),-0.0014 (0.0094),-0.0021 (0.0096),,-0.0067 (0.0083),-0.0060 (0.0081),-0.0024 (0.0090),-0.0040 (0.0131),-0.0013 (0.0095),-0.0016 (0.0095),
esg_has_muni_bond_law,-0.0053 (0.0078),-0.0078 (0.0065),-0.0078 (0.0066),,,-0.0073 (0.0065),-0.0086 (0.0065),-0.0072 (0.0068),-0.0086 (0.0066),-0.0083 (0.0065),
state_green_bond_ever_lag1,+0.0124 (0.0160),+0.0098 (0.0108),+0.0096 (0.0110),+0.0114 (0.0110),+0.0112 (0.0107),+0.0079 (0.0100),+0.0096 (0.0108),+0.0117 (0.0132),+0.0098 (0.0107),+0.0099 (0.0106),
has_substitute_issuer,-0.0078 (0.0137),-0.0022 (0.0121),-0.0023 (0.0126),-0.0027 (0.0124),-0.0035 (0.0123),-0.0048 (0.0120),-0.0080 (0.0137),-0.0042 (0.0125),-0.0031 (0.0121),-0.0034 (0.0122),
npdes_x_rep,,,,,,,,,,,
overflow_x_rep,,,,,,,,,,,
npdes_x_fiscal_x_rep,,,,,,,,,,,
opinion_regulate_lag2,+0.0008 (0.0027),,,,,,,,,,
opinion_fundrenewables_lag2,-0.0010 (0.0032),,,,,,,,,,
iija_water_grant_amt_asinh_lag1,,+0.0026 (0.0018),,,,,,,,,
ira_eecbg_grant_amt_asinh_lag1,,-0.0017 (0.0013),,,,,,,,,
ira_ggrf_grant_amt_asinh_lag1,,-0.0034*** (0.0012),,,,,,,,,
iija_transit_grant_amt_asinh_lag1,,+0.0005 (0.0005),,,,,,,,,
fema_resil_grant_amt_asinh_lag1,,-0.0047*** (0.0016),,,,,,,,,
mayor_prob_rep_lag1,,,-0.0016 (0.0051),,,,,,,,
state_dem_governor_lag1,,,,-0.0021 (0.0129),,,,,,,
state_dem_trifecta_lag1,,,,-0.0067 (0.0119),,,,,,,
state_carbon_pricing_lag1,,,,+0.0041 (0.0119),,,,,,,
esg_law_intensity_lag1,,,,,-0.0018 (0.0018),,,,,,
c40_member_lag1,,,,,,+0.0998* (0.0595),,,,,
iclei_member_lag1,,,,,,-0.0067 (0.0417),,,,,
climate_commitment_static,,,,,,+0.0280 (0.0342),,,,,
pop_density_sqkm_lag2,,,,,,,+0.0000 (0.0000),,,,
is_principal_city_lag2,,,,,,,+0.0060 (0.0060),,,,
bcode_state_bps_adopted_lag1,,,,,,,,+0.0029 (0.0198),,,
bcode_iecc_lag_yrs_lag1,,,,,,,,+0.0002 (0.0007),,,
bcode_state_weakening_amendments_lag1,,,,,,,,+0.0121 (0.0111),,,
fiscal_stress_index_lag2,,,,,,,,,+0.0139* (0.0075),,
epa_npdes_informal_asinh_lag2,,,,,,,,,,+0.0026 (0.0038),
