Variable,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,__N
Rep_Mayor_lag1,-0.0022 (0.0051),-0.0369 (0.0958),-0.0012 (0.0047),-0.0212 (0.0870),-0.0002 (0.0057),-0.0369 (0.0958),
Ind_Mayor_lag1,+0.0058 (0.0114),+0.1201 (0.2082),+0.0090 (0.0111),+0.1706 (0.2011),-0.0033 (0.0078),+0.1201 (0.2082),
pres_dem_two_party_share_lag2,+0.0606* (0.0321),+1.1128* (0.6138),+0.0583* (0.0305),+1.0587* (0.5834),+0.0617* (0.0323),+1.1128* (0.6138),
npdes_formal_prior3yr_muni,+0.0173* (0.0088),+0.3470** (0.1718),+0.0196** (0.0079),+0.3839** (0.1536),+0.0361** (0.0151),+0.3470** (0.1718),
overflow_events_lag2,+0.0075*** (0.0014),+0.1433*** (0.0276),+0.0075*** (0.0015),+0.1437*** (0.0282),+0.0000*** (0.0000),+0.1433*** (0.0276),
charges_to_own_source_lag2,+0.0542** (0.0269),+1.0339** (0.5159),+0.0402 (0.0249),+0.8018* (0.4806),+0.0474 (0.0292),+1.0339** (0.5159),
reserve_ratio_lag2,+0.0060 (0.0038),+0.1024 (0.0699),+0.0040 (0.0032),+0.0720 (0.0607),+0.0030 (0.0040),+0.1024 (0.0699),
tel_stringency_normalized,+0.0017*** (0.0004),+0.0326*** (0.0077),+0.0014*** (0.0004),+0.0267*** (0.0076),+0.0006 (0.0004),+0.0326*** (0.0077),
log_cwsrf_obligations_lag2,-0.0000 (0.0006),-0.0001 (0.0120),+0.0000 (0.0005),-0.0005 (0.0090),+0.0270*** (0.0050),-0.0001 (0.0120),
state_rep_trifecta,-0.0043 (0.0096),-0.0640 (0.1791),-0.0018 (0.0095),-0.0215 (0.1782),+0.0063 (0.0092),-0.0640 (0.1791),
esg_has_muni_bond_law,-0.0080 (0.0080),-0.1653 (0.1529),-0.0083 (0.0065),-0.1721 (0.1238),-0.0194** (0.0088),-0.1653 (0.1529),
state_green_bond_ever_lag1,+0.0092 (0.0097),+0.1816 (0.1843),+0.0097 (0.0108),+0.1884 (0.2042),+0.0169 (0.0132),+0.1816 (0.1843),
has_substitute_issuer,-0.0007 (0.0120),-0.0234 (0.2335),-0.0033 (0.0122),-0.0690 (0.2388),-0.0045 (0.0134),-0.0234 (0.2335),
npdes_x_rep,,,,,-0.0408** (0.0165),,
overflow_x_rep,,,,,-0.0000 (0.0000),,
npdes_x_fiscal_x_rep,,,,,+0.0025 (0.0025),,
