Variable,Y_water_only,Y_Clean_Transportation,Y_Renewable_Energy,Y_Energy_Efficiency,Y_Green_Buildings,Y_Climate_Change_Adaptation,Y_Pollution_Control,Y_natural_resource,stacked
Rep_Mayor_lag1,-0.001 (0.005),-0.000 (0.001),+0.002 (0.004),+0.002 (0.002),-0.000 (0.001),-0.000 (0.001),-0.000 (0.001),-0.000 (0.000),+0.002 (0.001)
Ind_Mayor_lag1,+0.007 (0.010),+0.002 (0.002),+0.006 (0.010),+0.002 (0.002),+0.000 (0.002),-0.001 (0.001),-0.000 (0.001),+0.001 (0.001),+0.001 (0.002)
pres_dem_two_party_share_lag2,+0.020 (0.019),+0.013 (0.012),+0.054 (0.053),+0.024** (0.011),+0.023* (0.014),+0.010* (0.005),+0.012* (0.007),-0.001 (0.003),+0.013* (0.007)
npdes_formal_prior3yr_muni,+0.008 (0.006),+0.007** (0.003),-0.001 (0.006),+0.004 (0.003),+0.007** (0.003),-0.002** (0.001),-0.001 (0.002),+0.000 (0.001),+0.003** (0.002)
charges_to_own_source_lag2,+0.026 (0.018),+0.013 (0.010),+0.065* (0.040),+0.002 (0.010),+0.020* (0.012),+0.004 (0.004),-0.001 (0.004),+0.004* (0.002),+0.010* (0.006)
tel_stringency_normalized,+0.001*** (0.000),+0.000 (0.000),-0.001 (0.001),-0.000 (0.000),-0.000** (0.000),+0.000 (0.000),+0.000** (0.000),+0.000 (0.000),+0.000*** (0.000)
log_cwsrf_obligations_lag2,+0.000 (0.000),+0.000 (0.000),+0.000 (0.000),-0.000 (0.000),-0.000 (0.000),+0.000 (0.000),-0.000 (0.000),+0.000 (0.000),-0.000 (0.000)
state_rep_trifecta,-0.004 (0.007),-0.000 (0.002),+0.002 (0.004),+0.001 (0.002),+0.001 (0.003),+0.001 (0.001),-0.002 (0.003),-0.001 (0.002),-0.000 (0.002)
has_substitute_issuer,+0.002 (0.009),-0.005 (0.006),-0.024 (0.016),-0.006** (0.003),+0.002 (0.007),-0.002 (0.001),-0.002** (0.001),-0.001 (0.001),-0.002 (0.003)
epa_water_violations_asinh_lag2,+0.001 (0.002),—,—,—,—,—,+0.000 (0.000),—,—
epa_npdes_informal_asinh_lag2,-0.001 (0.003),—,—,—,—,—,+0.000 (0.001),—,—
iija_transit_grant_amt_asinh_lag1,—,+0.000 (0.000),—,—,—,—,—,—,—
fn_pct_deficient_lag2,—,—,—,—,—,—,—,—,—
ep_muni_electric_rev_asinh_lag1,—,—,-0.031* (0.018),—,—,—,—,—,—
ep_has_muni_electric_lag1,—,—,—,—,—,—,—,—,—
state_rggi_member_lag1,—,—,+0.007 (0.017),—,—,—,—,—,—
state_rps_target_pct_lag1,—,—,-0.000 (0.000),—,—,—,—,—,—
bcode_state_bps_adopted_lag1,—,—,—,+0.004 (0.007),-0.002 (0.004),—,—,—,—
bcode_iecc_lag_yrs_lag1,—,—,—,—,-0.000 (0.000),—,—,—,—
bcode_state_weakening_amendments_lag1,—,—,—,—,+0.002 (0.003),—,—,—,—
ep_state_aceee_code_rank_lag1,—,—,—,-0.001** (0.000),—,—,—,—,—
state_carbon_pricing_lag1,—,—,—,-0.003 (0.005),—,—,—,—,—
ira_eecbg_grant_amt_asinh_lag1,—,—,—,+0.000 (0.001),—,—,—,—,—
ira_ggrf_grant_amt_asinh_lag1,—,—,—,—,-0.001* (0.001),—,—,—,—
fema_resil_grant_amt_asinh_lag1,—,—,—,—,—,-0.000* (0.000),—,—,—
nfip_total_losses_asinh_lag2,—,—,—,—,—,+0.000 (0.001),—,—,—
fema_disaster_flood_lag2,—,—,—,—,—,+0.001 (0.003),—,—,—
nri_inland_flooding_eal_bv,—,—,—,—,—,-0.000* (0.000),—,—,—
nri_overall_risk_score,—,—,—,—,—,—,—,+0.000 (0.000),—
compulsion_ord,—,—,—,—,—,—,—,—,-0.015** (0.006)
rep_x_compulsion,—,—,—,—,—,—,—,—,-0.001* (0.001)
N,5903,5903,854,5848,5370,5848,5903,5351,47224
R²,0.058,0.047,0.189,0.032,0.044,0.017,0.025,0.012,0.023
