CUSIP,Issuer_Name,Issue_Date,prospectus_url
24916PFQ5,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFR3,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFS1,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFT9,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFU6,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFV4,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFW2,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFX0,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFY8,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
24916PFZ5,Board of Water Commissioners City & County of Denver/The,2017-05-23,https://emma.msrb.org/EP998065-EP773774-EP1175532.pdf
