ID,Year,Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Industry_Full,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Jurisdiction_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,Entity_Type,Service_Function,Independence_Level,Geographic_Scope,State_Abb_Classified,State_Name,Classification_Confidence,Issue_Year,City_Name,County_Name,Is_Municipal,State_Year,City_State_Year,city_fips7,city_geo_name,city_name_crosswalk,city_match_method,panel_year,is_in_578_panel,cusip_duplicate_flag,included,cusip_repaired
2013-113,2013.0,113,544495ZK3,Los Angeles Department of Water & Power,4.413,27855000.0,2013-06-04,2037-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,Utilities,No,No,No,No,No,No,PUBPWR,Public Power,--,Renewable Energy,,CITY,Los Angeles,City of Los Angeles,Department,Water/Electric,INTEGRATED,Single city,CA,California,HIGH,2013.0,los angeles,,True,CA_2013,los angeles_CA_2013,644000.0,los angeles,Los Angeles,existing_city_name,2013.0,True,False,1,0
2013-150,2013.0,150,760133SZ2,City of Renton WA,,3200000.0,2013-07-01,2028-07-01,FED TAXABLE,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,,,CITY,Renton,City of Renton,Direct government,General government,INTEGRATED,Single city,WA,Washington,HIGH,2013.0,renton,,True,WA_2013,renton_WA_2013,5357745.0,renton,Renton,existing_city_name,2013.0,True,False,0,0
2013-205,2013.0,205,397730RM6,City of Gresham OR,4.3,760000.0,2013-07-30,2027-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,1,0
2013-206,2013.0,206,397730RN4,City of Gresham OR,4.5,775000.0,2013-07-30,2029-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,1,0
2013-207,2013.0,207,397730RL8,City of Gresham OR,4,755000.0,2013-07-30,2025-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,1,0
2013-208,2013.0,208,397730RJ3,City of Gresham OR,3.45,375000.0,2013-07-30,2022-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-209,2013.0,209,397730RC8,City of Gresham OR,1.4,380000.0,2013-07-30,2016-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-210,2013.0,210,397730RQ7,City of Gresham OR,4.85,805000.0,2013-07-30,2033-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,1,0
2013-211,2013.0,211,397730RB0,City of Gresham OR,1,380000.0,2013-07-30,2015-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
2013-212,2013.0,212,397730RD6,City of Gresham OR,1.85,375000.0,2013-07-30,2017-07-01,FED TAXABLE/ST TAX-EXEMPT,NEW MONEY,General Government,No,No,No,No,No,No,GO,General Obligation,--,Energy Efficiency,,CITY,Gresham,City of Gresham,Direct government,General government,INTEGRATED,Single city,OR,Oregon,HIGH,2013.0,gresham,,True,OR_2013,gresham_OR_2013,4131250.0,gresham,Gresham,existing_city_name,2013.0,True,False,0,0
