Issuer_Name,State_Abb,Jurisdiction_Type,Entity_Type,Controlling_Jurisdiction,Ultimate_Political_Jurisdiction,lat,lng,formatted_address,place_id,location_type,geo_source,match_method
Acton Municipal Utility District,TX,SPECIAL_DISTRICT,Special district,Acton,Acton,32.4276733,-97.6715393,"6420 Lusk Branch Ct, Granbury, TX 76049, USA",ChIJAQAAAMAhToYRw59mm2S1xqk,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Alameda Community Facilities District,CA,CITY,Special district,Alameda,City of Alameda,36.778261,-119.4179324,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,APPROXIMATE,GoogleGeocodingAPI,FUZZY_UPJ
Alameda County Water District Financing Authority,CA,COUNTY,Authority/Agency,Alameda County,Alameda County,37.505726,-121.9606722,"43885 S Grimmer Blvd, Fremont, CA 94538, USA",ChIJ3UxtgzXBj4ARv0v6oNJwtTc,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Albany City School District/NY,NY,SCHOOL_DISTRICT,School district,Albany City,Albany City,40.7127753,-74.0059728,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,APPROXIMATE,GoogleGeocodingAPI,FUZZY_UPJ
Albuquerque Metropolitan Arroyo Flood Control Authority,NM,SPECIAL_DISTRICT,Regional commission,Albuquerque Metropolitan Area,Albuquerque Metropolitan Area,35.1078407,-106.613362,"2600 Prospect Ave NE, Albuquerque, NM 87107, USA",ChIJfdr3DLN0IocRpX6eBB3KdL4,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Alexandria Sanitation Authority,VA,CITY,Authority/Agency,Alexandria,City of Alexandria,38.8053594,-77.0429004,"301 King St, Alexandria, VA 22314, USA",ChIJsd4pxPewt4kR-FHg7JVNpws,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
Alisal Union School District,CA,SCHOOL_DISTRICT,School district,Alisal Union,Alisal Union,36.6780554,-121.6050703,"155 Bardin Rd, Salinas, CA 93905, USA",ChIJiVlpimQHkoAR9u8ZRFw8svo,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
Allegheny Valley Joint Sewage Authority,PA,MULTI_JURISDICTIONAL,Authority/Agency,Allegheny Valley,Allegheny Valley,40.5302136,-79.8482296,"2400 Freeport Rd, Pittsburgh, PA 15238, USA",ChIJEXYOwEGTNIgRk2qDgm4sPow,ROOFTOP,GoogleGeocodingAPI,EXACT_ISSUER
American Municipal Power Inc,OH,MULTI_JURISDICTIONAL,Public utility,"Multiple municipalities across OH, PA, MI, WV, KY, VA","Multiple municipalities across OH, PA, MI, WV, KY, VA",40.1035674,-82.9853513,"1111 Schrock Rd, Columbus, OH 43229, USA",ChIJQ8iD-q70OIgRZxuKuGJ6n0I,ROOFTOP,GoogleGeocodingAPI,FUZZY_ISSUER
Angelina & Neches River Authority,TX,STATE,State agency,Texas,State of Texas,30.2746652,-97.7403505,"1100 Congress Ave., Austin, TX 78701, USA",ChIJz42sFKC1RIYROdCVpyJXb8s,ROOFTOP,GoogleGeocodingAPI,EXACT_UPJ
