year,fips7,city_name,opinion_affectweather,opinion_citizens,opinion_congress,opinion_consensus,opinion_corporations,opinion_devharm,opinion_discuss,opinion_exp,opinion_fundrenewables,opinion_futuregen,opinion_generaterenewable,opinion_governor,opinion_happening,opinion_harmplants,opinion_harmus,opinion_human,opinion_localofficials,opinion_personal,opinion_priority,opinion_reducetax,opinion_regulate,opinion_teachgw,opinion_timing,opinion_worried
2013,107000,birmingham,,,,,,,,,,,,,,,,,,,,,,,,
2014,107000,birmingham,,,,34.0,,48.0,,,71.0,54.0,,,56.0,,48.0,43.0,,34.0,,,70.0,,43.0,47.0
2015,107000,birmingham,,,,39.57,,54.065,,,75.235,59.44,,,61.33,,52.195,46.36,,36.545,,,71.905,,47.705,50.825
2016,107000,birmingham,,,,45.14,,60.13,28.29,,79.47,64.88,,,66.66,65.72,56.39,49.72,,39.09,,,73.81,79.77,52.41,54.65
2017,107000,birmingham,,,,45.52,,59.71,29.485,,81.2,64.775,,,66.59,66.16,56.85,51.6,,39.525000000000006,,,75.475,80.05,52.045,55.845
2018,107000,birmingham,58.47,62.97,60.28,45.9,65.05,59.29,30.68,,82.93,64.67,,58.05,66.52,66.6,57.31,53.48,59.45,39.96,,68.4,77.14,80.33,51.68,57.04
2019,107000,birmingham,55.13,62.17,58.28,47.19,66.14,59.21,30.36,,80.99,61.28,,58.2,61.77,64.21,55.69,48.7,59.64,40.84,,66.61,71.63,78.25,49.06,55.69
2020,107000,birmingham,60.87,62.44,59.04,52.12,67.59,62.18,30.44,,84.67,64.61,,55.36,66.7,66.36,59.39,52.75,57.25,41.58,49.33,68.52,74.45,78.81,58.02,59.56
2021,107000,birmingham,61.4,64.33,60.82,55.99,67.92,65.84,30.98,46.38,76.35,65.83,,60.01,67.76,67.53,63.27,52.0,62.1,46.65,53.71,68.13,72.27,79.42,61.74,63.16
2022,107000,birmingham,58.32,60.47,58.11,53.28,65.03,65.03,30.04,44.75,78.77,64.91,79.63,56.6,65.97,66.28,61.0,50.86,58.24,43.61,48.71,68.62,74.22,77.23,60.27,60.12
2023,107000,birmingham,59.09,60.67,61.27,53.46,67.27,64.21,30.91,44.31,79.75,65.36,77.75,57.38,68.88,66.64,59.84,51.54,59.04,45.01,53.08,70.17,75.06,77.75,60.94,60.62
2013,120104,decatur,,,,,,,,,,,,,,,,,,,,,,,,
2014,120104,decatur,,,,30.0,,44.0,,,72.0,53.0,,,54.0,,45.0,43.0,,30.0,,,70.0,,37.0,44.0
2015,120104,decatur,,,,32.53,,48.345,,,74.62,56.64,,,56.39,,47.205,43.355,,31.575,,,69.905,,40.57,45.47
2016,120104,decatur,,,,35.06,,52.69,24.19,,77.24,60.28,,,58.78,59.82,49.41,43.71,,33.15,,,69.81,69.23,44.14,46.94
2017,120104,decatur,,,,34.005,,51.5,24.675,,78.345,58.48,,,57.870000000000005,59.025,49.255,44.635000000000005,,33.65,,,70.35,70.15,42.725,47.24
2018,120104,decatur,47.73,54.3,50.32,32.95,57.74,50.31,25.16,,79.45,56.68,,47.75,56.96,58.23,49.1,45.56,49.42,34.15,,58.78,70.89,71.07,41.31,47.54
2019,120104,decatur,43.87,53.15,48.6,34.08,58.99,50.68,25.32,,77.3,53.16,,47.62,51.83,55.75,47.23,40.91,48.83,34.41,,55.06,64.26,67.1,38.51,46.21
2020,120104,decatur,46.86,52.49,47.15,36.45,59.29,52.58,23.92,,80.64,56.37,,42.52,56.13,57.73,50.16,44.87,44.91,34.05,36.73,57.31,66.69,68.08,46.13,48.41
2021,120104,decatur,46.1,53.63,47.96,38.04,58.47,55.39,23.06,33.59,69.51,56.11,,46.44,56.91,57.26,53.23,43.03,49.43,37.38,39.57,54.03,62.86,67.6,48.2,49.7
2022,120104,decatur,40.61,47.43,43.63,33.46,53.77,51.9,21.42,30.81,69.72,53.05,69.82,41.61,51.68,53.6,49.23,39.84,44.08,33.74,33.19,52.31,63.02,62.14,44.49,45.33
2023,120104,decatur,40.91,46.71,46.0,33.24,55.15,50.6,21.88,30.28,70.46,52.5,67.21,41.89,53.93,52.77,47.56,41.79,44.32,34.14,36.37,53.62,63.76,62.76,44.13,45.98
2013,121184,dothan,,,,,,,,,,,,,,,,,,,,,,,,
2014,121184,dothan,,,,29.0,,44.0,,,72.0,52.0,,,54.0,,44.0,41.0,,30.0,,,68.0,,37.0,43.0
2015,121184,dothan,,,,32.89,,48.515,,,74.53,56.04,,,57.24,,46.745000000000005,42.44,,31.63,,,68.33500000000001,,40.47,44.78
2016,121184,dothan,,,,36.78,,53.03,25.41,,77.06,60.08,,,60.48,59.66,49.49,43.88,,33.26,,,68.67,70.85,43.94,46.56
2017,121184,dothan,,,,36.575,,52.260000000000005,26.25,,78.55000000000001,59.045,,,60.645,59.3,49.245000000000005,45.42,,33.349999999999994,,,70.22,71.43,43.0,47.635000000000005
2018,121184,dothan,49.39,55.25,52.39,36.37,58.69,51.49,27.09,,80.04,58.01,,50.58,60.81,58.94,49.0,46.96,50.53,33.44,,58.53,71.77,72.01,42.06,48.71
