year,fips7,city_name,state_abb,muni_aaa_yield,c40_member,mayors_climate_signatory,iclei_member,climate_commitment_score,state_rps_active,state_rps_target_pct,state_carbon_pricing,state_carbon_price,state_climate_plan
2013,107000,birmingham,AL,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,107000,birmingham,AL,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,107000,birmingham,AL,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,107000,birmingham,AL,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,107000,birmingham,AL,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,107000,birmingham,AL,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,107000,birmingham,AL,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,107000,birmingham,AL,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,107000,birmingham,AL,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,107000,birmingham,AL,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,107000,birmingham,AL,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,120104,decatur,AL,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,120104,decatur,AL,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,120104,decatur,AL,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,120104,decatur,AL,2.84,0,0,0,0,0,0.0,0,0.0,0
2017,120104,decatur,AL,3.0,0,0,0,0,0,0.0,0,0.0,0
2018,120104,decatur,AL,3.27,0,0,0,0,0,0.0,0,0.0,0
2019,120104,decatur,AL,2.86,0,0,0,0,0,0.0,0,0.0,0
2020,120104,decatur,AL,2.21,0,0,0,0,0,0.0,0,0.0,0
2021,120104,decatur,AL,1.79,0,0,0,0,0,0.0,0,0.0,0
2022,120104,decatur,AL,3.07,0,0,0,0,0,0.0,0,0.0,0
2023,120104,decatur,AL,3.61,0,0,0,0,0,0.0,0,0.0,0
2013,121184,dothan,AL,3.67,0,0,0,0,0,0.0,0,0.0,0
2014,121184,dothan,AL,3.38,0,0,0,0,0,0.0,0,0.0,0
2015,121184,dothan,AL,3.16,0,0,0,0,0,0.0,0,0.0,0
2016,121184,dothan,AL,2.84,0,0,0,0,0,0.0,0,0.0,0
