auction_label,auction_type,year,month,auction_date_approx,current_auction_price_usd,advance_auction_price_usd,source_name,source_url,access_date,verification_status
CA-only Auction #1 (November 2012),ca_only,2012,11,2012-11-15,10.09,10.0,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #2 (February 2013),ca_only,2013,2,2013-02-15,13.62,10.71,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #3 (May 2013),ca_only,2013,5,2013-05-15,14.0,10.71,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #4 (August 2013),ca_only,2013,8,2013-08-15,12.22,11.1,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #5 (November 2013),ca_only,2013,11,2013-11-15,11.48,11.1,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #6 (February 2014),ca_only,2014,2,2014-02-15,11.48,11.38,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #7 (May 2014),ca_only,2014,5,2014-05-15,11.5,11.34,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
CA-only Auction #8 (August 2014),ca_only,2014,8,2014-08-15,11.5,11.34,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #1 (November 2014),joint,2014,11,2014-11-15,12.1,11.86,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #2 (February 2015),joint,2015,2,2015-02-15,12.21,12.1,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #3 (May 2015),joint,2015,5,2015-05-15,12.29,12.1,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #4 (August 2015),joint,2015,8,2015-08-15,12.52,12.3,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #5 (November 2015),joint,2015,11,2015-11-15,12.73,12.65,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #6 (February 2016),joint,2016,2,2016-02-15,12.73,12.73,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #7 (May 2016),joint,2016,5,2016-05-15,12.73,12.73,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #8 (August 2016),joint,2016,8,2016-08-15,12.73,12.73,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #9 (November 2016),joint,2016,11,2016-11-15,12.73,12.73,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #10 (February 2017),joint,2017,2,2017-02-15,13.57,13.57,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #11 (May 2017),joint,2017,5,2017-05-15,13.8,13.57,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #12 (August 2017),joint,2017,8,2017-08-15,14.75,14.55,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #13 (November 2017),joint,2017,11,2017-11-15,15.06,14.76,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #14 (February 2018),joint,2018,2,2018-02-15,14.61,14.53,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #15 (May 2018),joint,2018,5,2018-05-15,14.65,14.53,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
Joint Auction #16 (August 2018),joint,2018,8,2018-08-15,15.05,14.9,CARB Summary of CA-Quebec Joint Auction Settlement Prices and Results,https://ww2.arb.ca.gov/sites/default/files/2020-08/results_summary.pdf,2026-04-10,fetched
