year,current_auction_price_usd,num_auctions,source_name,source_url,access_date,verification_status,methodology_note
2013,12.5,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,First full compliance year. Annual average of four quarterly current-auction settlement prices from CARB.
2014,11.72,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Joint CA-Quebec auctions began November 2014. Annual average of current-auction prices.
2015,12.61,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Annual average.
2016,12.73,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Several 2016 auctions cleared at floor price amid legal uncertainty.
2017,14.3,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Program extended through 2030 in July 2017. Annual average.
2018,14.8,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Annual average.
2019,16.83,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Annual average.
2020,16.68,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Q2 2020 auction dropped amid COVID uncertainty; annual average.
2021,19.5,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Annual average.
2022,28.16,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Prices rose sharply in 2022. Annual average.
2023,33.32,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Annual average.
2024,35.45,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Annual average.
2025,28.13,4,CARB Summary of Auction Settlement Prices and Results,https://ww2.arb.ca.gov/our-work/programs/cap-and-trade-program/auction-information/auction-notices-and-reports,2026-04-10,transcribed,Prices softened on rulemaking delay; annual average through late 2025.
