state_abb,first_plan_year,plan_name,authority,source_name,source_url,access_date,verification_status,notes
CA,2006,AB 32 Global Warming Solutions Act and Climate Change Scoping Plan,Governor and Legislature,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,First binding statewide climate plan
CT,2005,Connecticut Climate Change Action Plan 2005,Governor's Steering Committee on Climate Change,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
RI,2002,Rhode Island Greenhouse Gas Action Plan 2002,RI Division of Planning,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,Among earliest state climate plans
NH,2009,NH Climate Action Plan,NH Department of Environmental Services,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
VT,2007,Vermont Governor's Commission on Climate Change Plan,Governor,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
MA,2008,Global Warming Solutions Act and Clean Energy and Climate Plan,Governor and Legislature,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
ME,2004,Climate Action Plan,Maine DEP,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
NY,2019,Climate Leadership and Community Protection Act (CLCPA),Governor and Legislature,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,Earlier informal climate plan 2009 superseded by 2019 CLCPA
NJ,2009,NJ Energy Master Plan and Global Warming Response Act,Governor,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
PA,2009,Pennsylvania Climate Change Action Plan,PA DEP,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
MD,2008,Maryland Climate Action Plan,Maryland Commission on Climate Change,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,Greenhouse Gas Reduction Act 2009
DE,2014,Delaware Climate Framework,DNREC,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
VA,2008,Virginia Energy Plan / Climate Change Action Plan,Governor,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
NC,2008,North Carolina Climate Action Plan Advisory Group report,NC DEQ,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
MI,2009,Michigan Climate Action Plan,MI DEQ,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
IL,2009,Illinois Climate Action Plan,IL EPA,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
WI,2007,Wisconsin Strategy for Reducing Global Warming,Wisconsin Task Force on Global Warming,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
MN,2008,Minnesota Climate Change Action Plan,Minnesota Climate Change Advisory Group,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
IA,2008,Iowa Climate Change Advisory Council Report,Iowa DNR,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
LA,2022,Louisiana Climate Initiatives Task Force Report,Governor Climate Initiatives Task Force,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
MT,2007,Montana Climate Change Advisory Committee Plan,Montana DEQ,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
CO,2007,Colorado Climate Action Plan,Governor's Energy Office,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
NM,2006,NM Climate Change Advisory Group Report,NM Environment Department,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
AZ,2006,Arizona Climate Change Action Plan,Arizona Climate Change Advisory Group,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,Later rescinded but exists in C2ES database for 2006-2012
NV,2020,Nevada State Climate Strategy,Governor's Office,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
WA,2008,Washington Climate Action Plan,Governor,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
OR,2004,Oregon Strategy for Greenhouse Gas Reductions,Oregon Climate Change Task Force,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
AK,2010,Alaska Climate Change Sub-Cabinet Action Plan,Governor,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
HI,2008,Hawaii Climate Change Action Plan,Hawaii DBEDT,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
DC,2006,DC Climate of Opportunity Action Plan,DC Department of Energy and Environment,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,
FL,2008,Florida Energy and Climate Commission Plan,Governor Crist,C2ES State Climate Action Plans Database,https://www.c2es.org/content/state-climate-policy/,2026-04-10,transcribed,Plan lapsed under subsequent administrations
