state_abb,state_name,pcap_submitted,submission_year,source_name,source_url,access_date,verification_status
AL,Alabama,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
AK,Alaska,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
AZ,Arizona,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
AR,Arkansas,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
CA,California,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
CO,Colorado,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
CT,Connecticut,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
DE,Delaware,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
DC,District of Columbia,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
FL,Florida,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
GA,Georgia,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
HI,Hawaii,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
ID,Idaho,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
IL,Illinois,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
IN,Indiana,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
IA,Iowa,0,,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
KS,Kansas,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
KY,Kentucky,0,,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
LA,Louisiana,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
ME,Maine,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
MD,Maryland,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
MA,Massachusetts,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
MI,Michigan,1,2024,EPA CPRG PCAP Directory,https://www.epa.gov/inflation-reduction-act/priority-climate-action-plans-states-msas-tribes-and-territories,2026-04-10,fetched
