state_abb,enactment_year,first_effective_year,target_pct,target_year,mandatory,statute,notes,source_name,source_url,access_date,verification_status
AZ,2006,2006,15.0,2025,1,Arizona Corporation Commission Decision 69127,Original 1.1% target rose to 15% by 2025 under 2006 rulemaking,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CA,2002,2003,20.0,2017,1,SBX1 2 (2002),Original 20% by 2017 target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CA,2011,2011,33.0,2020,1,SBX1 2 (2011),Raised to 33% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CA,2015,2015,50.0,2030,1,SB 350 (2015),Raised to 50% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CA,2018,2018,60.0,2030,1,SB 100 (2018),Raised to 60% by 2030 plus 100% zero-carbon by 2045,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CA,2022,2022,90.0,2035,1,SB 1020 (2022),90% by 2035 policy,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CO,2004,2005,10.0,2015,1,Amendment 37 (2004),First ballot-initiative RPS in US,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CO,2007,2007,20.0,2020,1,HB 07-1281,Raised to 20% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CO,2010,2010,30.0,2020,1,HB 10-1001,Raised to 30% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CO,2019,2019,100.0,2040,1,HB 19-1261,100% clean electricity by 2040,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CT,2003,2004,23.0,2020,1,Public Act 03-135,Original 23% by 2020,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CT,2013,2013,27.0,2020,1,Public Act 13-303,Raised target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
CT,2018,2018,48.0,2030,1,Public Act 18-50,48% by 2030,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
DC,2004,2005,11.0,2022,1,DC Council,Original 11% target,LBNL 2024 RPS Status Update (Barbose),https://emp.lbl.gov/publications/us-state-renewables-portfolio,2026-04-10,transcribed
