auction_num,year,month,auction_date_approx,auction_label,current_auction_price_usd,advance_auction_price_usd,source_name,source_url,access_date,verification_status
1,2023,2,2023-02-15,Auction #1 (February 2023),48.5,22.2,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
2,2023,5,2023-05-15,Auction #2 (May 2023),56.01,31.12,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
3,2023,8,2023-08-15,Auction #3 (August 2023),63.03,,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
4,2023,12,2023-12-15,Auction #4 (December 2023),51.89,45.0,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
5,2024,3,2024-03-15,Auction #5 (March 2024),25.76,,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
6,2024,6,2024-06-15,Auction #6 (June 2024),29.92,24.02,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
7,2024,9,2024-09-15,Auction #7 (September 2024),29.88,,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
8,2024,12,2024-12-15,Auction #8 (December 2024),40.26,26.0,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
9,2025,3,2025-03-15,Auction #9 (March 2025),50.0,,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
10,2025,6,2025-06-15,Auction #10 (June 2025),58.51,26.61,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
11,2025,9,2025-09-15,Auction #11 (September 2025),64.3,,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
12,2025,12,2025-12-15,Auction #12 (December 2025),70.86,29.4,Washington Dept of Ecology Cap-and-Invest Auction Summary Report,https://apps.ecology.wa.gov/publications/UIPages/PublicationList.aspx?IndexTypeName=Topic&NameValue=Cap-and-Invest+Market+Reports,2026-04-10,fetched
