fips,geo_name,state_abb,GEO_ID_city,place_geo_id,NAME_city,county_geo_id,GEO_ID_county,NAME_county,state_fips2,state_abbrev,relevant_counties,_fips7,_state,_name,recommended_approach,fips7,city_place7,city_name,state_fips2_hist,fiscal_muni_id,fiscal_muni_name,city_place7_HIST,city_name_HIST,state_fips2_HIST,fiscal_muni_id_HIST,fiscal_muni_name_HIST,gid_name_2012_2016,pid_name_2017_2023,hist_fiscal_id,hist_fiscal_name
3651000,new york,NY,1600000US3651000,1600000US3651000,"New York city, New York",0500000US36005,0500000US36005,Bronx County,36,NY,Bronx County [0500000US36005]; Kings County [0500000US36047]; New York County [0500000US36061]; Queens County [0500000US36081]; Richmond County [0500000US36085],3651000,NY,new york,multi_county_consolidated (aggregate 5 counties into city composite),3651000,3651000,New York,36,332031001,NEW YORK CITY,3651000,New York,36,332031001,NEW YORK CITY,NEW YORK CITY,NEW YORK CITY,332031001,NEW YORK CITY
1714000,chicago,IL,1600000US1714000,1600000US1714000,"Chicago city, Illinois",0500000US17031,0500000US17031,Cook County,17,IL,Cook County [0500000US17031],1714000,IL,chicago,single_county (principal county sufficient),1714000,1714000,Chicago,17,142016016,CHICAGO CITY,1714000,Chicago,17,142016016,CHICAGO CITY,CHICAGO CITY,CHICAGO CITY,142016016,CHICAGO CITY
455000,phoenix,AZ,1600000US0455000,1600000US0455000,"Phoenix city, Arizona",0500000US04013,0500000US04013,"Maricopa County, Arizona",4,AZ,,455000,AZ,phoenix,,455000,455000,Phoenix,4,32007010,PHOENIX CITY,455000,Phoenix,4,32007010,PHOENIX CITY,PHOENIX CITY,PHOENIX CITY,32007010,PHOENIX CITY
666000,san diego,CA,1600000US0666000,1600000US0666000,"San Diego city, California",0500000US06073,0500000US06073,"San Diego County, California",6,CA,,666000,CA,san diego,,666000,666000,San Diego,6,52037010,SAN DIEGO CITY,666000,San Diego,6,52037010,SAN DIEGO CITY,SAN DIEGO CITY,SAN DIEGO CITY,52037010,SAN DIEGO CITY
644000,los angeles,CA,1600000US0644000,1600000US0644000,"Los Angeles city, California",0500000US06037,0500000US06037,"Los Angeles County, California",6,CA,,644000,CA,los angeles,,644000,644000,Los Angeles,6,52019027,LOS ANGELES CITY,644000,Los Angeles,6,52019027,LOS ANGELES CITY,LOS ANGELES CITY,LOS ANGELES CITY,52019027,LOS ANGELES CITY
4260000,philadelphia,PA,1600000US4260000,1600000US4260000,"Philadelphia city, Pennsylvania",0500000US42101,0500000US42101,"Philadelphia County, Pennsylvania",42,PA,,4260000,PA,philadelphia,,4260000,4260000,Philadelphia,42,392051001,PHILADELPHIA CITY,4260000,Philadelphia,42,392051001,PHILADELPHIA CITY,PHILADELPHIA CITY,PHILADELPHIA CITY,392051001,PHILADELPHIA CITY
1517000,honolulu,HI,0500000US15003,0500000US15003,"City and County of Honolulu, Hawaii",0500000US15003,0500000US15003,"City and County of Honolulu, Hawaii",15,HI,,1517000,HI,honolulu,,1517000,1517000,honolulu,15,122002001,HONOLULU CITY AND COUNTY,1517000,honolulu,15,122002001,HONOLULU CITY AND COUNTY,HONOLULU CITY AND COUNTY,HONOLULU CITY AND COUNTY,122002001,HONOLULU CITY AND COUNTY
2148000,louisville,KY,1600000US2148006,1600000US2148006,"Louisville/Jefferson County metro government (balance), Kentucky",0500000US21111,0500000US21111,"Jefferson County, Kentucky",21,KY,,2148000,KY,louisville,,2148000,2148000,Louisville/Jefferson County metro government (balance),21,182056014,LOUISVILLE-JEFFERSON COUNTY METR,2148000,Louisville/Jefferson County metro government (balance),21,182056014,LOUISVILLE-JEFFERSON COUNTY METR,LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,LOUISVILLE-JEFFERSON COUNTY METRO GOVERNMENT,182056014,LOUISVILLE-JEFFERSON COUNTY METR
4835000,houston,TX,1600000US4835000,1600000US4835000,"Houston city, Texas",0500000US48201,0500000US48201,Harris County,48,TX,Harris County [0500000US48201]; Fort Bend County [0500000US48157]; Montgomery County [0500000US48339],4835000,TX,houston,multi_county_weighted_composite (aggregate by population-weighted counties),4835000,4835000,Houston,48,442101008,HOUSTON CITY,4835000,Houston,48,442101008,HOUSTON CITY,HOUSTON CITY,HOUSTON CITY,442101008,HOUSTON CITY
2404000,baltimore,MD,1600000US2404000,1600000US2404000,"Baltimore city, Maryland",0500000US24510,0500000US24510,"Baltimore city, Maryland",24,MD,,2404000,MD,baltimore,,2404000,2404000,Baltimore,24,212004001,BALTIMORE CITY,2404000,Baltimore,24,212004001,BALTIMORE CITY,BALTIMORE CITY,BALTIMORE CITY,212004001,BALTIMORE CITY
1150000,washington,DC,1600000US1150000,1600000US1150000,"Washington city, District of Columbia",0500000US11001,0500000US11001,"District of Columbia, District of Columbia",11,DC,,1150000,DC,washington,,1150000,1150000,Washington,11,92001001,WASHINGTON DC CITY,1150000,Washington,11,92001001,WASHINGTON DC CITY,WASHINGTON DC CITY,WASHINGTON DC CITY,92001001,WASHINGTON DC CITY
4805000,austin,TX,1600000US4805000,1600000US4805000,"Austin city, Texas",0500000US48453,0500000US48453,Travis County,48,TX,Travis County [0500000US48453]; Williamson County [0500000US48491]; Hays County [0500000US48209],4805000,TX,austin,multi_county_weighted_composite (aggregate by population-weighted counties),4805000,4805000,Austin,48,442227001,AUSTIN CITY,4805000,Austin,48,442227001,AUSTIN CITY,AUSTIN CITY,AUSTIN CITY,442227001,AUSTIN CITY
4159000,portland,OR,1600000US4159000,1600000US4159000,"Portland city, Oregon",0500000US41051,0500000US41051,Multnomah County,41,OR,Multnomah County [0500000US41051]; Washington County [0500000US41067]; Clackamas County [0500000US41005],4159000,OR,portland,multi_county_weighted_composite (aggregate by population-weighted counties),4159000,4159000,Portland,41,382026003,PORTLAND CITY,4159000,Portland,41,382026003,PORTLAND CITY,PORTLAND CITY,PORTLAND CITY,382026003,PORTLAND CITY
