county_fips,year,fema_disaster_any,fema_disaster_count,fema_disaster_cum,fema_disaster_flood,fema_disaster_hurricane,fema_disaster_fire
01001,2010,0,0,0,0,0,0
01001,2011,1,2,2,0,0,0
01001,2012,0,0,2,0,0,0
01001,2013,0,0,2,0,0,0
01001,2014,0,0,2,0,0,0
01001,2015,0,0,2,0,0,0
01001,2016,1,1,3,0,0,0
01001,2017,1,3,6,0,1,0
01001,2018,0,0,6,0,0,0
01001,2019,0,0,6,0,0,0
01001,2020,1,2,8,0,1,0
01001,2021,0,0,8,0,0,0
01001,2022,0,0,8,0,0,0
01001,2023,1,1,9,0,0,0
01001,2024,1,1,10,0,1,0
01001,2025,0,0,10,0,0,0
01003,2010,0,0,0,0,0,0
01003,2011,1,2,2,0,0,0
01003,2012,1,1,3,0,1,0
01003,2013,0,0,3,0,0,0
01003,2014,1,1,4,0,0,0
01003,2015,0,0,4,0,0,0
01003,2016,0,0,4,0,0,0
01003,2017,1,3,7,0,1,0
01003,2018,1,1,8,0,1,0
01003,2019,0,0,8,0,0,0
01003,2020,1,2,10,0,1,0
01003,2021,0,0,10,0,0,0
01003,2022,0,0,10,0,0,0
01003,2023,0,0,10,0,0,0
01003,2024,1,1,11,0,1,0
01003,2025,0,0,11,0,0,0
01005,2010,0,0,0,0,0,0
01005,2011,1,2,2,0,0,0
01005,2012,0,0,2,0,0,0
01005,2013,0,0,2,0,0,0
01005,2014,0,0,2,0,0,0
01005,2015,0,0,2,0,0,0
01005,2016,1,1,3,0,0,0
01005,2017,1,2,5,0,1,0
01005,2018,1,1,6,0,1,0
01005,2019,0,0,6,0,0,0
01005,2020,1,3,9,0,1,0
01005,2021,0,0,9,0,0,0
01005,2022,0,0,9,0,0,0
01005,2023,1,1,10,0,0,0
01005,2024,1,1,11,0,1,0
01005,2025,0,0,11,0,0,0
01007,2010,0,0,0,0,0,0
01007,2011,1,2,2,0,0,0
01007,2012,0,0,2,0,0,0
01007,2013,0,0,2,0,0,0
01007,2014,0,0,2,0,0,0
01007,2015,0,0,2,0,0,0
01007,2016,0,0,2,0,0,0
01007,2017,1,2,4,0,1,0
01007,2018,0,0,4,0,0,0
01007,2019,0,0,4,0,0,0
01007,2020,1,1,5,0,1,0
01007,2021,1,1,6,0,0,0
01007,2022,0,0,6,0,0,0
01007,2023,0,0,6,0,0,0
01007,2024,1,1,7,0,1,0
01007,2025,0,0,7,0,0,0
01009,2010,0,0,0,0,0,0
01009,2011,1,2,2,0,0,0
01009,2012,0,0,2,0,0,0
01009,2013,0,0,2,0,0,0
01009,2014,1,1,3,0,0,0
01009,2015,0,0,3,0,0,0
