county_fips,nfip_repetitive_loss,nfip_severe_repetitive_loss,nfip_total_properties,nfip_total_losses,nfip_mean_losses_per_property,nfip_mitigated_pct,nfip_insured_pct,nfip_most_recent_loss_year
01001,5,0,5,15,3.0,0.2,0.4,2024
01003,2291,316,2506,7563,3.017956903431764,0.057861133280127694,0.45411013567438147,2025
01007,1,0,1,2,2.0,0.0,1.0,2012
01009,2,1,2,9,4.5,0.0,0.0,2015
01015,4,0,4,12,3.0,0.0,0.25,2025
01017,1,0,1,2,2.0,0.0,0.0,2005
01019,3,0,3,7,2.3333333333333335,0.0,1.0,2021
01023,3,1,3,10,3.3333333333333335,0.0,0.0,2013
01025,1,0,1,2,2.0,0.0,0.0,2018
01031,47,4,49,120,2.4489795918367347,0.0,0.20408163265306123,2015
01033,16,3,16,61,3.8125,0.0,0.125,2025
01037,1,1,1,5,5.0,0.0,0.0,2015
01039,6,1,6,12,2.0,0.0,0.0,2001
01043,1,0,1,2,2.0,0.0,1.0,2021
01045,14,5,17,48,2.823529411764706,0.058823529411764705,0.29411764705882354,2015
01047,11,1,11,27,2.4545454545454546,0.0,0.18181818181818182,2025
01049,6,1,6,16,2.6666666666666665,0.0,0.0,2015
01051,4,0,4,8,2.0,0.0,0.0,2023
01053,42,6,42,133,3.1666666666666665,0.0,0.21428571428571427,2025
01055,11,1,11,27,2.4545454545454546,0.0,0.45454545454545453,2021
01061,17,2,18,54,3.0,0.0,0.2777777777777778,2020
01063,19,3,19,52,2.736842105263158,0.0,0.15789473684210525,2021
01065,15,0,16,36,2.25,0.0,0.125,2020
01067,1,0,1,2,2.0,0.0,1.0,2024
01069,15,3,17,42,2.4705882352941178,0.0,0.35294117647058826,2024
01071,6,0,6,16,2.6666666666666665,0.0,0.16666666666666666,2020
01073,273,33,281,847,3.01423487544484,0.017793594306049824,0.2846975088967972,2025
01075,1,0,1,2,2.0,0.0,0.0,1985
01077,21,1,21,66,3.142857142857143,0.0,0.23809523809523808,2025
01079,8,1,8,21,2.625,0.0,0.25,2025
01081,5,0,5,17,3.4,0.0,0.8,2024
01083,8,0,8,19,2.375,0.0,0.375,2021
01089,43,7,43,119,2.7674418604651163,0.0,0.3488372093023256,2024
01093,2,0,2,6,3.0,0.0,0.0,2009
01095,5,1,5,14,2.8,0.0,0.4,2025
01097,1585,260,1773,5625,3.1725888324873095,0.10490693739424704,0.428087986463621,2025
01099,2,0,2,4,2.0,0.0,0.0,2019
01101,24,5,25,70,2.8,0.0,0.24,2025
01103,19,3,19,59,3.1052631578947367,0.0,0.3684210526315789,2021
01107,19,4,19,64,3.3684210526315788,0.0,0.2631578947368421,2021
01113,4,0,4,10,2.5,0.0,0.5,2025
01115,7,1,7,18,2.5714285714285716,0.0,0.5714285714285714,2021
01117,124,51,125,504,4.032,0.0,0.384,2022
01119,1,0,1,2,2.0,0.0,0.0,2003
01121,9,2,9,23,2.5555555555555554,0.0,0.5555555555555556,2025
01125,13,1,14,36,2.5714285714285716,0.07142857142857142,0.42857142857142855,2025
01127,6,0,6,12,2.0,0.0,0.16666666666666666,2020
01129,1,0,1,2,2.0,0.0,0.0,1980
01131,1,0,1,2,2.0,0.0,0.0,2007
02020,1,0,1,2,2.0,0.0,0.0,2013
02050,7,0,7,19,2.7142857142857144,0.0,0.14285714285714285,2009
02090,11,2,12,38,3.1666666666666665,0.08333333333333333,0.25,2023
02110,14,1,14,38,2.7142857142857144,0.0,0.8571428571428571,2025
02122,2,0,2,5,2.5,0.0,0.0,2012
02170,4,0,4,8,2.0,0.0,0.0,2019
02180,1,0,1,2,2.0,0.0,0.0,1996
02188,1,0,1,2,2.0,0.0,1.0,2025
02290,0,0,1,2,2.0,0.0,0.0,2013
04003,2,0,2,4,2.0,0.0,1.0,2022
04005,21,2,22,54,2.4545454545454546,0.0,0.4090909090909091,2023
04007,7,0,8,19,2.375,0.125,0.0,2018
04009,3,1,3,9,3.0,0.0,0.0,2000
04011,6,0,6,13,2.1666666666666665,0.0,0.0,2005
04012,2,0,2,5,2.5,0.0,0.0,1987
04013,99,4,102,243,2.3823529411764706,0.029411764705882353,0.23529411764705882,2022
04015,7,0,7,15,2.142857142857143,0.0,0.2857142857142857,2025
04017,5,0,5,10,2.0,0.0,0.2,2022
04019,23,0,23,50,2.1739130434782608,0.0,0.21739130434782608,2022
04021,6,0,6,13,2.1666666666666665,0.0,0.5,2024
04023,4,0,4,10,2.5,0.0,0.0,2006
04025,24,3,27,69,2.5555555555555554,0.0,0.5555555555555556,2024
04027,1,0,1,2,2.0,0.0,0.0,1980
05001,11,1,11,28,2.5454545454545454,0.0,0.09090909090909091,2023
05003,8,0,8,18,2.25,0.0,0.125,2018
05005,15,3,15,38,2.533333333333333,0.0,0.26666666666666666,2017
05007,40,8,42,119,2.8333333333333335,0.047619047619047616,0.4523809523809524,2022
05009,3,0,3,7,2.3333333333333335,0.0,0.0,2017
05011,15,2,15,41,2.7333333333333334,0.0,0.13333333333333333,2025
05013,1,0,1,2,2.0,0.0,0.0,2013
05017,20,6,20,62,3.1,0.0,0.25,2025
05019,4,0,4,11,2.75,0.0,0.25,2025
