pdf,txt,pages,chars,seconds,status,error
EA531719-EA414230-EA811102.pdf,EA531719-EA414230-EA811102.txt,228,693152,2.3,ok,
EA548110-EA427013-EA823896.pdf,EA548110-EA427013-EA823896.txt,233,956586,4.39,ok,
EA665289-EA521356-EA917540.pdf,EA665289-EA521356-EA917540.txt,276,826877,15.48,ok,
EA696473-EA546297-EA942538.pdf,EA696473-EA546297-EA942538.txt,148,435270,4.52,ok,
EA714162-EA560759-EA956890.pdf,EA714162-EA560759-EA956890.txt,178,462098,2.14,ok,
EA716992-EA562911-EA959013.pdf,EA716992-EA562911-EA959013.txt,232,675652,2.76,ok,
EA740986-EA580655-EA976659.pdf,EA740986-EA580655-EA976659.txt,384,1134403,3.88,ok,
EP1028838-ES833343-ES1234413.pdf,EP1028838-ES833343-ES1234413.txt,204,673932,8.37,ok,
EP840034-EP649831-EP1051429.pdf,EP840034-EP649831-EP1051429.txt,222,558417,3.22,ok,
EP942755-EP731498-EP1133209.pdf,EP942755-EP731498-EP1133209.txt,250,748816,5.17,ok,
EP953346-EP739582-EP1141192.pdf,EP953346-EP739582-EP1141192.txt,312,671457,5.03,ok,
EP954217-EP740267-EP1141856.pdf,EP954217-EP740267-EP1141856.txt,259,621171,7.21,ok,
EP955560-EP741280-EP1142849.pdf,EP955560-EP741280-EP1142849.txt,96,303047,2.06,ok,
EP965467-EP749037-EP1150641.pdf,EP965467-EP749037-EP1150641.txt,224,553557,2.82,ok,
EP972015-EP753901-EP1155503.pdf,EP972015-EP753901-EP1155503.txt,184,486024,1.86,ok,
EP998065-EP773774-EP1175532.pdf,EP998065-EP773774-EP1175532.txt,178,447673,2.07,ok,
ER1000524-ER782761-ER1183971.pdf,ER1000524-ER782761-ER1183971.txt,148,534674,3.6,ok,
ER1064021-ER833314-ER1234218.pdf,ER1064021-ER833314-ER1234218.txt,182,559240,3.57,ok,
ER1074674-ER841832-ER1242654.pdf,ER1074674-ER841832-ER1242654.txt,242,699933,3.47,ok,
ER1112007-ER869797-ER1270532.pdf,ER1112007-ER869797-ER1270532.txt,359,1000937,5.35,ok,
ER1167878-ER912933-ER1313398.pdf,ER1167878-ER912933-ER1313398.txt,116,420970,3.32,ok,
ER1168298-ER913308-ER1313780.pdf,ER1168298-ER913308-ER1313780.txt,262,989250,5.22,ok,
ER1175794-ER919055-ER1319618.pdf,ER1175794-ER919055-ER1319618.txt,264,416809,6.22,ok,
ER1205814-ER944110-ER1345157.pdf,ER1205814-ER944110-ER1345157.txt,170,464526,2.3,ok,
ER1262285-ER985960-ER1388083.pdf,ER1262285-ER985960-ER1388083.txt,104,307165,1.96,ok,
ER1272920-ER993617-ER1396484.pdf,ER1272920-ER993617-ER1396484.txt,154,551680,3.22,ok,
ER1276794-ER996504-ER1399663.pdf,ER1276794-ER996504-ER1399663.txt,227,692011,5.19,ok,
ER785601-ER610965-ER1013035.pdf,ER785601-ER610965-ER1013035.txt,240,679589,4.13,ok,
ER841399-ER658193-ER1059813.pdf,ER841399-ER658193-ER1059813.txt,0,0,0.0,error,EmptyFileError('Cannot read an empty file')
ER861983-ER673540-ER1075290.pdf,ER861983-ER673540-ER1075290.txt,167,623088,3.71,ok,
ER866541-ER677151-ER1078929.pdf,ER866541-ER677151-ER1078929.txt,432,1032812,4.16,ok,
ER881975-ER689101-ER1090744.pdf,ER881975-ER689101-ER1090744.txt,194,1210046,4.11,ok,
ER990522-ER774681-ER1175984.pdf,ER990522-ER774681-ER1175984.txt,384,917277,5.36,ok,
ER993766-ER777992-ER1179255.pdf,ER993766-ER777992-ER1179255.txt,191,763566,3.99,ok,
ES1040822-ES813624-ES1215008.pdf,ES1040822-ES813624-ES1215008.txt,96,307784,2.1,ok,
ES1078538-ES842358-ES1243371.pdf,ES1078538-ES842358-ES1243371.txt,294,1032624,8.64,ok,
ES1103078-ES861962-ES1263095.pdf,ES1103078-ES861962-ES1263095.txt,249,730334,7.69,ok,
