jurisdiction,state_abbr,state_name,jurisdiction_type,year,iecc_comm_vintage,iecc_comm_code_type,lag_model_code_yrs,no_statewide_code,home_rule,preemption_of_stricter_local,stretch_code_available,weakening_amendments,state_bps_adopted,state_bps_effective,state_bps_year_enacted,state_bps_first_compliance_year,state_bps_law_name,state_bps_law_id,state_bps_penalty_per_sqft,state_bps_penalty_per_tco2e,bps_adopted,bps_effective,bps_year_enacted,bps_first_compliance_year,years_since_bps,bps_metric,bps_covered_threshold_comm_sqft,bps_covered_threshold_public_sqft,bps_covered_threshold_mf_sqft,bps_covers_municipal,bps_ratchet,bps_penalty_per_sqft,bps_penalty_per_tco2e,bps_law_name,bps_law_id,bps_coalition_member,bps_coalition_launch_day,bps_coalition_joined_year,benchmarking_adopted,benchmarking_effective,benchmarking_year_enacted,benchmarking_first_reporting_year,years_since_benchmarking,benchmarking_threshold_sqft,audit_tuneup_req,any_policy_active,any_policy_effective
Ann Arbor,MI,Michigan,city,2010,2004,IECC,5,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2011,2004,IECC,6,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2012,2004,IECC,8,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2013,2004,IECC,8,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2014,2004,IECC,9,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2015,2004,IECC,11,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2016,2004,IECC,11,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2017,2004,IECC,12,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2018,2004,IECC,12,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2019,2004,IECC,12,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2020,2004,IECC,15,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,0,0,2021,2022,,25000,0,0,0
Ann Arbor,MI,Michigan,city,2021,2004,IECC,15,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,0,1,2022,1,0,2021,2022,0,25000,0,1,0
Ann Arbor,MI,Michigan,city,2022,2004,IECC,15,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2021,2022,1,25000,0,1,1
Ann Arbor,MI,Michigan,city,2023,2004,IECC,18,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2021,2022,2,25000,0,1,1
Ann Arbor,MI,Michigan,city,2024,2004,IECC,18,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2021,2022,3,25000,0,1,1
Ann Arbor,MI,Michigan,city,2025,2019,ASHRAE,3,0,0,0,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,1,1,2022,1,1,2021,2022,4,25000,0,1,1
Annapolis,MD,Maryland,city,2010,2009,IECC,0,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2011,2009,IECC,1,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2012,2012,IECC,0,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2013,2012,IECC,0,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2014,2012,IECC,1,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2015,2015,IECC,0,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2016,2015,IECC,0,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2017,2015,IECC,1,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2018,2015,IECC,1,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2019,2015,IECC,1,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2020,2015,IECC,4,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
Annapolis,MD,Maryland,city,2021,2015,IECC,4,0,0,0,1,0,0,0,2022,2030,Climate Solutions Now Act,SB 528,,230,0,0,,,,,,,,,,,,,,0,1,2022,0,0,,,,,,0,0
