city_name,state_abb,utility_name,has_municipal_electric,customers,revenue_thousands,revenue_millions,large_enough_for_bonds
alameda,CA,Alameda Municipal Power,1,37226.0,75541.7,75.54169999999999,1
albany,GA,Albany Utility Board,1,33921.0,80382.8,80.3828,1
ames,IA,City of Ames - (IA),1,28108.0,61011.8,61.0118,1
anaheim,CA,City of Anaheim - (CA),1,123665.0,357316.0,357.316,1
anderson,IN,City of Anderson - (IN),1,33466.0,93124.7,93.1247,1
austin,TX,Austin Energy,1,562004.0,1475140.4,1475.1404,1
bowling green,KY,City of Bowling Green - (KY),1,32517.0,90266.0,90.266,1
brownsville,TX,Brownsville Public Utilities Board,1,54712.0,169249.0,169.249,1
bryan,TX,City of Bryan - (TX),1,68685.0,166295.0,166.295,1
chattanooga,TN,City of Chattanooga - (TN),1,200605.0,630400.0,630.4,1
chicopee,MA,City of Chicopee - (MA),1,26052.0,68902.8,68.9028,1
clarksville,TN,City of Clarksville - (TN),1,85314.0,204480.0,204.48,1
cleveland,OH,City of Cleveland - (OH),1,73666.0,193423.1,193.4231,1
college station,TX,City of College Station - (TX),1,47049.0,129388.0,129.388,1
colorado springs,CO,City of Colorado Springs - (CO),1,260682.0,515877.0,515.877,1
colton,CA,City of Colton - (CA),1,20064.0,83032.5,83.0325,1
columbia,MO,City of Columbia - (MO),1,53276.0,137747.0,137.747,1
columbus,OH,City of Columbus - (OH),1,19521.0,93155.4,93.1554,1
concord,NC,City of Concord - (NC),1,34243.0,101528.7,101.5287,1
cuyahoga falls,OH,City of Cuyahoga Falls - (OH),1,26783.0,48505.0,48.505,0
decatur,AL,Decatur Utilities,1,26935.0,100688.0,100.688,1
denton,TX,City of Denton - (TX),1,66609.0,198806.0,198.806,1
dothan,AL,City of Dothan - (AL),1,32175.0,95972.0,95.972,1
edmond,OK,City of Edmond - (OK),1,44461.0,100468.3,100.4683,1
eugene,OR,City of Eugene - (OR),1,99939.0,236833.0,236.833,1
fayetteville,NC,Fayetteville Public Works Commission,1,85435.0,212164.0,212.164,1
