state,state_abbr,state_fips,state_building_code_year,state_building_code_residential_iecc,state_building_code_commercial_iecc,state_has_mandatory_statewide_code,state_building_code_stringency_aceee_rank,state_has_commercial_benchmarking,state_has_residential_disclosure,data_year,sources
Alabama,AL,01,2015,2015 IECC with amendments,2015 IECC with amendments,1,50,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Alaska,AK,02,2018,2018 IECC (BEES standard),2018 IECC,0,40,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; ACEEE Disclosure DB
Arizona,AZ,04,2012,No statewide code (local adoption 2012-2018),No statewide code (local adoption),0,29,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Arkansas,AR,05,2009,2009 IECC with amendments,2009 IECC with amendments,1,32,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
California,CA,06,2025,2025 Title 24 Energy Code,2025 Title 24 Energy Code,1,1,1,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; CA Energy Commission
Colorado,CO,08,2021,2021 IECC (local adoption required),2021 IECC (local adoption required),0,7,1,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; CO Energy Office
Connecticut,CT,09,2021,2021 IECC with amendments,2021 IECC with amendments,1,14,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; ACEEE Disclosure DB
Delaware,DE,10,2018,2018 IECC,2018 IECC,1,19,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Florida,FL,12,2021,2021 IECC with amendments (2023 FBC),2021 IECC with amendments (2023 FBC),1,27,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Georgia,GA,13,2015,2015 IECC with amendments,2015 IECC with amendments,1,34,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Hawaii,HI,15,2018,2018 IECC with amendments,2018 IECC with amendments,1,16,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; ACEEE Disclosure DB
Idaho,ID,16,2018,2018 IECC with amendments,2018 IECC with amendments,1,33,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Illinois,IL,17,2024,2024 IECC with amendments,2024 IECC with amendments,1,15,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Indiana,IN,18,2018,2018 IECC,2018 IECC,1,31,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Iowa,IA,19,2012,2012 IECC with amendments,2012 IECC with amendments,1,38,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Kansas,KS,20,2009,No statewide code (voluntary local 2009-2012),No statewide code (voluntary local),0,48,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; ACEEE Disclosure DB
Kentucky,KY,21,2009,2009 IECC with amendments,2009 IECC with amendments,1,43,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Louisiana,LA,22,2021,2021 IECC with amendments,2021 IECC with amendments,1,37,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Maine,ME,23,2021,2021 IECC,2021 IECC,1,10,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; ACEEE Disclosure DB
Maryland,MD,24,2021,2021 IECC with amendments,2021 IECC with amendments,1,4,1,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; MD BEPS
Massachusetts,MA,25,2021,2021 IECC (base) plus Stretch Code,2021 IECC with amendments,1,2,1,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; MA Benchmarking Law
Michigan,MI,26,2015,2015 IECC with amendments,2015 IECC with amendments,1,17,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Minnesota,MN,27,2012,2012 IECC with amendments,2012 IECC with amendments,1,11,1,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; MN Benchmarking Law
Mississippi,MS,28,2003,No statewide mandatory code (voluntary),No statewide mandatory code (voluntary),0,49,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Missouri,MO,29,2009,No statewide code (voluntary local),No statewide code (voluntary local),0,38,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Montana,MT,30,2021,2021 IECC with amendments,2021 IECC with amendments,1,30,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Nebraska,NE,31,2018,2018 IECC,2018 IECC,1,44,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Nevada,NV,32,2024,2024 IECC,2024 IECC,1,23,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
New Hampshire,NH,33,2018,2018 IECC,2018 IECC,1,18,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
New Jersey,NJ,34,2021,2021 IECC,2021 IECC,1,8,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
New Mexico,NM,35,2021,2021 IECC with amendments,2021 IECC with amendments,1,21,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
New York,NY,36,2024,2024 IECC (2025 ECCCNYS),2024 IECC (ASHRAE 90.1-2022),1,3,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; NEEP
North Carolina,NC,37,2015,2015 IECC with amendments,2015 IECC with amendments,1,26,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
North Dakota,ND,38,2021,2021 IECC (voluntary),2021 IECC (voluntary),0,45,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Ohio,OH,39,2018,2018 IECC with amendments,2018 IECC with amendments,1,40,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Oklahoma,OK,40,2018,2018 IRC with amendments,2018 IECC with amendments,1,34,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Oregon,OR,41,2021,2021 Oregon Residential Code,2021 Oregon Energy Code,1,9,1,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; OR BPS
Pennsylvania,PA,42,2021,2021 IECC,2021 IECC,1,22,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Rhode Island,RI,44,2024,2024 IECC with amendments,2024 IECC with amendments,1,12,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
South Carolina,SC,45,2009,2009 IECC,2009 IECC,1,40,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
South Dakota,SD,46,2009,2009 IECC (voluntary),2009 IECC (voluntary),0,47,0,1,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; ACEEE Disclosure DB
Tennessee,TN,47,2018,2018 IECC with amendments,2018 IECC with amendments,1,28,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Texas,TX,48,2015,2015 IECC,2015 IECC,1,36,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Utah,UT,49,2021,2021 IECC with amendments,2021 IECC with amendments,1,24,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Vermont,VT,50,2021,2021 IECC (RBES/CBES),2021 IECC (CBES),1,4,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; NEEP
Virginia,VA,51,2021,2021 IECC with amendments,2021 IECC with amendments,1,20,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Washington,WA,53,2021,2021 Washington State Energy Code,2021 Washington State Energy Code,1,6,1,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; WA Clean Buildings Act
West Virginia,WV,54,2015,2015 IECC with amendments,2015 IECC with amendments,1,45,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Wisconsin,WI,55,2009,2009 IECC with amendments,2009 IECC with amendments,1,25,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
Wyoming,WY,56,1989,No statewide code (1989 MEC voluntary),No statewide code (voluntary),0,51,0,0,2025,Climate Policy Dashboard; ACEEE 2025 Scorecard; DOE BECP
