state_abb,year,state_has_net_metering,state_net_metering_cap_kw,state_has_community_solar,state_has_municipal_utility_exemption
AL,2010,0,,0,
AL,2011,0,,0,
AL,2012,0,,0,
AL,2013,0,,0,
AL,2014,0,,0,
AL,2015,0,,0,
AL,2016,0,,0,
AL,2017,0,,0,
AL,2018,0,,0,
AL,2019,0,,0,
AL,2020,0,,0,
AL,2021,0,,0,
AL,2022,0,,0,
AL,2023,0,,0,
AL,2024,0,,0,
AL,2025,0,,0,
AK,2010,1,25,0,
AK,2011,1,25,0,
AK,2012,1,25,0,
AK,2013,1,25,0,
AK,2014,1,25,0,
AK,2015,1,25,0,
AK,2016,1,25,0,
AK,2017,1,25,0,
AK,2018,1,25,0,
AK,2019,1,25,0,
AK,2020,1,25,0,
AK,2021,1,25,0,
AK,2022,1,25,0,
AK,2023,1,25,0,
AK,2024,1,25,1,
AK,2025,1,25,1,
AZ,2010,1,,0,1
AZ,2011,1,,0,1
AZ,2012,1,,0,1
AZ,2013,1,,0,1
AZ,2014,1,,0,1
AZ,2015,1,,1,1
AZ,2016,1,,1,1
AZ,2017,1,,1,1
AZ,2018,1,,1,1
AZ,2019,1,,1,1
AZ,2020,1,,1,1
AZ,2021,1,,1,1
AZ,2022,1,,1,1
AZ,2023,1,,1,1
AZ,2024,1,,1,1
AZ,2025,1,,1,1
AR,2010,1,300,0,
AR,2011,1,300,0,
AR,2012,1,300,0,
AR,2013,1,300,0,
AR,2014,1,300,0,
AR,2015,1,300,0,
AR,2016,1,300,0,
AR,2017,1,300,0,
AR,2018,1,300,0,
AR,2019,1,300,0,
AR,2020,1,300,0,
AR,2021,1,300,0,
AR,2022,1,300,0,
AR,2023,1,300,0,
AR,2024,1,300,0,
AR,2025,1,300,0,
CA,2010,1,1000,0,0
CA,2011,1,1000,0,0
CA,2012,1,1000,0,0
CA,2013,1,1000,1,0
CA,2014,1,1000,1,0
CA,2015,1,1000,1,0
CA,2016,1,1000,1,0
CA,2017,1,1000,1,0
CA,2018,1,1000,1,0
CA,2019,1,1000,1,0
CA,2020,1,1000,1,0
CA,2021,1,1000,1,0
CA,2022,1,1000,1,0
CA,2023,1,1000,1,0
CA,2024,1,1000,1,0
CA,2025,1,1000,1,0
CO,2010,1,120,1,0
CO,2011,1,120,1,0
CO,2012,1,120,1,0
CO,2013,1,120,1,0
CO,2014,1,120,1,0
CO,2015,1,120,1,0
CO,2016,1,120,1,0
CO,2017,1,120,1,0
CO,2018,1,120,1,0
CO,2019,1,120,1,0
CO,2020,1,120,1,0
CO,2021,1,120,1,0
CO,2022,1,120,1,0
CO,2023,1,120,1,0
CO,2024,1,120,1,0
CO,2025,1,120,1,0
CT,2010,1,2000,0,0
CT,2011,1,2000,0,0
CT,2012,1,2000,0,0
CT,2013,1,2000,0,0
CT,2014,1,2000,0,0
CT,2015,1,2000,1,0
CT,2016,1,2000,1,0
CT,2017,1,2000,1,0
CT,2018,1,2000,1,0
CT,2019,1,2000,1,0
CT,2020,1,2000,1,0
CT,2021,1,2000,1,0
CT,2022,1,2000,1,0
CT,2023,1,2000,1,0
CT,2024,1,2000,1,0
CT,2025,1,2000,1,0
DE,2010,1,25,0,0
DE,2011,1,25,0,0
DE,2012,1,25,0,0
DE,2013,1,25,0,0
DE,2014,1,25,1,0
DE,2015,1,25,1,0
DE,2016,1,25,1,0
DE,2017,1,25,1,0
DE,2018,1,25,1,0
DE,2019,1,25,1,0
DE,2020,1,25,1,0
DE,2021,1,25,1,0
DE,2022,1,25,1,0
DE,2023,1,25,1,0
DE,2024,1,25,1,0
DE,2025,1,25,1,0
FL,2010,1,2000,0,
FL,2011,1,2000,0,
FL,2012,1,2000,0,
FL,2013,1,2000,0,
FL,2014,1,2000,0,
FL,2015,1,2000,0,
FL,2016,1,2000,0,
FL,2017,1,2000,0,
FL,2018,1,2000,0,
FL,2019,1,2000,0,
FL,2020,1,2000,0,
FL,2021,1,2000,0,
FL,2022,1,2000,0,
FL,2023,1,2000,0,
FL,2024,1,2000,0,
FL,2025,1,2000,0,
GA,2010,1,10,0,
GA,2011,1,10,0,
GA,2012,1,10,0,
GA,2013,1,10,0,
GA,2014,1,10,0,
GA,2015,1,10,0,
GA,2016,1,10,0,
GA,2017,1,10,0,
GA,2018,1,10,0,
GA,2019,1,10,0,
GA,2020,1,10,0,
GA,2021,1,10,0,
GA,2022,1,10,0,
GA,2023,1,10,0,
GA,2024,1,10,0,
GA,2025,1,10,0,
HI,2010,1,10,0,0
HI,2011,1,10,0,0
HI,2012,1,10,0,0
HI,2013,1,10,0,0
HI,2014,1,10,0,0
HI,2015,1,10,1,0
HI,2016,1,10,1,0
HI,2017,1,10,1,0
HI,2018,1,10,1,0
HI,2019,1,10,1,0
HI,2020,1,10,1,0
HI,2021,1,10,1,0
HI,2022,1,10,1,0
HI,2023,1,10,1,0
HI,2024,1,10,1,0
HI,2025,1,10,1,0
ID,2010,1,25,0,
ID,2011,1,25,0,
ID,2012,1,25,0,
ID,2013,1,25,0,
ID,2014,1,25,0,
ID,2015,1,25,0,
ID,2016,1,25,0,
ID,2017,1,25,0,
ID,2018,1,25,0,
ID,2019,1,25,0,
ID,2020,1,25,0,
ID,2021,1,25,0,
ID,2022,1,25,0,
ID,2023,1,25,0,
ID,2024,1,25,0,
ID,2025,1,25,0,
IL,2010,1,2000,0,1
IL,2011,1,2000,0,1
IL,2012,1,2000,0,1
IL,2013,1,2000,0,1
IL,2014,1,2000,0,1
IL,2015,1,2000,0,1
IL,2016,1,2000,0,1
IL,2017,1,2000,1,1
