year,state_abb,iija_highway_billion,iija_transit_billion,iija_water_billion,iija_total_billion,ira_clean_energy_billion,ira_total_billion,federal_green_total_billion
2022,AL,0.61,0.08,0.12,0.81,0.15,0.15,0.96
2022,AK,0.52,0.05,0.09,0.66,0.08,0.08,0.74
2022,AZ,0.77,0.14,0.13,1.04,0.22,0.22,1.26
2022,AR,0.48,0.03,0.08,0.59,0.11,0.11,0.70
2022,CA,4.25,1.52,0.68,6.45,1.85,1.85,8.30
2022,CO,0.56,0.18,0.11,0.85,0.24,0.24,1.09
2022,CT,0.51,0.21,0.11,0.83,0.16,0.16,0.99
2022,DE,0.18,0.05,0.03,0.26,0.05,0.05,0.31
2022,FL,1.96,0.31,0.32,2.59,0.62,0.62,3.21
2022,GA,1.21,0.21,0.18,1.60,0.35,0.35,1.95
2022,HI,0.19,0.08,0.05,0.32,0.08,0.08,0.40
2022,ID,0.29,0.02,0.05,0.36,0.07,0.07,0.43
2022,IL,1.55,0.68,0.32,2.55,0.48,0.48,3.03
2022,IN,0.92,0.11,0.15,1.18,0.24,0.24,1.42
2022,IA,0.45,0.04,0.09,0.58,0.13,0.13,0.71
2022,KS,0.37,0.03,0.07,0.47,0.11,0.11,0.58
2022,KY,0.59,0.06,0.11,0.76,0.16,0.16,0.92
2022,LA,0.63,0.07,0.12,0.82,0.17,0.17,0.99
2022,ME,0.22,0.02,0.05,0.29,0.07,0.07,0.36
2022,MD,0.62,0.35,0.12,1.09,0.26,0.26,1.35
2022,MA,0.67,0.45,0.15,1.27,0.32,0.32,1.59
2022,MI,1.05,0.21,0.21,1.47,0.36,0.36,1.83
2022,MN,0.65,0.18,0.13,0.96,0.24,0.24,1.20
2022,MS,0.46,0.03,0.09,0.58,0.11,0.11,0.69
2022,MO,0.82,0.11,0.14,1.07,0.23,0.23,1.30
2022,MT,0.38,0.02,0.05,0.45,0.06,0.06,0.51
2022,NE,0.32,0.03,0.06,0.41,0.09,0.09,0.50
2022,NV,0.39,0.11,0.07,0.57,0.14,0.14,0.71
2022,NH,0.19,0.03,0.04,0.26,0.07,0.07,0.33
2022,NJ,1.01,0.68,0.22,1.91,0.41,0.41,2.32
2022,NM,0.35,0.04,0.06,0.45,0.11,0.11,0.56
2022,NY,1.89,2.15,0.52,4.56,0.92,0.92,5.48
2022,NC,1.15,0.14,0.19,1.48,0.36,0.36,1.84
2022,ND,0.23,0.01,0.04,0.28,0.05,0.05,0.33
2022,OH,1.36,0.24,0.25,1.85,0.42,0.42,2.27
2022,OK,0.62,0.04,0.10,0.76,0.15,0.15,0.91
2022,OR,0.52,0.15,0.09,0.76,0.18,0.18,0.94
2022,PA,1.64,0.52,0.29,2.45,0.51,0.51,2.96
2022,RI,0.17,0.06,0.04,0.27,0.06,0.06,0.33
2022,SC,0.64,0.05,0.11,0.80,0.18,0.18,0.98
2022,SD,0.26,0.01,0.04,0.31,0.05,0.05,0.36
2022,TN,0.83,0.10,0.14,1.07,0.24,0.24,1.31
2022,TX,4.35,0.48,0.52,5.35,0.95,0.95,6.30
2022,UT,0.38,0.09,0.07,0.54,0.13,0.13,0.67
2022,VT,0.16,0.02,0.04,0.22,0.04,0.04,0.26
2022,VA,0.97,0.28,0.17,1.42,0.36,0.36,1.78
2022,WA,0.75,0.38,0.14,1.27,0.34,0.34,1.61
2022,WV,0.41,0.02,0.07,0.50,0.08,0.08,0.58
2022,WI,0.77,0.12,0.14,1.03,0.23,0.23,1.26
2022,WY,0.21,0.01,0.03,0.25,0.04,0.04,0.29
2022,DC,0.17,0.31,0.04,0.52,0.08,0.08,0.60
2023,AL,0.63,0.08,0.13,0.84,0.18,0.18,1.02
2023,AK,0.54,0.05,0.10,0.69,0.10,0.10,0.79
2023,AZ,0.80,0.15,0.14,1.09,0.28,0.28,1.37
2023,AR,0.50,0.03,0.09,0.62,0.14,0.14,0.76
2023,CA,4.41,1.58,0.71,6.70,2.35,2.35,9.05
2023,CO,0.58,0.19,0.12,0.89,0.31,0.31,1.20
2023,CT,0.53,0.22,0.12,0.87,0.21,0.21,1.08
2023,DE,0.19,0.05,0.03,0.27,0.06,0.06,0.33
2023,FL,2.03,0.32,0.33,2.68,0.78,0.78,3.46
2023,GA,1.25,0.22,0.19,1.66,0.45,0.45,2.11
2023,HI,0.20,0.08,0.05,0.33,0.10,0.10,0.43
2023,ID,0.30,0.02,0.05,0.37,0.09,0.09,0.46
2023,IL,1.61,0.71,0.33,2.65,0.61,0.61,3.26
2023,IN,0.95,0.11,0.16,1.22,0.31,0.31,1.53
2023,IA,0.47,0.04,0.09,0.60,0.17,0.17,0.77
2023,KS,0.38,0.03,0.07,0.48,0.14,0.14,0.62
2023,KY,0.61,0.06,0.11,0.78,0.20,0.20,0.98
2023,LA,0.65,0.07,0.12,0.84,0.21,0.21,1.05
2023,ME,0.23,0.02,0.05,0.30,0.09,0.09,0.39
2023,MD,0.64,0.36,0.12,1.12,0.33,0.33,1.45
2023,MA,0.69,0.47,0.16,1.32,0.41,0.41,1.73
2023,MI,1.09,0.22,0.22,1.53,0.46,0.46,1.99
2023,MN,0.67,0.19,0.14,1.00,0.31,0.31,1.31
2023,MS,0.48,0.03,0.09,0.60,0.14,0.14,0.74
2023,MO,0.85,0.11,0.15,1.11,0.29,0.29,1.40
2023,MT,0.39,0.02,0.05,0.46,0.08,0.08,0.54
2023,NE,0.33,0.03,0.06,0.42,0.11,0.11,0.53
2023,NV,0.40,0.11,0.07,0.58,0.18,0.18,0.76
2023,NH,0.20,0.03,0.04,0.27,0.09,0.09,0.36
2023,NJ,1.05,0.71,0.23,1.99,0.52,0.52,2.51
2023,NM,0.36,0.04,0.06,0.46,0.14,0.14,0.60
2023,NY,1.96,2.23,0.54,4.73,1.17,1.17,5.90
2023,NC,1.19,0.15,0.20,1.54,0.46,0.46,2.00
2023,ND,0.24,0.01,0.04,0.29,0.06,0.06,0.35
2023,OH,1.41,0.25,0.26,1.92,0.53,0.53,2.45
2023,OK,0.64,0.04,0.10,0.78,0.19,0.19,0.97
2023,OR,0.54,0.16,0.09,0.79,0.23,0.23,1.02
2023,PA,1.70,0.54,0.30,2.54,0.65,0.65,3.19
2023,RI,0.18,0.06,0.04,0.28,0.08,0.08,0.36
2023,SC,0.66,0.05,0.11,0.82,0.23,0.23,1.05
2023,SD,0.27,0.01,0.04,0.32,0.06,0.06,0.38
2023,TN,0.86,0.10,0.15,1.11,0.31,0.31,1.42
2023,TX,4.51,0.50,0.54,5.55,1.21,1.21,6.76
2023,UT,0.39,0.09,0.07,0.55,0.17,0.17,0.72
2023,VT,0.17,0.02,0.04,0.23,0.05,0.05,0.28
2023,VA,1.01,0.29,0.18,1.48,0.46,0.46,1.94
2023,WA,0.78,0.39,0.15,1.32,0.43,0.43,1.75
2023,WV,0.43,0.02,0.07,0.52,0.10,0.10,0.62
2023,WI,0.80,0.12,0.15,1.07,0.29,0.29,1.36
2023,WY,0.22,0.01,0.03,0.26,0.05,0.05,0.31
2023,DC,0.18,0.32,0.04,0.54,0.10,0.10,0.64
