FIPS_7digit,city_name,state,ID,STATE,FIPS_PLACE_ID,JURIS,year,fog,initiative,referendum,partisan,termlimits,termlength,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2010,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2011,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2012,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2013,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2014,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2015,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2016,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2017,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2018,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2019,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2020,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2021,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2022,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2023,1.0,1.0,1.0,0.0,0.0,4.0,districts
107000,Birmingham,AL,183884,AL,7000,City of Birmingham,2024,1.0,1.0,1.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2010,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2011,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2012,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2013,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2014,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2015,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2016,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2017,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2018,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2019,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2020,1.0,,0.0,0.0,0.0,4.0,districts
120104,Decatur,AL,183976,AL,20104,City of Decatur,2021,1.0,,0.0,0.0,0.0,4.0,districts
