state_abb,state_name,has_bond_bank,bond_bank_name,bond_bank_established,bond_bank_rating,bond_bank_cumulative_billion,bond_bank_active_2013_2025,notes
AK,Alaska,1,Alaska Municipal Bond Bank,1975,AA,,1,
AL,Alabama,0,,,,,,
AR,Arkansas,0,,,,,,
AZ,Arizona,1,Greater Arizona Development Authority,1997,,0.574,0,"Inactive 2014-2024; reactivated Aug 2024"
CA,California,1,California IBank,1994,AAA,32.0,1,
CO,Colorado,0,,,,,,
CT,Connecticut,0,,,,,,
DE,Delaware,0,,,,,,
FL,Florida,0,,,,,,
GA,Georgia,0,,,,,,
HI,Hawaii,0,,,,,,
ID,Idaho,1,Idaho Bond Bank Authority,1989,,,1,
IL,Illinois,0,,,,,,Rural Bond Bank dissolved 2004
IN,Indiana,1,Indiana Finance Authority,2005,,,1,
IA,Iowa,0,,,,,,
KS,Kansas,0,,,,,,
KY,Kentucky,0,,,,,,
LA,Louisiana,0,,,,,,
ME,Maine,1,Maine Municipal Bond Bank,1971,AAA,,1,
MD,Maryland,1,CDA/LGIF Program,1970,AAA,,1,
MA,Massachusetts,0,,,,,,
MI,Michigan,0,,,,,,
MN,Minnesota,0,,,,,,
MS,Mississippi,0,,,,,,
MO,Missouri,0,,,,,,
MT,Montana,0,,,,,,
NE,Nebraska,0,,,,,,
NV,Nevada,0,,,,,,
NH,New Hampshire,1,NH Municipal Bond Bank,1978,,,1,
NJ,New Jersey,0,,,,,,
NM,New Mexico,1,NM Finance Authority (PPRF),1992,AAA,5.4,1,
NY,New York,1,Municipal Bond Bank Agency,1972,,,1,
NC,North Carolina,0,,,,,,
ND,North Dakota,1,Public Finance Authority,1975,AA-,,1,
OH,Ohio,0,,,,,,
OK,Oklahoma,0,,,,,,
OR,Oregon,1,Oregon Infrastructure Finance Authority,1989,,,1,
PA,Pennsylvania,0,,,,,,
RI,Rhode Island,0,,,,,,
SC,South Carolina,0,,,,,,
SD,South Dakota,0,,,,,,
TN,Tennessee,0,,,,,,
TX,Texas,0,,,,,,
UT,Utah,0,,,,,,
VT,Vermont,1,Vermont Municipal Bond Bank,1970,,2.3,1,Not in 578-city panel sample
VA,Virginia,1,Virginia Resources Authority,1984,AAA,,1,
WA,Washington,0,,,,,,
WV,West Virginia,0,,,,,,
WI,Wisconsin,0,,,,,,
WY,Wyoming,0,,,,,,
