state_abb,year,state_green_bond_count,state_green_bond_amt,state_green_bond_cum_count,state_green_bond_cum_amt,state_green_bond_ever,state_green_bond_cum_count_lag1,state_green_bond_cum_amt_lag1,state_green_bond_ever_lag1,state_green_bond_issued_prior_yr,asinh_state_green_bond_amt,asinh_state_green_bond_cum_amt_lag1
AK,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2014,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2015,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2016,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2017,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2018,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2019,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2020,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2021,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2022,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AK,2023,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2014,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2015,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2016,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2017,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2018,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2019,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2020,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2021,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2022,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AL,2023,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AR,2013,36,37865000.0,36,37865000.0,1,0,0.0,0,0,18.142684941090007,0.0
AR,2014,0,0.0,36,37865000.0,1,36,37865000.0,1,1,0.0,18.142684941090007
AR,2015,3,1585000.0,39,39450000.0,1,36,37865000.0,1,0,14.969242145853563,18.142684941090007
AR,2016,0,0.0,39,39450000.0,1,39,39450000.0,1,1,0.0,18.1836917858161
AR,2017,10,20000000.0,49,59450000.0,1,39,39450000.0,1,0,17.50439001207821,18.1836917858161
AR,2018,0,0.0,49,59450000.0,1,49,59450000.0,1,1,0.0,18.59379336166101
AR,2019,21,30000000.0,70,89450000.0,1,49,59450000.0,1,0,17.909855120186375,18.59379336166101
AR,2020,1,265000000.0,71,354450000.0,1,70,89450000.0,1,1,20.08838756451044,19.00233754847895
AR,2021,0,0.0,71,354450000.0,1,71,354450000.0,1,1,0.0,20.379225030825246
AR,2022,44,336045000.0,115,690495000.0,1,71,354450000.0,1,0,20.325902818091222,20.379225030825246
AR,2023,40,736000000.0,155,1426495000.0,1,115,690495000.0,1,1,21.109887857253096,21.04606647021773
AZ,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AZ,2014,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
AZ,2015,21,182645000.0,21,182645000.0,1,0,0.0,0,0,19.716202116630345,0.0
AZ,2016,47,272875000.0,68,455520000.0,1,21,182645000.0,1,1,20.117671553394327,19.716202116630345
AZ,2017,0,0.0,68,455520000.0,1,68,455520000.0,1,1,0.0,20.630097362053945
AZ,2018,0,0.0,68,455520000.0,1,68,455520000.0,1,0,0.0,20.630097362053945
AZ,2019,48,180410000.0,116,635930000.0,1,68,455520000.0,1,0,19.70388977698893,20.630097362053945
AZ,2020,3,71415000.0,119,707345000.0,1,116,635930000.0,1,1,18.777165669838812,20.963746232913895
AZ,2021,36,161805000.0,155,869150000.0,1,119,707345000.0,1,1,19.59504964501972,21.07017626276772
AZ,2022,32,147420000.0,187,1016570000.0,1,155,869150000.0,1,1,19.501943394285362,21.27617346109177
AZ,2023,21,72855000.0,208,1089425000.0,1,187,1016570000.0,1,1,18.79712890299004,21.432847232969777
CA,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
CA,2014,4,300000000.0,4,300000000.0,1,0,0.0,0,0,20.21244021318042,0.0
CA,2015,0,0.0,4,300000000.0,1,4,300000000.0,1,1,0.0,20.21244021318042
CA,2016,29,480735000.0,33,780735000.0,1,4,300000000.0,1,0,20.68397392125829,20.21244021318042
CA,2017,32,1262310000.0,65,2043045000.0,1,33,780735000.0,1,1,21.649356393298714,21.16889352220698
CA,2018,44,535765000.0,109,2578810000.0,1,65,2043045000.0,1,1,20.792353370619423,22.130854359530982
CA,2019,41,562530000.0,150,3141340000.0,1,109,2578810000.0,1,1,20.841102204513955,22.363741069725773
CA,2020,2,142000000.0,152,3283340000.0,1,150,3141340000.0,1,1,19.46448479612548,22.56106247798631
CA,2021,25,445315000.0,177,3728655000.0,1,152,3283340000.0,1,1,20.607439635440617,22.605274214477035
CA,2022,59,558890000.0,236,4287545000.0,1,177,3728655000.0,1,1,20.834610412351378,22.73246059632161
CA,2023,40,710490000.0,276,4998035000.0,1,236,4287545000.0,1,1,21.07461261136697,22.87212732557016
CO,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
CO,2014,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
CO,2015,13,44790000.0,13,44790000.0,1,0,0.0,0,0,18.310642638743428,0.0
CO,2016,0,0.0,13,44790000.0,1,13,44790000.0,1,1,0.0,18.310642638743428
CO,2017,0,0.0,13,44790000.0,1,13,44790000.0,1,0,0.0,18.310642638743428
CO,2018,23,10550000.0,36,55340000.0,1,13,44790000.0,1,0,16.864783598446298,18.310642638743428
CO,2019,1,214625000.0,37,269965000.0,1,36,55340000.0,1,1,19.87755005774186,18.522153712883
CO,2020,1,100000000.0,38,369965000.0,1,37,269965000.0,1,1,19.11382792451231,20.10695005949032
CO,2021,23,151595000.0,61,521560000.0,1,38,369965000.0,1,1,19.529870229658243,20.422066145093545
CO,2022,43,79820000.0,104,601380000.0,1,61,521560000.0,1,1,18.888431838144808,20.765482059079492
CO,2023,0,0.0,104,601380000.0,1,104,601380000.0,1,1,0.0,20.907884752789048
CT,2013,20,124935000.0,20,124935000.0,1,0,0.0,0,0,19.336451340579632,0.0
CT,2014,6,60000000.0,26,184935000.0,1,20,124935000.0,1,1,18.60300230074632,19.336451340579632
CT,2015,34,315000000.0,60,499935000.0,1,26,184935000.0,1,1,20.261230377349854,19.728662150512847
CT,2016,3,65000000.0,63,564935000.0,1,60,499935000.0,1,1,18.683045008419857,20.72313582849568
CT,2017,26,250000000.0,89,814935000.0,1,63,564935000.0,1,1,20.030118656386467,20.845368418804775
CT,2018,0,0.0,89,814935000.0,1,89,814935000.0,1,1,0.0,21.21176609398329
CT,2019,24,250000000.0,113,1064935000.0,1,89,814935000.0,1,0,20.030118656386467,21.21176609398329
CT,2020,11,16795000.0,124,1081730000.0,1,113,1064935000.0,1,1,17.329738961588475,21.479326781941314
CT,2021,18,115744000.0,142,1197474000.0,1,124,1081730000.0,1,1,19.260038594293906,21.494974628898095
CT,2022,0,0.0,142,1197474000.0,1,142,1197474000.0,1,1,0.0,21.596627355673792
CT,2023,0,0.0,142,1197474000.0,1,142,1197474000.0,1,0,0.0,21.596627355673792
DE,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2014,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2015,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2016,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2017,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2018,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2019,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2020,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2021,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2022,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
DE,2023,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
FL,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
FL,2014,11,215515000.0,11,215515000.0,1,0,0.0,0,0,19.88168825121411,0.0
FL,2015,0,0.0,11,215515000.0,1,11,215515000.0,1,1,0.0,19.88168825121411
FL,2016,21,238490000.0,32,454005000.0,1,11,215515000.0,1,0,19.982985119252408,19.88168825121411
FL,2017,10,75125000.0,42,529130000.0,1,32,454005000.0,1,1,18.82781113137959,20.62676594972078
FL,2018,0,0.0,42,529130000.0,1,42,529130000.0,1,1,0.0,20.779891886883618
FL,2019,11,1069305000.0,53,1598435000.0,1,42,529130000.0,1,0,21.483421922232132,20.779891886883618
FL,2020,0,0.0,53,1598435000.0,1,53,1598435000.0,1,1,0.0,21.885438043075673
FL,2021,0,0.0,53,1598435000.0,1,53,1598435000.0,1,0,0.0,21.885438043075673
FL,2022,13,2335605000.0,66,3934040000.0,1,53,1598435000.0,1,0,22.26468397570884,21.885438043075673
FL,2023,0,0.0,66,3934040000.0,1,66,3934040000.0,1,1,0.0,22.78607990518971
GA,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
GA,2014,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
GA,2015,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
GA,2016,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
GA,2017,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
GA,2018,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
GA,2019,1,39725000.0,1,39725000.0,1,0,0.0,0,0,18.190638450947,0.0
GA,2020,0,0.0,1,39725000.0,1,1,39725000.0,1,1,0.0,18.190638450947
GA,2021,0,0.0,1,39725000.0,1,1,39725000.0,1,0,0.0,18.190638450947
GA,2022,0,0.0,1,39725000.0,1,1,39725000.0,1,0,0.0,18.190638450947
GA,2023,0,0.0,1,39725000.0,1,1,39725000.0,1,0,0.0,18.190638450947
HI,2013,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0
