fips,geo_name,state_abb,year,mayor_name,mayor_pid,prob_democrat,prob_republican,election_year,election_type,source,mayor_pid_raw
107000,birmingham,AL,2010,roderick royal,D,1.0,0.0,2009.0,council_elected,harvard_dataverse,D
107000,birmingham,AL,2011,william bell,D,1.0,0.0,2010.0,elected,harvard_dataverse,D
107000,birmingham,AL,2012,william bell,D,1.0,0.0,2011.0,elected,harvard_dataverse,D
107000,birmingham,AL,2013,william bell,D,1.0,0.0,2011.0,elected,harvard_dataverse,D
107000,birmingham,AL,2014,william bell,D,1.0,0.0,2013.0,elected,harvard_dataverse,D
107000,birmingham,AL,2015,william bell,D,1.0,0.0,2013.0,elected,harvard_dataverse,D
107000,birmingham,AL,2016,william bell,D,1.0,0.0,2013.0,elected,harvard_dataverse,D
107000,birmingham,AL,2017,william bell,D,1.0,0.0,2013.0,elected,harvard_dataverse,D
107000,birmingham,AL,2018,randall woodfin,D,1.0,0.0,2017.0,elected,harvard_dataverse,D
107000,birmingham,AL,2019,randall woodfin,D,1.0,0.0,2017.0,elected,harvard_dataverse,D
107000,birmingham,AL,2020,randall woodfin,D,1.0,0.0,2017.0,elected,harvard_dataverse,D
107000,birmingham,AL,2021,randall woodfin,D,1.0,0.0,2017.0,elected,harvard_dataverse,D
107000,birmingham,AL,2022,randall woodfin,D,1.0,0.0,2021.0,elected,harvard_dataverse,D
107000,birmingham,AL,2023,randall woodfin,D,1.0,0.0,2021.0,elected,harvard_dataverse,D
107000,birmingham,AL,2024,randall woodfin,D,1.0,0.0,2021.0,elected,harvard_dataverse,D
107000,birmingham,AL,2025,randall woodfin,D,1.0,0.0,2021.0,elected,harvard_dataverse,D
120104,decatur,AL,2010,don stanford,R,0.11,0.89,2008.0,elected,harvard_dataverse,R
120104,decatur,AL,2011,don stanford,R,0.11,0.89,2008.0,elected,harvard_dataverse,R
120104,decatur,AL,2012,don stanford,R,0.11,0.89,2008.0,elected,harvard_dataverse,R
120104,decatur,AL,2013,gary ivey,R,0.05,0.95,2012.0,unopposed,additional_candidates,R
120104,decatur,AL,2014,gary ivey,R,0.05,0.95,2012.0,unopposed,additional_candidates,R
120104,decatur,AL,2015,gary ivey,R,0.05,0.95,2012.0,unopposed,additional_candidates,R
120104,decatur,AL,2016,gary ivey,R,0.05,0.95,2012.0,unopposed,additional_candidates,R
120104,decatur,AL,2017,tab bowling,R,0.05,0.95,2016.0,elected,additional_candidates,R
120104,decatur,AL,2018,tab bowling,R,0.05,0.95,2016.0,elected,additional_candidates,R
120104,decatur,AL,2019,tab bowling,R,0.05,0.95,2016.0,elected,additional_candidates,R
120104,decatur,AL,2020,tab bowling,R,0.05,0.95,2016.0,elected,additional_candidates,R
120104,decatur,AL,2021,tab bowling,R,0.0,1.0,2020.0,elected,harvard_dataverse,R
120104,decatur,AL,2022,tab bowling,R,0.0,1.0,2020.0,elected,harvard_dataverse,R
120104,decatur,AL,2023,tab bowling,R,0.0,1.0,2020.0,elected,harvard_dataverse,R
120104,decatur,AL,2024,tab bowling,R,0.0,1.0,2020.0,elected,harvard_dataverse,R
