state,state_abbrev,fips,year,has_antiesg_law,num_antiesg_laws,has_antiesg_proposed,first_law_year,first_bill_year,has_law_restricted_pension,has_law_restricted_contracts,has_law_proxy_voting,has_law_esg_score_ban_govt,has_law_esg_score_ban_private,has_law_civil_liability,law_intensity_score,cum_exec_actions,cum_ag_investigations,cum_ag_letters,cum_divestments,first_exec_action_year,has_muni_bond_law,has_underwriter_block,first_underwriter_block_year,msrb_letter_signatory,governor_alliance_member,has_proesg_law,has_fossil_divestment,has_esg_disclosure_requirement,has_board_diversity_mandate,has_proesg_contracts,first_proesg_year
Alabama,AL,01,2010,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2011,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2012,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2013,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2014,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2015,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2016,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2017,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2018,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2019,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2020,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2021,0,0,0,,,0,0,0,0,0,0,0,3,0,3,0,2021.0,0,0,,0,0,0,0,0,0,0,
Alabama,AL,01,2022,0,0,0,,,0,0,0,0,0,0,0,10,0,9,0,2021.0,0,0,,1,0,0,0,0,0,0,
Alabama,AL,01,2023,1,1,1,2023.0,2023.0,0,1,0,0,0,0,1,23,0,19,0,2021.0,0,0,,1,1,0,0,0,0,0,
Alabama,AL,01,2024,1,1,1,2023.0,2023.0,0,1,0,0,0,0,1,31,1,23,0,2021.0,0,0,,1,1,0,0,0,0,0,
Alabama,AL,01,2025,1,1,1,2023.0,2023.0,0,1,0,0,0,0,1,34,1,26,0,2021.0,0,0,,1,1,0,0,0,0,0,
Alaska,AK,02,2010,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
