year,fips7,city_name,pres_dem_two_party_share,pres_dem_vote_share,pres_rep_vote_share
2013,107000,birmingham,0.5301649096859984,0.5260497897459183,0.4661882481458814
2014,107000,birmingham,0.5301649096859984,0.5260497897459183,0.4661882481458814
2015,107000,birmingham,0.5301649096859984,0.5260497897459183,0.4661882481458814
2016,107000,birmingham,0.5378976207049078,0.5157055928676391,0.4430374337176314
2017,107000,birmingham,0.5378976207049078,0.5157055928676391,0.4430374337176314
2018,107000,birmingham,0.5378976207049078,0.5157055928676391,0.4430374337176314
2019,107000,birmingham,0.5378976207049078,0.5157055928676391,0.4430374337176314
2020,107000,birmingham,0.5668344091523129,0.5575851317178562,0.426097444207115
2021,107000,birmingham,0.5668344091523129,0.5575851317178562,0.426097444207115
2022,107000,birmingham,0.5668344091523129,0.5575851317178562,0.426097444207115
2023,107000,birmingham,0.5668344091523129,0.5575851317178562,0.426097444207115
2013,120104,decatur,0.3635516029548877,0.3591978458049886,0.6288265306122449
2014,120104,decatur,0.3635516029548877,0.3591978458049886,0.6288265306122449
2015,120104,decatur,0.3635516029548877,0.3591978458049886,0.6288265306122449
2016,120104,decatur,0.2508298755186722,0.2445883066963382,0.730528019421404
2017,120104,decatur,0.2508298755186722,0.2445883066963382,0.730528019421404
2018,120104,decatur,0.2508298755186722,0.2445883066963382,0.730528019421404
2019,120104,decatur,0.2508298755186722,0.2445883066963382,0.730528019421404
2020,120104,decatur,0.2242508184336439,0.2221944981598153,0.7686357681991142
2021,120104,decatur,0.2242508184336439,0.2221944981598153,0.7686357681991142
2022,120104,decatur,0.2242508184336439,0.2221944981598153,0.7686357681991142
2023,120104,decatur,0.2242508184336439,0.2221944981598153,0.7686357681991142
2013,121184,dothan,0.2970194778682422,0.2950283887590056,0.6982680471396536
2014,121184,dothan,0.2970194778682422,0.2950283887590056,0.6982680471396536
2015,121184,dothan,0.2970194778682422,0.2950283887590056,0.6982680471396536
2016,121184,dothan,0.2576343254735214,0.2500996740073641,0.7206547995966134
2017,121184,dothan,0.2576343254735214,0.2500996740073641,0.7206547995966134
2018,121184,dothan,0.2576343254735214,0.2500996740073641,0.7206547995966134
2019,121184,dothan,0.2576343254735214,0.2500996740073641,0.7206547995966134
2020,121184,dothan,0.2836719007356978,0.2797522361553288,0.7064301648149351
2021,121184,dothan,0.2836719007356978,0.2797522361553288,0.7064301648149351
2022,121184,dothan,0.2836719007356978,0.2797522361553288,0.7064301648149351
2023,121184,dothan,0.2836719007356978,0.2797522361553288,0.7064301648149351
2013,135896,hoover,0.5301649096859984,0.5260497897459183,0.4661882481458814
2014,135896,hoover,0.5301649096859984,0.5260497897459183,0.4661882481458814
2015,135896,hoover,0.5301649096859984,0.5260497897459183,0.4661882481458814
2016,135896,hoover,0.5378976207049078,0.5157055928676391,0.4430374337176314
2017,135896,hoover,0.5378976207049078,0.5157055928676391,0.4430374337176314
2018,135896,hoover,0.5378976207049078,0.5157055928676391,0.4430374337176314
2019,135896,hoover,0.5378976207049078,0.5157055928676391,0.4430374337176314
2020,135896,hoover,0.5668344091523129,0.5575851317178562,0.426097444207115
2021,135896,hoover,0.5668344091523129,0.5575851317178562,0.426097444207115
2022,135896,hoover,0.5668344091523129,0.5575851317178562,0.426097444207115
2023,135896,hoover,0.5668344091523129,0.5575851317178562,0.426097444207115
2013,137000,huntsville,0.4055945428027652,0.3999445372406632,0.5861252813445205
2014,137000,huntsville,0.4055945428027652,0.3999445372406632,0.5861252813445205
2015,137000,huntsville,0.4055945428027652,0.3999445372406632,0.5861252813445205
2016,137000,huntsville,0.4123747883052605,0.3844934481513443,0.5478949011255347
2017,137000,huntsville,0.4123747883052605,0.3844934481513443,0.5478949011255347
2018,137000,huntsville,0.4123747883052605,0.3844934481513443,0.5478949011255347
2019,137000,huntsville,0.4123747883052605,0.3844934481513443,0.5478949011255347
2020,137000,huntsville,0.4592404743615376,0.4481560017867503,0.5277074658438031
2021,137000,huntsville,0.4592404743615376,0.4481560017867503,0.5277074658438031
2022,137000,huntsville,0.4592404743615376,0.4481560017867503,0.5277074658438031
2023,137000,huntsville,0.4592404743615376,0.4481560017867503,0.5277074658438031
2013,150000,mobile,0.4535481678980496,0.4504071735748924,0.5426674444139445
2014,150000,mobile,0.4535481678980496,0.4504071735748924,0.5426674444139445
2015,150000,mobile,0.4535481678980496,0.4504071735748924,0.5426674444139445
2016,150000,mobile,0.4314712316648934,0.417895413258306,0.5506405691889983
2017,150000,mobile,0.4314712316648934,0.417895413258306,0.5506405691889983
2018,150000,mobile,0.4314712316648934,0.417895413258306,0.5506405691889983
2019,150000,mobile,0.4314712316648934,0.417895413258306,0.5506405691889983
2020,150000,mobile,0.4397704698506505,0.4338953069380445,0.5527450809110961
2021,150000,mobile,0.4397704698506505,0.4338953069380445,0.5527450809110961
2022,150000,mobile,0.4397704698506505,0.4338953069380445,0.5527450809110961
2023,150000,mobile,0.4397704698506505,0.4338953069380445,0.5527450809110961
2013,151000,montgomery,0.6220357533746808,0.6189415643028139,0.3760841411247596
2014,151000,montgomery,0.6220357533746808,0.6189415643028139,0.3760841411247596
2015,151000,montgomery,0.6220357533746808,0.6189415643028139,0.3760841411247596
2016,151000,montgomery,0.634057620077702,0.6144892467510795,0.3546486159494357
2017,151000,montgomery,0.634057620077702,0.6144892467510795,0.3546486159494357
2018,151000,montgomery,0.634057620077702,0.6144892467510795,0.3546486159494357
2019,151000,montgomery,0.634057620077702,0.6144892467510795,0.3546486159494357
2020,151000,montgomery,0.6595359771054783,0.6508941990538537,0.3360029857069367
2021,151000,montgomery,0.6595359771054783,0.6508941990538537,0.3360029857069367
2022,151000,montgomery,0.6595359771054783,0.6508941990538537,0.3360029857069367
2023,151000,montgomery,0.6595359771054783,0.6508941990538537,0.3360029857069367
2013,177256,tuscaloosa,0.411949200473032,0.407787250286296,0.5821096831657971
2014,177256,tuscaloosa,0.411949200473032,0.407787250286296,0.5821096831657971
2015,177256,tuscaloosa,0.411949200473032,0.407787250286296,0.5821096831657971
2016,177256,tuscaloosa,0.3995974083160344,0.3840628778718258,0.577061668681983
2017,177256,tuscaloosa,0.3995974083160344,0.3840628778718258,0.577061668681983
2018,177256,tuscaloosa,0.3995974083160344,0.3840628778718258,0.577061668681983
2019,177256,tuscaloosa,0.3995974083160344,0.3840628778718258,0.577061668681983
2020,177256,tuscaloosa,0.4248891789113656,0.4188107172958346,0.566883289712993
2021,177256,tuscaloosa,0.4248891789113656,0.4188107172958346,0.566883289712993
2022,177256,tuscaloosa,0.4248891789113656,0.4188107172958346,0.566883289712993
2023,177256,tuscaloosa,0.4248891789113656,0.4188107172958346,0.566883289712993
2013,203000,anchorage,0.4040655737704918,0.3868658965344048,0.5705675539929683
2014,203000,anchorage,0.4040655737704918,0.3868658965344048,0.5705675539929683
2015,203000,anchorage,0.4040655737704918,0.3868658965344048,0.5705675539929683
2016,203000,anchorage,0.654938466393184,0.5813725490196079,0.3063025210084034
2017,203000,anchorage,0.654938466393184,0.5813725490196079,0.3063025210084034
2018,203000,anchorage,0.654938466393184,0.5813725490196079,0.3063025210084034
2019,203000,anchorage,0.654938466393184,0.5813725490196079,0.3063025210084034
2020,203000,anchorage,0.6719438325991189,0.6510604241696679,0.317860477524343
2021,203000,anchorage,0.6719438325991189,0.6510604241696679,0.317860477524343
2022,203000,anchorage,0.6719438325991189,0.6510604241696679,0.317860477524343
2023,203000,anchorage,0.6719438325991189,0.6510604241696679,0.317860477524343
2013,404720,avondale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,404720,avondale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,404720,avondale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,404720,avondale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,404720,avondale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,404720,avondale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,404720,avondale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,404720,avondale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,404720,avondale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,404720,avondale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,404720,avondale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,412000,chandler,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,412000,chandler,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,412000,chandler,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,412000,chandler,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,412000,chandler,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,412000,chandler,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,412000,chandler,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,412000,chandler,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,412000,chandler,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,412000,chandler,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,412000,chandler,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,423620,flagstaff,0.5796105156804089,0.5655603023332237,0.4101989136107943
2014,423620,flagstaff,0.5796105156804089,0.5655603023332237,0.4101989136107943
2015,423620,flagstaff,0.5796105156804089,0.5655603023332237,0.4101989136107943
2016,423620,flagstaff,0.6055464194946928,0.5420179312190553,0.3530710558008831
2017,423620,flagstaff,0.6055464194946928,0.5420179312190553,0.3530710558008831
2018,423620,flagstaff,0.6055464194946928,0.5420179312190553,0.3530710558008831
2019,423620,flagstaff,0.6055464194946928,0.5420179312190553,0.3530710558008831
2020,423620,flagstaff,0.6229686411149826,0.6100283873785348,0.3691996942897696
2021,423620,flagstaff,0.6229686411149826,0.6100283873785348,0.3691996942897696
2022,423620,flagstaff,0.6229686411149826,0.6100283873785348,0.3691996942897696
2023,423620,flagstaff,0.6229686411149826,0.6100283873785348,0.3691996942897696
2013,427400,gilbert,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,427400,gilbert,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,427400,gilbert,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,427400,gilbert,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,427400,gilbert,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,427400,gilbert,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,427400,gilbert,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,427400,gilbert,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,427400,gilbert,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,427400,gilbert,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,427400,gilbert,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,427820,glendale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,427820,glendale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,427820,glendale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,427820,glendale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,427820,glendale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,427820,glendale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,427820,glendale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,427820,glendale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,427820,glendale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,427820,glendale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,427820,glendale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,439370,lake havasu city,0.2843190055457708,0.2790029995714898,0.7022996714755035
2014,439370,lake havasu city,0.2843190055457708,0.2790029995714898,0.7022996714755035
2015,439370,lake havasu city,0.2843190055457708,0.2790029995714898,0.7022996714755035
2016,439370,lake havasu city,0.2304685952704754,0.2183430694369738,0.7290444441664686
2017,439370,lake havasu city,0.2304685952704754,0.2183430694369738,0.7290444441664686
2018,439370,lake havasu city,0.2304685952704754,0.2183430694369738,0.7290444441664686
2019,439370,lake havasu city,0.2304685952704754,0.2183430694369738,0.7290444441664686
2020,439370,lake havasu city,0.2402240582009558,0.2372358313906829,0.750324836626285
2021,439370,lake havasu city,0.2402240582009558,0.2372358313906829,0.750324836626285
2022,439370,lake havasu city,0.2402240582009558,0.2372358313906829,0.750324836626285
2023,439370,lake havasu city,0.2402240582009558,0.2372358313906829,0.750324836626285
2013,446000,mesa,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,446000,mesa,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,446000,mesa,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,446000,mesa,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,446000,mesa,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,446000,mesa,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,446000,mesa,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,446000,mesa,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,446000,mesa,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,446000,mesa,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,446000,mesa,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,454050,peoria,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,454050,peoria,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,454050,peoria,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,454050,peoria,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,454050,peoria,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,454050,peoria,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,454050,peoria,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,454050,peoria,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,454050,peoria,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,454050,peoria,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,454050,peoria,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,455000,phoenix,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,455000,phoenix,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,455000,phoenix,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,455000,phoenix,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,455000,phoenix,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,455000,phoenix,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,455000,phoenix,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,455000,phoenix,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,455000,phoenix,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,455000,phoenix,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,455000,phoenix,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,465000,scottsdale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,465000,scottsdale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,465000,scottsdale,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,465000,scottsdale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,465000,scottsdale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,465000,scottsdale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,465000,scottsdale,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,465000,scottsdale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,465000,scottsdale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,465000,scottsdale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,465000,scottsdale,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,471510,surprise,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,471510,surprise,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,471510,surprise,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,471510,surprise,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,471510,surprise,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,471510,surprise,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,471510,surprise,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,471510,surprise,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,471510,surprise,0.5110754606447824,0.5032405867289705,0.4814292428380229
2022,471510,surprise,0.5110754606447824,0.5032405867289705,0.4814292428380229
2023,471510,surprise,0.5110754606447824,0.5032405867289705,0.4814292428380229
2013,473000,tempe,0.4454222943365974,0.4375318729759298,0.5447536536782323
2014,473000,tempe,0.4454222943365974,0.4375318729759298,0.5447536536782323
2015,473000,tempe,0.4454222943365974,0.4375318729759298,0.5447536536782323
2016,473000,tempe,0.4846738671748946,0.4483299890166943,0.4766837560609095
2017,473000,tempe,0.4846738671748946,0.4483299890166943,0.4766837560609095
2018,473000,tempe,0.4846738671748946,0.4483299890166943,0.4766837560609095
2019,473000,tempe,0.4846738671748946,0.4483299890166943,0.4766837560609095
2020,473000,tempe,0.5110754606447824,0.5032405867289705,0.4814292428380229
2021,473000,tempe,0.5110754606447824,0.5032405867289705,0.4814292428380229
