year,fips7,city_name,state_dem_governor,state_dem_legislature,state_dem_trifecta,state_govt_trifecta,state_legis_control,state_rep_trifecta
2013,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2014,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2015,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2016,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2017,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2018,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2019,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2020,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2021,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2022,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2023,107000,birmingham,0.0,0.0,0.0,Rep,Rep,1.0
2013,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2014,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2015,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2016,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2017,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2018,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2019,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2020,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2021,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2022,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2023,120104,decatur,0.0,0.0,0.0,Rep,Rep,1.0
2013,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2014,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2015,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2016,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2017,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2018,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2019,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2020,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2021,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2022,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2023,121184,dothan,0.0,0.0,0.0,Rep,Rep,1.0
2013,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2014,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2015,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2016,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2017,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2018,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2019,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2020,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2021,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2022,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2023,135896,hoover,0.0,0.0,0.0,Rep,Rep,1.0
2013,137000,huntsville,0.0,0.0,0.0,Rep,Rep,1.0
2014,137000,huntsville,0.0,0.0,0.0,Rep,Rep,1.0
2015,137000,huntsville,0.0,0.0,0.0,Rep,Rep,1.0
2016,137000,huntsville,0.0,0.0,0.0,Rep,Rep,1.0
2017,137000,huntsville,0.0,0.0,0.0,Rep,Rep,1.0
